variable,scope,status,required_for,live_surface,gate_required,decision
CODEX_CLOUD_PROJECT,User,MISSING_OPTIONAL_CAPABILITY,codex cloud project,codexcloud,yes,BLOCKED_UNTIL_GATE
CODEX_CLOUD_PROJECT,Machine,MISSING_OPTIONAL_CAPABILITY,codex cloud project,codexcloud,yes,BLOCKED_UNTIL_GATE
CODEX_CLOUD_ORG,Process,MISSING_OPTIONAL_CAPABILITY,codex cloud org,codexcloud,yes,BLOCKED_UNTIL_GATE
CODEX_CLOUD_ORG,User,MISSING_OPTIONAL_CAPABILITY,codex cloud org,codexcloud,yes,BLOCKED_UNTIL_GATE
CODEX_CLOUD_ORG,Machine,MISSING_OPTIONAL_CAPABILITY,codex cloud org,codexcloud,yes,BLOCKED_UNTIL_GATE
CODEX_EXECUTION_MODE,Process,MISSING_OPTIONAL_CAPABILITY,codex execution,codexcloud,yes,BLOCKED_UNTIL_GATE
CODEX_EXECUTION_MODE,User,MISSING_OPTIONAL_CAPABILITY,codex execution,codexcloud,yes,BLOCKED_UNTIL_GATE
CODEX_EXECUTION_MODE,Machine,MISSING_OPTIONAL_CAPABILITY,codex execution,codexcloud,yes,BLOCKED_UNTIL_GATE
CODEX_NO_EXTERNAL,Process,MISSING_OPTIONAL_CAPABILITY,codex external lock,codexcloud,yes,ENFORCED_BY_ORDER
CODEX_NO_EXTERNAL,User,MISSING_OPTIONAL_CAPABILITY,codex external lock,codexcloud,yes,ENFORCED_BY_ORDER
CODEX_NO_EXTERNAL,Machine,MISSING_OPTIONAL_CAPABILITY,codex external lock,codexcloud,yes,ENFORCED_BY_ORDER
OPENAI_API_KEY,Process,MISSING_OPTIONAL_CAPABILITY,openai live,openai,yes,BLOCKED_UNTIL_GATE
OPENAI_API_KEY,User,MISSING_OPTIONAL_CAPABILITY,openai live,openai,yes,BLOCKED_UNTIL_GATE
OPENAI_API_KEY,Machine,MISSING_OPTIONAL_CAPABILITY,openai live,openai,yes,BLOCKED_UNTIL_GATE
OPENAI_ORG_ID,Process,MISSING_OPTIONAL_CAPABILITY,openai org,openai,yes,BLOCKED_UNTIL_GATE
OPENAI_ORG_ID,User,MISSING_OPTIONAL_CAPABILITY,openai org,openai,yes,BLOCKED_UNTIL_GATE
OPENAI_ORG_ID,Machine,MISSING_OPTIONAL_CAPABILITY,openai org,openai,yes,BLOCKED_UNTIL_GATE
OPENAI_PROJECT_ID,Process,MISSING_OPTIONAL_CAPABILITY,openai project,openai,yes,BLOCKED_UNTIL_GATE
OPENAI_PROJECT_ID,User,MISSING_OPTIONAL_CAPABILITY,openai project,openai,yes,BLOCKED_UNTIL_GATE
OPENAI_PROJECT_ID,Machine,MISSING_OPTIONAL_CAPABILITY,openai project,openai,yes,BLOCKED_UNTIL_GATE
MS_TENANT_ID,Process,MISSING_OPTIONAL_CAPABILITY,microsoft tenant,microsoft,yes,BLOCKED_UNTIL_GATE
MS_TENANT_ID,User,MISSING_OPTIONAL_CAPABILITY,microsoft tenant,microsoft,yes,BLOCKED_UNTIL_GATE
MS_TENANT_ID,Machine,MISSING_OPTIONAL_CAPABILITY,microsoft tenant,microsoft,yes,BLOCKED_UNTIL_GATE
AZURE_TENANT_ID,Process,MISSING_OPTIONAL_CAPABILITY,entra tenant,microsoft,yes,BLOCKED_UNTIL_GATE
AZURE_TENANT_ID,User,MISSING_OPTIONAL_CAPABILITY,entra tenant,microsoft,yes,BLOCKED_UNTIL_GATE
AZURE_TENANT_ID,Machine,MISSING_OPTIONAL_CAPABILITY,entra tenant,microsoft,yes,BLOCKED_UNTIL_GATE
MS_CLIENT_ID,Process,MISSING_OPTIONAL_CAPABILITY,microsoft app,microsoft,yes,BLOCKED_UNTIL_GATE
MS_CLIENT_ID,User,MISSING_OPTIONAL_CAPABILITY,microsoft app,microsoft,yes,BLOCKED_UNTIL_GATE
MS_CLIENT_ID,Machine,MISSING_OPTIONAL_CAPABILITY,microsoft app,microsoft,yes,BLOCKED_UNTIL_GATE
MS_CLIENT_SECRET,Process,MISSING_OPTIONAL_CAPABILITY,microsoft secret,microsoft,yes,BLOCKED_UNTIL_GATE
MS_CLIENT_SECRET,User,MISSING_OPTIONAL_CAPABILITY,microsoft secret,microsoft,yes,BLOCKED_UNTIL_GATE
MS_CLIENT_SECRET,Machine,MISSING_OPTIONAL_CAPABILITY,microsoft secret,microsoft,yes,BLOCKED_UNTIL_GATE
GRAPH_TENANT_ID,Process,MISSING_OPTIONAL_CAPABILITY,graph tenant,microsoft graph,yes,BLOCKED_UNTIL_GATE
GRAPH_TENANT_ID,User,MISSING_OPTIONAL_CAPABILITY,graph tenant,microsoft graph,yes,BLOCKED_UNTIL_GATE
GRAPH_TENANT_ID,Machine,MISSING_OPTIONAL_CAPABILITY,graph tenant,microsoft graph,yes,BLOCKED_UNTIL_GATE
DATAVERSE_ENV,Process,MISSING_OPTIONAL_CAPABILITY,dataverse read/write,dataverse,yes,BLOCKED_UNTIL_GATE
DATAVERSE_ENV,User,MISSING_OPTIONAL_CAPABILITY,dataverse read/write,dataverse,yes,BLOCKED_UNTIL_GATE
DATAVERSE_ENV,Machine,MISSING_OPTIONAL_CAPABILITY,dataverse read/write,dataverse,yes,BLOCKED_UNTIL_GATE
DATAVERSE_ENV_URL,Process,MISSING_OPTIONAL_CAPABILITY,dataverse url,dataverse,yes,BLOCKED_UNTIL_GATE
DATAVERSE_ENV_URL,User,MISSING_OPTIONAL_CAPABILITY,dataverse url,dataverse,yes,BLOCKED_UNTIL_GATE
DATAVERSE_ENV_URL,Machine,MISSING_OPTIONAL_CAPABILITY,dataverse url,dataverse,yes,BLOCKED_UNTIL_GATE
POWERPLATFORM_ENVIRONMENT_ID,Process,MISSING_OPTIONAL_CAPABILITY,power platform env,power platform,yes,BLOCKED_UNTIL_GATE
POWERPLATFORM_ENVIRONMENT_ID,User,MISSING_OPTIONAL_CAPABILITY,power platform env,power platform,yes,BLOCKED_UNTIL_GATE
POWERPLATFORM_ENVIRONMENT_ID,Machine,MISSING_OPTIONAL_CAPABILITY,power platform env,power platform,yes,BLOCKED_UNTIL_GATE
POWERPLATFORM_SOLUTION_NAME,Process,MISSING_OPTIONAL_CAPABILITY,power platform solution,power platform,yes,BLOCKED_UNTIL_GATE
POWERPLATFORM_SOLUTION_NAME,User,MISSING_OPTIONAL_CAPABILITY,power platform solution,power platform,yes,BLOCKED_UNTIL_GATE
POWERPLATFORM_SOLUTION_NAME,Machine,MISSING_OPTIONAL_CAPABILITY,power platform solution,power platform,yes,BLOCKED_UNTIL_GATE
PAC_AUTH_PROFILE,Process,MISSING_OPTIONAL_CAPABILITY,pac auth,power platform,yes,BLOCKED_UNTIL_GATE
PAC_AUTH_PROFILE,User,MISSING_OPTIONAL_CAPABILITY,pac auth,power platform,yes,BLOCKED_UNTIL_GATE
PAC_AUTH_PROFILE,Machine,MISSING_OPTIONAL_CAPABILITY,pac auth,power platform,yes,BLOCKED_UNTIL_GATE
SHAREPOINT_SITE,Process,MISSING_OPTIONAL_CAPABILITY,sharepoint target,sharepoint,yes,BLOCKED_UNTIL_GATE
SHAREPOINT_SITE,User,MISSING_OPTIONAL_CAPABILITY,sharepoint target,sharepoint,yes,BLOCKED_UNTIL_GATE
SHAREPOINT_SITE,Machine,MISSING_OPTIONAL_CAPABILITY,sharepoint target,sharepoint,yes,BLOCKED_UNTIL_GATE
SHAREPOINT_SITE_URL,Process,MISSING_OPTIONAL_CAPABILITY,sharepoint url,sharepoint,yes,BLOCKED_UNTIL_GATE
SHAREPOINT_SITE_URL,User,MISSING_OPTIONAL_CAPABILITY,sharepoint url,sharepoint,yes,BLOCKED_UNTIL_GATE
SHAREPOINT_SITE_URL,Machine,MISSING_OPTIONAL_CAPABILITY,sharepoint url,sharepoint,yes,BLOCKED_UNTIL_GATE
M365_TENANT,Process,MISSING_OPTIONAL_CAPABILITY,m365 tenant,m365,yes,BLOCKED_UNTIL_GATE
M365_TENANT,User,MISSING_OPTIONAL_CAPABILITY,m365 tenant,m365,yes,BLOCKED_UNTIL_GATE
M365_TENANT,Machine,MISSING_OPTIONAL_CAPABILITY,m365 tenant,m365,yes,BLOCKED_UNTIL_GATE
M365_CLI_AUTH,Process,MISSING_OPTIONAL_CAPABILITY,m365 auth,m365,yes,BLOCKED_UNTIL_GATE
M365_CLI_AUTH,User,MISSING_OPTIONAL_CAPABILITY,m365 auth,m365,yes,BLOCKED_UNTIL_GATE
M365_CLI_AUTH,Machine,MISSING_OPTIONAL_CAPABILITY,m365 auth,m365,yes,BLOCKED_UNTIL_GATE
SDU_BRIDGE_BIND_HOST,Process,MISSING_OPTIONAL_CAPABILITY,local bridge,local runtime,yes,REQUIRES_OPERATOR_ORDER
SDU_BRIDGE_BIND_HOST,User,MISSING_OPTIONAL_CAPABILITY,local bridge,local runtime,yes,REQUIRES_OPERATOR_ORDER
SDU_BRIDGE_BIND_HOST,Machine,MISSING_OPTIONAL_CAPABILITY,local bridge,local runtime,yes,REQUIRES_OPERATOR_ORDER
SDU_BRIDGE_PORT,Process,MISSING_OPTIONAL_CAPABILITY,local bridge,local runtime,yes,REQUIRES_OPERATOR_ORDER
SDU_BRIDGE_PORT,User,MISSING_OPTIONAL_CAPABILITY,local bridge,local runtime,yes,REQUIRES_OPERATOR_ORDER
SDU_BRIDGE_PORT,Machine,MISSING_OPTIONAL_CAPABILITY,local bridge,local runtime,yes,REQUIRES_OPERATOR_ORDER
SDU_BRIDGE_DEV_AUTH,Process,MISSING_OPTIONAL_CAPABILITY,local bridge auth,local runtime,yes,BLOCKED_UNTIL_GATE
SDU_BRIDGE_DEV_AUTH,User,MISSING_OPTIONAL_CAPABILITY,local bridge auth,local runtime,yes,BLOCKED_UNTIL_GATE
SDU_BRIDGE_DEV_AUTH,Machine,MISSING_OPTIONAL_CAPABILITY,local bridge auth,local runtime,yes,BLOCKED_UNTIL_GATE
MCP_SERVER_URL,Process,MISSING_OPTIONAL_CAPABILITY,mcp bridge,mcp,yes,BLOCKED_UNTIL_GATE
MCP_SERVER_URL,User,MISSING_OPTIONAL_CAPABILITY,mcp bridge,mcp,yes,BLOCKED_UNTIL_GATE
MCP_SERVER_URL,Machine,MISSING_OPTIONAL_CAPABILITY,mcp bridge,mcp,yes,BLOCKED_UNTIL_GATE
TEAMS_APP_ID,Process,MISSING_OPTIONAL_CAPABILITY,teams app,teams,yes,BLOCKED_UNTIL_GATE
TEAMS_APP_ID,User,MISSING_OPTIONAL_CAPABILITY,teams app,teams,yes,BLOCKED_UNTIL_GATE
TEAMS_APP_ID,Machine,MISSING_OPTIONAL_CAPABILITY,teams app,teams,yes,BLOCKED_UNTIL_GATE
.env.local,RepoLocalFile,NOT_READ_BY_POLICY,local secrets,local runtime,yes,DO_NOT_READ_WITHOUT_EXPLICIT_ORDER
.env.example,RepoLocalFile,MISSING_OPTIONAL_CAPABILITY,template,local runtime,no,NOT_PRESENT
environment.toml,RepoLocalFile,MISSING_OPTIONAL_CAPABILITY,repo env template,local runtime,no,NOT_PRESENT
