"plugin_family","plugin_package","plugin_version_or_hash","skill_id","source_path","status","gate_required","notes"
"chatgpt-global","data-analytics","0.1.41-cf2b8b6c00d3","chatgpt-global:product-business-analysis","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\data-analytics\0.1.41-cf2b8b6c00d3\skills\product-business-analysis\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Analyze product or business data to inform decisions with focused quantitative work, decision-relevant context, measurable opportunities, and a clear recommendation. Use when the user needs data-backed evidence to choose a direction, prioritize an opportunity, evaluate a change, understand implications, or decide what to do next; not for routine KPI reporting, metric diagnostics, or dashboard building."
"chatgpt-global","data-analytics","0.1.41-cf2b8b6c00d3","chatgpt-global:report-to-google-doc","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\data-analytics\0.1.41-cf2b8b6c00d3\skills\build-report\report-to-google-doc\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Narrow conversion skill. Invoke only when the user explicitly asks to convert an existing local or blob-hosted HTML analytics report into a Google Doc, DOCX, or shareable document."
"chatgpt-global","data-analytics","0.1.41-cf2b8b6c00d3","chatgpt-global:report-to-google-slides","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\data-analytics\0.1.41-cf2b8b6c00d3\skills\build-report\report-to-google-slides\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Narrow conversion skill. Invoke only when the user explicitly asks to convert an existing HTML analytics report into a native Google Slides deck."
"chatgpt-global","data-analytics","0.1.41-cf2b8b6c00d3","chatgpt-global:report-to-pdf","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\data-analytics\0.1.41-cf2b8b6c00d3\skills\build-report\report-to-pdf\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Narrow conversion skill. Invoke only when the user explicitly asks to convert an existing Data Analytics report, dashboard, or inline chart export into a PDF artifact."
"chatgpt-global","data-analytics","0.1.41-cf2b8b6c00d3","chatgpt-global:user-context","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\data-analytics\0.1.41-cf2b8b6c00d3\skills\user-context\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Load or manage the Data Analytics plugin's durable source-routing preferences, onboarding logic, setup progress, and semantic-layer registry."
"chatgpt-global","data-analytics","0.1.41-cf2b8b6c00d3","chatgpt-global:validate-data","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\data-analytics\0.1.41-cf2b8b6c00d3\skills\validate-data\SKILL.md","PLUGIN_CACHE_REFERENCE","none","QA an analysis before sharing: review methodology, metric definitions, SQL/query logic, calculation checks, chart integrity, bias risks, caveats, reproducibility, and whether conclusions are supported by evidence. Use when reviewing a report, notebook, spreadsheet, SQL query/results, dashboard, chart, recommendation, or stakeholder-ready analysis before presentation or publication."
"chatgpt-global","data-analytics","0.1.41-cf2b8b6c00d3","chatgpt-global:visualize-data","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\data-analytics\0.1.41-cf2b8b6c00d3\skills\visualize-data\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Design, specify, implement, revise, and QA quantitative visuals and chart choices. Use when an analytical answer needs visual judgment; for example comparing values, showing how a total breaks apart, reading concentration in a ranking, or understanding movement over time. This may mean rendering a chart for a report or dashboard, or simply choosing, rendering and QAing the right chart form for an inline answer."
"chatgpt-global","github","0.1.2","chatgpt-global:gh-address-comments","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\github\0.1.2\skills\gh-address-comments\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Address actionable GitHub pull request review feedback. Use when the user wants to inspect unresolved review threads, requested changes, or inline review comments on a PR, then implement selected fixes. Use the GitHub app for PR metadata and flat comment reads, and use the bundled GraphQL script via `gh` whenever thread-level state, resolution status, or inline review context matters."
"chatgpt-global","github","0.1.2","chatgpt-global:gh-fix-ci","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\github\0.1.2\skills\gh-fix-ci\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Use when a user asks to debug or fix failing GitHub PR checks that run in GitHub Actions. Use the GitHub app from this plugin for PR metadata and patch context, and use `gh` for Actions check and log inspection before implementing any approved fix."
"chatgpt-global","github","0.1.2","chatgpt-global:github","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\github\0.1.2\skills\github\SKILL.md","ON_DEMAND_GATED","external_owner_gate","Triage and orient GitHub repository, pull request, and issue work through the connected GitHub app. Use when the user asks for general GitHub help, wants PR or issue summaries, or needs repository context before choosing a more specific GitHub workflow."
"chatgpt-global","github","0.1.2","chatgpt-global:yeet","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\github\0.1.2\skills\yeet\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Publish local changes to GitHub by confirming scope, committing intentionally, pushing the branch, and opening a draft PR through the GitHub app from this plugin, with `gh` used only as a fallback where connector coverage is insufficient."
"chatgpt-global","gmail","0.1.2","chatgpt-global:gmail","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\gmail\0.1.2\skills\gmail\SKILL.md","ON_DEMAND_GATED","external_owner_gate","Manage Gmail inbox triage, mailbox search, thread summaries, action extraction, reply drafting, and email forwarding through connected Gmail data. Use when the user wants to inspect a mailbox or thread, search email with Gmail query syntax, summarize messages, extract decisions and follow-ups, prepare replies or forwarded messages, or organize messages with explicit confirmation before send, archive, delete, or label actions."
"chatgpt-global","gmail","0.1.2","chatgpt-global:gmail-inbox-triage","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\gmail\0.1.2\skills\gmail-inbox-triage\SKILL.md","ON_DEMAND_GATED","external_owner_gate","Triage a Gmail inbox into actionable buckets such as urgent, needs reply soon, waiting, and FYI using connected Gmail data. Use when the user asks to triage the inbox, rank what needs attention, find what still needs a reply, or separate important mail from noise."
"chatgpt-global","google-calendar","1.2.2","chatgpt-global:google-calendar","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\google-calendar\1.2.2\skills\google-calendar\SKILL.md","ON_DEMAND_GATED","external_owner_gate","Manage scheduling and conflicts in connected Google Calendar data. Use when the user wants to inspect calendars, compare availability, review conflicts, find a meeting room, review event notes or attachments, add or adjust reminders, place temporary holds, or draft exact create, update, reschedule, or cancel changes with timezone-aware details."
"chatgpt-global","google-calendar","1.2.2","chatgpt-global:google-calendar-daily-brief","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\google-calendar\1.2.2\skills\google-calendar-daily-brief\SKILL.md","ON_DEMAND_GATED","external_owner_gate","Build polished one-day Google Calendar briefs. Use when the user asks for today, tomorrow, or a specific date summary with an agenda, conflict flags, free windows, remaining-meeting readouts, or a calendar brief, and the Google Calendar connector is available."
"chatgpt-global","google-calendar","1.2.2","chatgpt-global:google-calendar-free-up-time","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\google-calendar\1.2.2\skills\google-calendar-free-up-time\SKILL.md","ON_DEMAND_GATED","external_owner_gate","Find ways to open up meaningful free time in a connected Google Calendar. Use when the user wants to clear up their day, make room for focus time, create a longer uninterrupted block, or see the smallest set of calendar changes that would give time back."
"chatgpt-global","google-calendar","1.2.2","chatgpt-global:google-calendar-group-scheduler","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\google-calendar\1.2.2\skills\google-calendar-group-scheduler\SKILL.md","ON_DEMAND_GATED","external_owner_gate","Find and rank good meeting times for multiple people using connected Google Calendar data. Use when the user wants to schedule a group meeting, compare candidate slots across several attendees, find the best compromise time, or add a room check after narrowing the attendee-compatible options."
"chatgpt-global","google-calendar","1.2.2","chatgpt-global:google-calendar-meeting-prep","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\google-calendar\1.2.2\skills\google-calendar-meeting-prep\SKILL.md","ON_DEMAND_GATED","external_owner_gate","Build a practical meeting prep brief from a connected Google Calendar event and its nearby context. Use when the user wants to prepare for an upcoming meeting, understand what to read beforehand, pull in linked notes or docs, or get a concise brief on what the meeting appears to require."
"chatgpt-global","google-drive","0.1.6","chatgpt-global:google-docs","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\google-drive\0.1.6\skills\google-docs\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Connector-first Google Docs creation and editing in local Codex plugin sessions, with direct native create and batchUpdate workflows for simple docs, DOCX-first import for polished deliverables, target-document checks, smart chip and building-block reconstruction, connector-readback verification, and reference routing for formatting, citations, tables, and write-safety."
"chatgpt-global","google-drive","0.1.6","chatgpt-global:google-drive","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\google-drive\0.1.6\skills\google-drive\SKILL.md","ON_DEMAND_GATED","external_owner_gate","Use connected Google Drive as the single entrypoint for Drive, Docs, Sheets, and Slides work. Use when the user wants to find, fetch, organize, share, export, copy, or delete Drive files, or summarize and edit Google Docs, Google Sheets, and Google Slides through one unified Google Drive plugin."
"chatgpt-global","google-drive","0.1.6","chatgpt-global:google-drive-comments","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\google-drive\0.1.6\skills\google-drive-comments\SKILL.md","ON_DEMAND_GATED","external_owner_gate","Write, reply to, and resolve Google Drive comments on Docs, Sheets, Slides, and Drive files with evidence-backed location context. Use when the user asks to leave comments, review a file with comments, respond to comment threads, or resolve Drive comments."
"chatgpt-global","google-drive","0.1.6","chatgpt-global:google-sheets","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\google-drive\0.1.6\skills\google-sheets\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Analyze and edit connected Google Sheets with range precision. Use when the user wants to create Google Sheets, find a spreadsheet, inspect tabs or ranges, search rows, plan formulas, create or repair charts, clean or restructure tables, write concise summaries, or make explicit cell-range updates."
"chatgpt-global","google-drive","0.1.6","chatgpt-global:google-slides","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\google-drive\0.1.6\skills\google-slides\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Google Slides work for finding, reading, summarizing, creating, importing, template following, visual cleanup, source-deck adaptation, structural repair, and content edits in native Slides decks."
"chatgpt-global","openai-developers","1.2.2","chatgpt-global:agents-sdk","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\openai-developers\1.2.2\skills\agents-sdk\SKILL.md","PLUGIN_CACHE_REFERENCE","openai_owner_gate","Build, run, deploy, and evaluate OpenAI Agents SDK apps from Codex. Use when the user asks to create or adapt an Agents SDK app, build from a prompt or Codex thread, prepare a runnable agent prototype, add a focused eval harness, or deploy locally through the Agents SDK Deployment Manager."
"chatgpt-global","openai-developers","1.2.2","chatgpt-global:build-chatgpt-app","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\openai-developers\1.2.2\skills\build-chatgpt-app\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Build, scaffold, refactor, and troubleshoot ChatGPT Apps SDK applications that combine an MCP server and widget UI. Use when Codex needs to design tools, register UI resources, wire the MCP Apps bridge or ChatGPT compatibility APIs, apply Apps SDK metadata or CSP or domain settings, or produce a docs-aligned project scaffold. Prefer a docs-first workflow by invoking the openai-docs skill or OpenAI developer docs MCP tools before generating code."
"chatgpt-global","openai-developers","1.2.2","chatgpt-global:chatgpt-app-submission","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\openai-developers\1.2.2\skills\chatgpt-app-submission\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Inspect a ChatGPT Apps MCP server codebase and generate chatgpt-app-submission.json with app info suggestions, tool hint justifications, test cases, and negative test cases, then report review-check findings and outputSchema warnings for submission review."
"chatgpt-global","openai-developers","1.2.2","chatgpt-global:openai-api-troubleshooting","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\openai-developers\1.2.2\skills\openai-api-troubleshooting\SKILL.md","ON_DEMAND_GATED","openai_owner_gate","Use when an OpenAI API request fails and Codex needs to classify the likely cause, explain the next step, and route to the right follow-up. Covers common runtime failures such as blocked outbound network access, invalid credentials, exhausted API quota or credits, rate limits, and model, project, or organization access issues; delegate key provisioning to openai-platform-api-key and current documentation lookups to openai-docs."
"chatgpt-global","openai-developers","1.2.2","chatgpt-global:openai-platform-api-key","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\openai-developers\1.2.2\skills\openai-platform-api-key\SKILL.md","ON_DEMAND_GATED","openai_owner_gate","'Use when Codex is asked to build, run, test, debug, or configure an OpenAI-backed or provider-unspecified AI app, UI, script, CLI, generator, or tool, especially requests phrased only as ""using AI"" or generators driven by forms/user input; also use for OPENAI_API_KEY or sk-proj setup. Treat this as the credential gate: inspect safely, ask reuse-vs-new before API work, and never expose plaintext.'"
"chatgpt-global","outlook-calendar","0.1.2","chatgpt-global:outlook-calendar","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\outlook-calendar\0.1.2\skills\outlook-calendar\SKILL.md","ON_DEMAND_GATED","external_owner_gate","Handle Outlook Calendar workflows, including delegated/shared calendar writes. Use when the user asks for schedule understanding, availability checks, meeting scheduling, intelligent rescheduling, meeting prep, reminder updates, RSVP responses, recurring maintenance, travel coordination, deadline planning, or safe create, update, reschedule, respond, attach, delete, or cancel changes with timezone-aware event times and attendee validation."
"chatgpt-global","outlook-calendar","0.1.2","chatgpt-global:outlook-calendar-daily-brief","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\outlook-calendar\0.1.2\skills\outlook-calendar-daily-brief\SKILL.md","ON_DEMAND_GATED","external_owner_gate","Build polished one-day Outlook Calendar briefs. Use when the user asks for today, tomorrow, or a specific date summary with an agenda, conflict flags, free windows, remaining-meeting readouts, or a calendar brief, and Outlook Calendar is available."
"chatgpt-global","outlook-calendar","0.1.2","chatgpt-global:outlook-calendar-free-up-time","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\outlook-calendar\0.1.2\skills\outlook-calendar-free-up-time\SKILL.md","ON_DEMAND_GATED","external_owner_gate","Find ways to open up meaningful free time in Outlook Calendar. Use when the user wants to clear part of their schedule, make room for focus time, create a longer uninterrupted block, or see the smallest set of calendar changes that would give time back."
"chatgpt-global","outlook-calendar","0.1.2","chatgpt-global:outlook-calendar-group-scheduler","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\outlook-calendar\0.1.2\skills\outlook-calendar-group-scheduler\SKILL.md","ON_DEMAND_GATED","external_owner_gate","Find and rank good meeting times for several people using Outlook Calendar data. Use when the user wants to schedule a meeting, compare candidate slots across attendees, find the best compromise time, or add a room/resource check after narrowing the attendee-compatible options."
"chatgpt-global","outlook-calendar","0.1.2","chatgpt-global:outlook-calendar-meeting-prep","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\outlook-calendar\0.1.2\skills\outlook-calendar-meeting-prep\SKILL.md","ON_DEMAND_GATED","external_owner_gate","Build a practical meeting prep brief from an Outlook Calendar event and its nearby Microsoft context. Use when the user wants to prepare for an upcoming meeting, understand what to read beforehand, pull in linked notes or docs, or get a concise brief on what the meeting appears to require."
"chatgpt-global","outlook-calendar","0.1.2","chatgpt-global:outlook-calendar-shared-calendars","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\outlook-calendar\0.1.2\skills\outlook-calendar-shared-calendars\SKILL.md","ON_DEMAND_GATED","external_owner_gate","Safely write to delegated or shared Outlook calendars. Use when the user explicitly wants to create, update, respond to, cancel, delete, or add a small attachment to an event on a shared or delegated Outlook Calendar."
"chatgpt-global","outlook-email","0.1.2","chatgpt-global:outlook-email","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\outlook-email\0.1.2\skills\outlook-email\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Triage Outlook mail, extract tasks, clean up subscriptions, draft responses, and route shared mailbox work. Use when the user asks to inspect an Outlook inbox or thread, summarize open actions and deadlines, clean up newsletters, draft replies or forwards, organize mailbox follow-up work, or act on a delegated/shared Outlook mailbox."
"chatgpt-global","outlook-email","0.1.2","chatgpt-global:outlook-email-inbox-triage","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\outlook-email\0.1.2\skills\outlook-email-inbox-triage\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Triage an Outlook inbox into actionable buckets such as urgent, needs reply soon, waiting, and FYI using connected Outlook data. Use when the user asks to triage the inbox, rank what needs attention, find what still needs a reply, or separate important mail from noise."
"chatgpt-global","outlook-email","0.1.2","chatgpt-global:outlook-email-reply-drafting","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\outlook-email\0.1.2\skills\outlook-email-reply-drafting\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Draft Outlook email replies safely from connected mailbox context. Use when the user wants to reply to a thread, decide whether to reply-all, prepare a draft before sending, or turn the latest Outlook message into a polished response."
"chatgpt-global","outlook-email","0.1.2","chatgpt-global:outlook-email-shared-mailboxes","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\outlook-email\0.1.2\skills\outlook-email-shared-mailboxes\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Work with delegated or shared Outlook Email mailboxes. Use when the user explicitly wants to read another mailbox, send from or on behalf of a shared mailbox, mark shared mail read or unread, move shared mail, or browse folders in a shared mailbox."
"chatgpt-global","outlook-email","0.1.2","chatgpt-global:outlook-email-subscription-cleanup","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\outlook-email\0.1.2\skills\outlook-email-subscription-cleanup\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Clean up Outlook newsletters and recurring subscription email safely. Use when the user wants to unsubscribe, separate newsletters from human mail, move recurring senders into folders, or organize low-signal subscription traffic without losing important messages."
"chatgpt-global","outlook-email","0.1.2","chatgpt-global:outlook-email-task-extraction","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\outlook-email\0.1.2\skills\outlook-email-task-extraction\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Extract action items, deadlines, commitments, and owners from Outlook email threads and mailbox searches. Use when the user wants a task list from one thread, several related messages, or a mailbox slice, including who owes what and when."
"chatgpt-global","product-design","0.1.46","chatgpt-global:audit","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\product-design\0.1.46\skills\audit\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Audit or critique a product flow, journey, workflow, funnel, onboarding path, checkout path, settings path, screen, or multi-step product experience by capturing screenshots first, placing them in Figma or a local folder, then reporting UX, design, and accessibility findings from that evidence. Use when the user asks to audit, critique, review, inspect, assess, or evaluate a product experience."
"chatgpt-global","product-design","0.1.46","chatgpt-global:design-qa","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\product-design\0.1.46\skills\design-qa\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Internal prototype QA helper. Use only after a Product Design prototype, URL-to-code build, or image-to-code build has a source visual target and a rendered implementation to compare before handoff. Do not use for broad UX critique, design critique, product audits, or flow reviews; route those user-facing requests to audit."
"chatgpt-global","product-design","0.1.46","chatgpt-global:get-context","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\product-design\0.1.46\skills\get-context\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Mandatory design-brief gate for Product Design build and design workflows. Use before ideation, prototyping, image-to-code builds, redesigns, or product UI work to clarify missing product, visual, and interactivity context or play back the supplied brief before proceeding."
"chatgpt-global","product-design","0.1.46","chatgpt-global:ideate","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\product-design\0.1.46\skills\ideate\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Generate image-based visual alternatives, remixes, or concept directions after Product Design get-context has confirmed the design brief. Use when the user asks for design variants, visual exploration, remixes, or image-generated approaches from provided context."
"chatgpt-global","product-design","0.1.46","chatgpt-global:image-to-code","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\product-design\0.1.46\skills\image-to-code\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Implement a selected image, screenshot, mockup, or Image Gen reference as a faithful responsive frontend after Product Design get-context has confirmed the design brief."
"chatgpt-global","product-design","0.1.46","chatgpt-global:index","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\product-design\0.1.46\skills\index\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Use to discover specific skills for the Product Design plugin, when it is at-mentioned directly, or for any mentions of potentially relevant work, including: UX research; product, screen, or flow audits; visual ideation; app or interface design, redesign, cloning, prototyping, or implementation from ideas, URLs, images, Figma, or code; design QA; and prototype sharing or deployment."
"chatgpt-global","product-design","0.1.46","chatgpt-global:prototype","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\product-design\0.1.46\skills\prototype\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Route coded prototype requests after Product Design get-context has confirmed the design brief. Use for building prototypes from URLs, images, mockups, Figma, existing code, or ideas that need visual exploration before build."
"chatgpt-global","product-design","0.1.46","chatgpt-global:research","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\product-design\0.1.46\skills\research\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Run fast, source-grounded UX research on the highest-signal problems users are experiencing with a user-specified digital product. Use when the user asks to research user pain, UX friction, onboarding issues, docs/help problems, developer experience friction, support pain, product workflow issues, or current user complaints for a named product."
"chatgpt-global","product-design","0.1.46","chatgpt-global:share","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\product-design\0.1.46\skills\share\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Share a runnable prototype using the user's preferred deployment tool."
"chatgpt-global","product-design","0.1.46","chatgpt-global:url-to-code","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\product-design\0.1.46\skills\url-to-code\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Clone a live URL as a runnable frontend-only local app using Browser/Chrome source evidence after Product Design get-context has confirmed the design brief."
"chatgpt-global","product-design","0.1.46","chatgpt-global:user-context","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\product-design\0.1.46\skills\user-context\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Load or manage Product Design's saved user context. Use when the user asks to set up Product Design, get started, onboard, save product or design sources, see what Product Design remembers, update saved context, or remember Product Design preferences. Examples include product URLs, Figma files, screenshots, reference images, codebase paths, Storybook, tokens, design systems, brand assets, and general product/design notes."
"chatgpt-global","sharepoint","0.1.2","chatgpt-global:sharepoint","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\sharepoint\0.1.2\skills\sharepoint\SKILL.md","ON_DEMAND_GATED","external_owner_gate","Inspect Microsoft SharePoint context, discover the right site or library, and prepare safe changes. Use when the user wants site, page, or file review, ownership and status extraction, or change planning before editing content, navigation, or information architecture."
