"RootLabel","Kind","Family","Canonical","Alias","Purpose","SourcePath","Notes"
".agents/skills","skill","REY-MODO / gobierno","rey-modo-carril-codex-cloud-api","rey-modo-codex-routing","Decide Codex Local vs Codex Cloud vs OpenAI API segun sensibilidad, tenant, gate y tipo de artefacto.","C:\Users\enzo1\.agents\skills\rey-modo-codex-routing\SKILL.md","alias de archivo: rey-modo-codex-routing"
".agents/skills","skill","REY-MODO / gobierno","rey-modo-evidencia-riesgo-handoff","rey-modo-evidence-risk-handoff","Registra evidencia, riesgos y handoffs de skills/cabinas con cierre trazable y sin datos sensibles.","C:\Users\enzo1\.agents\skills\rey-modo-evidence-risk-handoff\SKILL.md","alias de archivo: rey-modo-evidence-risk-handoff"
".agents/skills","skill","REY-MODO / gobierno","rey-modo-fronteras-continuidad","rey-modo-frontier-continuity-planner","Construye planes modulares, abre fronteras utiles, preserva continuidad y aplica guardia antidegradacion.","C:\Users\enzo1\.agents\skills\rey-modo-frontier-continuity-planner\SKILL.md","alias de archivo: rey-modo-frontier-continuity-planner"
".agents/skills","skill","REY-MODO / gobierno","rey-modo-generador-paquetes-informe","rey-modo-report-pack-generator","Genera paquetes de informe MD/DOCX/PDF y matrices CSV con verificacion local parseable.","C:\Users\enzo1\.agents\skills\rey-modo-report-pack-generator\SKILL.md","alias de archivo: rey-modo-report-pack-generator"
".agents/skills","skill","REY-MODO / gobierno","rey-modo-gobernador-capacidades","rey-modo-gobierno-capacidades","Use when you need to discover, normalize, assign, or validate Rey Mode capabilities before adopting a skill or touching the local canon.","C:\Users\enzo1\.agents\skills\rey-modo-gobierno-capacidades\SKILL.md","alias de archivo: rey-modo-gobierno-capacidades; alias de registry: rey-modo-gobierno-skills"
".agents/skills","skill","REY-MODO / gobierno","rey-modo-mapa-documental-escenarios","rey-modo-docset-scenario-mapper","Mapea escenario documental, documento, lista/biblioteca, metadata minima, emisor, lector, autorizador y efecto operativo.","C:\Users\enzo1\.agents\skills\rey-modo-docset-scenario-mapper\SKILL.md","alias de archivo: rey-modo-docset-scenario-mapper"
".agents/skills","skill","REY-MODO / gobierno","rey-modo-recuperador-codigo-repos","rey-modo-repo-code-recovery","Recupera y clasifica codigo, scripts, manifests, laws, schemas y runbooks como referencia, patron, runtime o prohibido.","C:\Users\enzo1\.agents\skills\rey-modo-repo-code-recovery\SKILL.md","alias de archivo: rey-modo-repo-code-recovery"
".agents/skills","skill","REY-MODO / gobierno","rey-modo-traductor-reino-tecnico","rey-modo-reino-technical-translator","Traduce narrativa Reino a equivalentes tecnicos, jerarquia documental y efectos sobre listas/documentos/cabinas.","C:\Users\enzo1\.agents\skills\rey-modo-reino-technical-translator\SKILL.md","alias de archivo: rey-modo-reino-technical-translator"
".agents/skills","skill","REY-MODO / gobierno","rey-modo-verificador-cierre","rey-modo-verificacion-previa-cierre","Use when you are about to declare a front complete, corrected, or ready, or before commit, PR, or close, and need fresh evidence first.","C:\Users\enzo1\.agents\skills\rey-modo-verificacion-previa-cierre\SKILL.md","alias de archivo: rey-modo-verificacion-previa-cierre"
".agents/skills","skill","TCU / normalizacion / sistemas","tcu-builder-paquetes-factory","tcu-factory-package-builder","Usa esta skill para empaquetar artefactos locales de Factory, TCU y cabinas en manifests, matrices, paquetes y postchecks reutilizables, sin activar runtime ni tocar produccion.","C:\Users\enzo1\.agents\skills\tcu-factory-package-builder\SKILL.md","alias de archivo: tcu-factory-package-builder"
".agents/skills","skill","TCU / normalizacion / sistemas","tcu-gate-api-no-sensible","tcu-openai-api-non-sensitive-gate","Usa esta skill cuando TCU quiera evaluar o ejecutar un uso ampliado de OpenAI API con datos no sensibles o derivados saneados, proyecto API separado, fallback local, registro de uso y gate explicito; aplica a clasificacion, normalizacion, generacion de schemas, validadores, prompts, codigo auxiliar dry-run, matrices depuradas y documentacion auxiliar, y bloquea secretos, tokens, datos personales sensibles, produccion regulada, runtime y decisiones productivas.","C:\Users\enzo1\.agents\skills\tcu-openai-api-non-sensitive-gate\SKILL.md","alias de archivo: tcu-openai-api-non-sensitive-gate"
".agents/skills","skill","TCU / normalizacion / sistemas","tcu-harness-evals-agentes","tcu-agent-eval-harness","Usa esta skill para ejecutar evals, traces y dry-runs sinteticos de agentes/cabinas en TCU_LOCAL y Factory, sin OpenAI API real por defecto, sin runtime productivo y con salida verificable.","C:\Users\enzo1\.agents\skills\tcu-agent-eval-harness\SKILL.md","alias de archivo: tcu-agent-eval-harness"
".agents/skills","skill","TCU / normalizacion / sistemas","tcu-normalizador-estado-cabinas","tcu-cabina-state-normalizer","Usa esta skill para normalizar el estado de cabinas, matrices, handoffs y salidas parseables dentro de TCU_LOCAL y REY_LOCAL, reutilizando fuentes existentes, sin runtime, sin permisos, sin SharePoint write y sin abrir /sites/soporte.","C:\Users\enzo1\.agents\skills\tcu-cabina-state-normalizer\SKILL.md","alias de archivo: tcu-cabina-state-normalizer"
".agents/skills","skill","TCU / normalizacion / sistemas","tcu-normalizador-sistema-modo-on","tcu-modo-e-system-normalizer","Normaliza el sistema operativo TCU entre CanonicaReyModoOn y SYS-ModoOn-PILOTO leyendo listas, bibliotecas, documentos, metadata y aplicando equivalencias seguras sin clonar Canónica, sin runtime, sin permisos y con pre/postcheck.","C:\Users\enzo1\.agents\skills\tcu-modo-e-system-normalizer\SKILL.md","alias de archivo: tcu-modo-e-system-normalizer"
".agents/skills","skill","TCU / normalizacion / sistemas","tcu-publicador-documental-sys","tcu-sys-documental-publisher","Usa esta skill para preparar o ejecutar publicacion documental controlada hacia SYS-ModoOn-PILOTO bajo gate exacto, con precheck, backup, readback y sin runtime ni permisos.","C:\Users\enzo1\.agents\skills\tcu-sys-documental-publisher\SKILL.md","alias de archivo: tcu-sys-documental-publisher"
".agents/skills","skill","TCU / normalizacion / sistemas","tcu-readback-handoff-sys","tcu-sys-readback-handoff-normalizer","Usa esta skill para validar funcionalmente SYS-ModoOn-PILOTO despues de una publicacion documental TCU, comparar listas/bibliotecas/vistas/registros base, detectar handoffs reales evidenciados entre cabinas y poblar SYS_Handoffs por upsert sin inventar transferencias, sin reaprovisionar, sin runtime, sin permisos y sin abrir /sites/soporte.","C:\Users\enzo1\.agents\skills\tcu-sys-readback-handoff-normalizer\SKILL.md","alias de archivo: tcu-sys-readback-handoff-normalizer"
".codex/skills","skill","Arranque y Delegacion","cabina-4field-delegate","cabina-4field-delegate","Delegate a task in the smallest possible package. Use when Codex needs a minimal handoff fast.","C:\Users\enzo1\.codex\skills\cabina-4field-delegate\SKILL.md",""
".codex/skills","skill","Arranque y Delegacion","cabina-4field-paper","cabina-4field-paper","Open a minimal four-field workpaper fast. Use when Codex needs the shortest possible starting packet.","C:\Users\enzo1\.codex\skills\cabina-4field-paper\SKILL.md",""
".codex/skills","skill","Arranque y Delegacion","cabina-agent-delegation","cabina-agent-delegation","Package a bounded task for a delegated agent. Use when Codex should hand off a lane without losing governance, context, or return shape.","C:\Users\enzo1\.codex\skills\cabina-agent-delegation\SKILL.md",""
".codex/skills","skill","Arranque y Delegacion","cabina-session-handoff","cabina-session-handoff","Use when a Cabina Universal session, PR, agent lane, or interrupted task needs a compact handoff or readback with verified branch, PR, commit, validator evidence, risks, next lanes, and stop conditions.","C:\Users\enzo1\.codex\skills\cabina-session-handoff\SKILL.md",""
".codex/skills","skill","Arranque y Delegacion","cabina-start-paper","cabina-start-paper","Open a compact workpaper for a new or resumed Cabina task. Use when Codex needs a short starting packet instead of a full re-scan.","C:\Users\enzo1\.codex\skills\cabina-start-paper\SKILL.md",""
".codex/skills","skill","Arranque y Delegacion","parallel-agentic-repo-audit","parallel-agentic-repo-audit","Use when a repo-wide or multi-file audit must optimize AGENTS.md, skills, workflows, conventions, risks, or validation through a parallel audit chain, fan-in evidence, and no-live local governance.","C:\Users\enzo1\.codex\skills\parallel-agentic-repo-audit\SKILL.md",""
".codex/skills","skill","Arranque y Delegacion","parallel-order-governance","parallel-order-governance","Use when parallel agents, subagents, order preparation, lock keys, local OpenAI design, or lane governance must be coordinated in D-drive.","C:\Users\enzo1\.codex\skills\parallel-order-governance\SKILL.md",""
".codex/skills","skill","Arranque y Delegacion","tcu-desarrollo-con-subagentes","tcu-desarrollo-con-subagentes","Use when a D:\ task needs subagent, parallel, lane, or lock key governance for delegated local work with owners, reviewers, validators, evidence, and stop conditions.","C:\Users\enzo1\.codex\skills\tcu-desarrollo-con-subagentes\SKILL.md",""
".codex/skills","skill","Arranque y Delegacion / soporte","cabina-agent-md-refactor","cabina-agent-md-refactor","Use when AGENTS.md, Codex UI prompts, project instructions, or local governance instructions in cabina-universal-d need pruning, normalization, drift review, or instruction precedence checks without weakening AGENTS.md canon.","C:\Users\enzo1\.codex\skills\cabina-agent-md-refactor\SKILL.md",""
".codex/skills","skill","Arranque y Delegacion / soporte","cabina-commit-work","cabina-commit-work","Use when durable repo work in cabina-universal-d or registered repos must move through GitHub branch, explicit staging, commit, push, draft PR, checks, and readback under cabina governance.","C:\Users\enzo1\.codex\skills\cabina-commit-work\SKILL.md",""
".codex/skills","skill","Arranque y Delegacion / soporte","cabina-document-plugin-adapter","cabina-document-plugin-adapter","Use when Documents, Spreadsheets, Presentations, or PDF plugin work in D:\ needs local artifact handling, regulated-data boundary, render QA, or export evidence.","C:\Users\enzo1\.codex\skills\cabina-document-plugin-adapter\SKILL.md",""
".codex/skills","skill","Arranque y Delegacion / soporte","cabina-github-actions-templates","cabina-github-actions-templates","Use when creating or reviewing GitHub Actions, Copilot instructions, issue forms, PR templates, workflow permissions, checks, or repo automation templates for cabina-governed repos.","C:\Users\enzo1\.codex\skills\cabina-github-actions-templates\SKILL.md",""
".codex/skills","skill","Arranque y Delegacion / soporte","cabina-github-plugin-adapter","cabina-github-plugin-adapter","Use when GitHub plugin or gh CLI work in D:\ needs issue, PR, branch, commit, push, check, or merge handling under Cabina governance.","C:\Users\enzo1\.codex\skills\cabina-github-plugin-adapter\SKILL.md",""
".codex/skills","skill","Arranque y Delegacion / soporte","cabina-naming-analyzer","cabina-naming-analyzer","Use when agent ids, repo ids, matrix ids, skill ids, recipe ids, tool ids, aliases, folders, or stop conditions need canonical naming, alias mapping, cross-matrix synchronization, or vocabulary checks in cabina-universal-d.","C:\Users\enzo1\.codex\skills\cabina-naming-analyzer\SKILL.md",""
".codex/skills","skill","Arranque y Delegacion / soporte","cabina-sharepoint-plugin-adapter","cabina-sharepoint-plugin-adapter","Use when SharePoint plugin work in D:\ needs site, library, list, document, metadata, or evidence handling under Microsoft live gates.","C:\Users\enzo1\.codex\skills\cabina-sharepoint-plugin-adapter\SKILL.md",""
".codex/skills","skill","Arranque y Delegacion / soporte","cabina-superpowers-methodology-adapter","cabina-superpowers-methodology-adapter","Use when Superpowers methodology in D:\ needs planning, debugging, verification, subagent, worktree, or skill-writing guidance under Cabina governance.","C:\Users\enzo1\.codex\skills\cabina-superpowers-methodology-adapter\SKILL.md",""
".codex/skills","skill","Arranque y Delegacion / soporte","cabina-teams-plugin-adapter","cabina-teams-plugin-adapter","Use when Teams plugin work in D:\ needs channel, chat, message, notification, digest, reply, or Planner handling under Microsoft live gates.","C:\Users\enzo1\.codex\skills\cabina-teams-plugin-adapter\SKILL.md",""
".codex/skills","skill","Continuidad","cabina-context-refresh","cabina-context-refresh","Restore current working context fast from local matrices, readbacks, skills, branch state, and active gates. Use when Codex needs a compact rehydration pass before continuing interrupted Cabina or Dataverse work.","C:\Users\enzo1\.codex\skills\cabina-context-refresh\SKILL.md",""
".codex/skills","skill","Continuidad","cabina-continuity-readback","cabina-continuity-readback","Produce a compact continuity packet with verified state, stale items, risks, rollback, and the next lane. Use when Codex needs a short operational readback that keeps work agile without repeating full inventory.","C:\Users\enzo1\.codex\skills\cabina-continuity-readback\SKILL.md",""
".codex/skills","skill","Continuidad","cabina-decision-matrix","cabina-decision-matrix","Route a task to the right Cabina lane using a compact decision matrix. Use when Codex needs to choose the next best skill or action fast.","C:\Users\enzo1\.codex\skills\cabina-decision-matrix\SKILL.md",""
".codex/skills","skill","Continuidad","cabina-lane-selector","cabina-lane-selector","Select the smallest Cabina lane needed for a task. Use when Codex needs a one-line routing choice fast.","C:\Users\enzo1\.codex\skills\cabina-lane-selector\SKILL.md",""
".codex/skills","skill","Continuidad","cabina-mini-router","cabina-mini-router","Route a task through a one-line Cabina lane map. Use when Codex needs the smallest possible routing choice.","C:\Users\enzo1\.codex\skills\cabina-mini-router\SKILL.md",""
".codex/skills","skill","Continuidad","codex-surface-map","codex-surface-map","Organize Codex workspaces and project folders into short visible entry points, map maestros, and longer reference pages without breaking cross-links. Use when the user asks to split or refactor README/AGENTS/environment/skills/outputs/worktrees/plugins/workpapers into a navigable structure, preserve connections, or create a reusable navigation skill.","C:\Users\enzo1\.codex\skills\codex-surface-map\SKILL.md",""
".codex/skills","skill","Continuidad","governed-readback-closeout","governed-readback-closeout","Use when a readback, closeout, validator result, evidence packet, or next-lane handoff must close local D-drive work under cabina governance.","C:\Users\enzo1\.codex\skills\governed-readback-closeout\SKILL.md",""
".codex/skills","skill","Continuidad","tcu-descubridor-capacidades","tcu-descubridor-capacidades","Use when starting, assigning, deriving, dispatching, executing, or closing any Cabina Universal task to run skill discovery, capability assignment, NO_DISPONIBLE marking, and preflight for the real available skill, recipe, plugin, and tool set.","C:\Users\enzo1\.codex\skills\tcu-descubridor-capacidades\SKILL.md",""
".codex/skills","skill","Continuidad / Rey Modo","rey-modo-auditor-sharepoint-seguro","rey-modo-sharepoint-safety-auditor","Ejecuta inventario SharePoint read-only y prepara writes gateados con rollback sin tocar permisos ni InternalName.","C:\Users\enzo1\.codex\skills\rey-modo-sharepoint-safety-auditor\SKILL.md","alias de archivo: rey-modo-sharepoint-safety-auditor"
".codex/skills","skill","Continuidad / Rey Modo","rey-modo-evidencia-riesgo-handoff","rey-modo-evidencia-riesgo-handoff","Use when Cabina Universal work needs evidence, risk, rollback, touched-surface, or handoff closeout under D:\AGENTS.md without live writes.","C:\Users\enzo1\.codex\skills\rey-modo-evidencia-riesgo-handoff\SKILL.md",""
".codex/skills","skill","Continuidad / Rey Modo","rey-modo-gobernador-capacidades","rey-modo-gobernador-capacidades","Use when capability discovery, skill adoption, NO_DISPONIBLE marking, or integration decisions are needed for skills, recipes, plugins, tools, or capabilities in D:\ canon.","C:\Users\enzo1\.codex\skills\rey-modo-gobernador-capacidades\SKILL.md","alias de registry: rey-modo-gobierno-skills"
".codex/skills","skill","Continuidad / Rey Modo","rey-modo-handoff-continuidad","rey-modo-continuidad-sesion","Use when you need to create or resume short handoffs between sessions or gates, capture state, evidence, and blockers, or define one next front without inventing a second memory.","C:\Users\enzo1\.codex\skills\rey-modo-continuidad-sesion\SKILL.md","alias de archivo: rey-modo-continuidad-sesion"
".codex/skills","skill","Continuidad / Rey Modo","rey-modo-respuesta-breve","rey-modo-salida-breve","Use when you need a short Rey response for debug, review, status, blockers, or closeout without losing evidence or the next step.","C:\Users\enzo1\.codex\skills\rey-modo-salida-breve\SKILL.md","alias de archivo: rey-modo-salida-breve"
".codex/skills","skill","Soporte / apps","chatgpt-apps","chatgpt-apps","Build, scaffold, refactor, and troubleshoot ChatGPT Apps SDK applications that combine an MCP server and widget UI. Use when Codex needs to design tools, register UI resources, wire the MCP Apps bridge or ChatGPT compatibility APIs, apply Apps SDK metadata or CSP or domain settings, or produce a docs-aligned project scaffold. Prefer a docs-first workflow by invoking the openai-docs skill or OpenAI developer docs MCP tools before generating code.","C:\Users\enzo1\.codex\skills\chatgpt-apps\SKILL.md",""
".codex/skills","skill","Soporte / documentos","doc","doc","Use when the task involves reading, creating, or editing `.docx` documents, especially when formatting or layout fidelity matters; prefer `python-docx` plus the bundled `scripts/render_docx.py` for visual checks.","C:\Users\enzo1\.codex\skills\doc\SKILL.md",""
".codex/skills","skill","Soporte / documentos","pdf","pdf","Use when tasks involve reading, creating, or reviewing PDF files where rendering and layout matter; prefer visual checks by rendering pages (Poppler) and use Python tools such as `reportlab`, `pdfplumber`, and `pypdf` for generation and extraction.","C:\Users\enzo1\.codex\skills\pdf\SKILL.md",""
".codex/skills","skill","Soporte / frontend","agentation","agentation","Use when a Next.js project needs the Agentation visual feedback toolbar or a minimal UI-to-code setup for frontend work.","C:\Users\enzo1\.codex\skills\agentation\SKILL.md",""
".codex/skills","skill","Soporte / matrices","matrix-recipe-skill-sync","matrix-recipe-skill-sync","Use when a D-drive matrix, recipe, skill, tool, map, eval, or agent assignment changes and indexes must stay aligned.","C:\Users\enzo1\.codex\skills\matrix-recipe-skill-sync\SKILL.md",""
".codex/skills","skill","Soporte / navegacion","playwright","playwright","Use when the task requires automating a real browser from the terminal (navigation, form filling, snapshots, screenshots, data extraction, UI-flow debugging) via `playwright-cli` or the bundled wrapper script.","C:\Users\enzo1\.codex\skills\playwright\SKILL.md",""
".codex/skills","skill","Soporte / seguridad","security-ownership-map","security-ownership-map","Analyze git repositories to build a security ownership topology (people-to-file), compute bus factor and sensitive-code ownership, and export CSV/JSON for graph databases and visualization. Trigger only when the user explicitly wants a security-oriented ownership or bus-factor analysis grounded in git history (for example: orphaned sensitive code, security maintainers, CODEOWNERS reality checks for risk, sensitive hotspots, or ownership clusters). Do not trigger for general maintainer lists or non-security ownership questions.","C:\Users\enzo1\.codex\skills\security-ownership-map\SKILL.md",""
".codex/skills","skill","Soporte / sistema","skill-creator","skill-creator","Guide for creating effective skills. This skill should be used when users want to create a new skill (or update an existing skill) that extends Codex's capabilities with specialized knowledge, workflows, or tool integrations.","C:\Users\enzo1\.codex\skills\.system\skill-creator\SKILL.md",""
".codex/skills","skill","Soporte / sistema","skill-installer","skill-installer","Install Codex skills into $CODEX_HOME/skills from a curated list or a GitHub repo path. Use when a user asks to list installable skills, install a curated skill, or install a skill from another repo (including private repos).","C:\Users\enzo1\.codex\skills\.system\skill-installer\SKILL.md",""
".codex/skills","skill","Soporte / sistema","skill-judge","skill-judge","Use when skill review, SKILL.md audit, or integration decision work is needed before trusting, integrating, comparing, or assigning skills in D:\.","C:\Users\enzo1\.codex\skills\skill-judge\SKILL.md",""
".codex/skills","skill","Soporte / TCU","tcu-fix-auth-flows-power-automate","tcu-powerautomate-flow-auth-fix","Use when a TCU or Modo E Power Automate solution flow says Please authenticate the flow connections and save, CannotStartUnpublishedSolutionFlow, ConnectionAuthorizationFailed, or keeps asking for authentication before asking the user to log in again.","C:\Users\enzo1\.codex\skills\tcu-powerautomate-flow-auth-fix\SKILL.md","alias de archivo: tcu-powerautomate-flow-auth-fix"
".codex/skills","skill","Soporte / TCU","tcu-harness-evals-agentes","tcu-harness-evals-agentes","Use when running local synthetic evals, dry-runs, or agent/cabina harness checks without OpenAI API live, production runtime, or sensitive data.","C:\Users\enzo1\.codex\skills\tcu-harness-evals-agentes\SKILL.md",""
".codex/skills","skill","Soporte / TCU","tcu-normalizador-sistema-modo-on","tcu-normalizador-sistema-modo-on","Use when aligning MODO_ON system structures, equivalences, matrices, or evidence without copying tenants, changing permissions, or touching production.","C:\Users\enzo1\.codex\skills\tcu-normalizador-sistema-modo-on\SKILL.md",""
".codex/skills","skill","Soporte / TCU","tcu-optimizador-pc-local-seguro","tcu-optimizador-pc-local-seguro","Use when optimizing Enzo's Windows PC locally with TCU/Rey safety rules: diagnose performance, clean only authorized temporary files, prepare startup/process deactivation matrices, protect OneDrive/Google Drive/Git/repos/browsers/services/Defender/Windows Update, and close with evidence, rollback notes, and one next gate.","C:\Users\enzo1\.codex\skills\tcu-optimizador-pc-local-seguro\SKILL.md",""
".codex/skills","skill","Soporte / TCU","tcu-planificador-con-archivos","tcu-planificador-con-archivos","Use when a complex D:\ task needs file-based planning, findings, and progress tracking as data artifacts, not executable instructions.","C:\Users\enzo1\.codex\skills\tcu-planificador-con-archivos\SKILL.md",""
".codex/skills","skill","Soporte / TCU","tcu-redactor-planes-operativos","tcu-redactor-planes-operativos","Use when a multi-step D:\ task needs a governed plan, order, rollback, or postcheck before execution, especially with live, repo, migration, or parallel risk.","C:\Users\enzo1\.codex\skills\tcu-redactor-planes-operativos\SKILL.md",""
".codex/skills","skill","Soporte / tooling","agent-retrospective-learning","agent-retrospective-learning","Use when a completed governed frontier must be converted into reusable skills, recipes, validator candidates, agent deltas, prompt improvements, and reviewable readbacks without new live execution.","C:\Users\enzo1\.codex\skills\agent-retrospective-learning\SKILL.md",""
".codex/skills","skill","Soporte / tooling","cli-creator","cli-creator","Build a composable CLI for Codex from API docs, an OpenAPI spec, existing curl examples, an SDK, a web app, an admin tool, or a local script. Use when the user wants Codex to create a command-line tool that can run from any repo, expose composable read/write commands, return stable JSON, manage auth, and pair with a companion skill.","C:\Users\enzo1\.codex\skills\cli-creator\SKILL.md",""
".codex/skills","skill","Soporte / tooling","d-drive-agent-layer-enrichment","d-drive-agent-layer-enrichment","Use when D-drive matrices, recipes, skills, tools, validators, readbacks, or agent routing overlays need local enrichment under cabina governance.","C:\Users\enzo1\.codex\skills\d-drive-agent-layer-enrichment\SKILL.md",""
".codex/skills","skill","Soporte / tooling","excel-workbook-builder","excel-workbook-builder","Create polished Excel workbook templates and tracker workbooks with summary sheets, structured input tables, dropdown lists, formulas, formatting, validation, and export-ready layout. Use when Codex needs to build a new workbook from scratch, or when the user asks for a reusable Excel tracker, register, intake sheet, or starter template.","C:\Users\enzo1\.codex\skills\excel-workbook-builder\SKILL.md",""
".codex/skills","skill","Soporte / tooling","imagegen","imagegen","Generate or edit raster images when the task benefits from AI-created bitmap visuals such as photos, illustrations, textures, sprites, mockups, or transparent-background cutouts. Use when Codex should create a brand-new image, transform an existing image, or derive visual variants from references, and the output should be a bitmap asset rather than repo-native code or vector. Do not use when the task is better handled by editing existing SVG/vector/code-native assets, extending an established icon or logo system, or building the visual directly in HTML/CSS/canvas.","C:\Users\enzo1\.codex\skills\.system\imagegen\SKILL.md",""
".codex/skills","skill","Soporte / tooling","mcp-builder","mcp-builder","Use when building or adjusting an MCP (Model Context Protocol) server or bridge that lets an LLM interact with external services through well-designed tools.","C:\Users\enzo1\.codex\skills\mcp-builder\SKILL.md",""
".codex/skills","skill","Soporte / tooling","no-inference-runtime-write-guard","no-inference-runtime-write-guard","Use when a runtime write, metadata write, target ambiguity, or inferred target update must be blocked unless exact target identity is proven.","C:\Users\enzo1\.codex\skills\no-inference-runtime-write-guard\SKILL.md",""
".codex/skills","skill","Soporte / tooling","openai-docs","openai-docs","Use when the user asks how to build with OpenAI products or APIs, asks about Codex itself or choosing Codex surfaces, needs up-to-date official documentation with citations, help choosing the latest model for a use case, or model upgrade and prompt-upgrade guidance; use OpenAI docs MCP tools for non-Codex docs questions, use the Codex manual helper first for broad Codex self-knowledge, and restrict fallback browsing to official OpenAI domains.","C:\Users\enzo1\.codex\skills\.system\openai-docs\SKILL.md",""
".codex/skills","skill","Soporte / tooling","plugin-creator","plugin-creator","Create and scaffold plugin directories for Codex with a required `.codex-plugin/plugin.json`, optional plugin folders/files, valid manifest defaults, and personal-marketplace entries by default. Use when Codex needs to create a new personal plugin, add optional plugin structure, generate or update marketplace entries for plugin ordering and availability metadata, or update an existing local plugin during development with the CLI-driven cachebuster and reinstall flow.","C:\Users\enzo1\.codex\skills\.system\plugin-creator\SKILL.md",""
".codex/skills","skill","Soporte / tooling","repo-agent-tool-governance","repo-agent-tool-governance","Use when repo, agent, tool, surface, recipe, capability, owner, validator, or stop-condition governance must be assigned in D-drive.","C:\Users\enzo1\.codex\skills\repo-agent-tool-governance\SKILL.md",""
".codex/skills","skill","Soporte / tooling","vsi-superficie-viva-task-runner","vsi-superficie-viva-task-runner","Use when an agent must execute a prepared VSI VS Code Insiders superficie viva agent task queue row from VSCODE_INSIDERS_AGENT_TASK_QUEUE_20260606.csv while preserving agent contracts and gating external live writes.","C:\Users\enzo1\.codex\skills\vsi-superficie-viva-task-runner\SKILL.md",""
".codex/skills","skill","Vivo / Dataverse","dataverse-agent-surface-discovery","dataverse-agent-surface-discovery","Fast local-first discovery of Dataverse agent and computer-use surfaces, solution components, entity sets, saved views, and live rows. Use when Codex needs to locate or confirm Agent Task, ComputerUseAgent, agent metadata, or the exact Dataverse surface behind a requested agent or computer name before proceeding.","C:\Users\enzo1\.codex\skills\dataverse-agent-surface-discovery\SKILL.md",""
