artifact_path,classification,quarantine_status,quarantine_scope,detected_patterns,allowed_use,blocked_use,owner_agent,reviewer_agent,validator,evidence,status,live_executed,external_sync,stop_condition
.agileagentcanvas-context/bmm/tech-spec.json,demo_quarantine,DEMO_QUARANTINE,full_file,Task CRUD|Focus Mode|TaskFlow,read_only_drift_evidence,active_canvas_context|requirements_source|architecture_source|testing_source,codex.workspace_guardian,court.seshat_evidence,scripts/validators/agile_canvas_demo_quarantine_validator.py,Carril A read-only scan 2026-06-08,CONTROLLED,false,false,demo_drift_reconciled_or_quarantined
.agileagentcanvas-context/bmm/test-summary.json,demo_quarantine,DEMO_QUARANTINE,full_file,Task CRUD|Focus Mode,read_only_drift_evidence,active_canvas_context|requirements_source|architecture_source|testing_source,codex.workspace_guardian,court.seshat_evidence,scripts/validators/agile_canvas_demo_quarantine_validator.py,Carril A read-only scan 2026-06-08,CONTROLLED,false,false,demo_drift_reconciled_or_quarantined
.agileagentcanvas-context/bmm/ux-design.json,demo_quarantine,DEMO_QUARANTINE,full_file,Focus Mode|TaskFlow,read_only_drift_evidence,active_canvas_context|requirements_source|architecture_source|testing_source,codex.workspace_guardian,court.seshat_evidence,scripts/validators/agile_canvas_demo_quarantine_validator.py,Carril A read-only scan 2026-06-08,CONTROLLED,false,false,demo_drift_reconciled_or_quarantined
.agileagentcanvas-context/cis/design-thinking.json,demo_quarantine,DEMO_QUARANTINE,full_file,WebSocket|SaaS,read_only_drift_evidence,active_canvas_context|requirements_source|architecture_source|testing_source,codex.workspace_guardian,court.seshat_evidence,scripts/validators/agile_canvas_demo_quarantine_validator.py,Carril A read-only scan 2026-06-08,CONTROLLED,false,false,demo_drift_reconciled_or_quarantined
.agileagentcanvas-context/cis/innovation-strategy.json,demo_quarantine,DEMO_QUARANTINE,full_file,Task CRUD|Focus Mode|WebSocket|SaaS,read_only_drift_evidence,active_canvas_context|requirements_source|architecture_source|testing_source,codex.workspace_guardian,court.seshat_evidence,scripts/validators/agile_canvas_demo_quarantine_validator.py,Carril A read-only scan 2026-06-08,CONTROLLED,false,false,demo_drift_reconciled_or_quarantined
.agileagentcanvas-context/cis/storytelling.json,demo_quarantine,DEMO_QUARANTINE,full_file,TaskFlow|SaaS,read_only_drift_evidence,active_canvas_context|requirements_source|architecture_source|testing_source,codex.workspace_guardian,court.seshat_evidence,scripts/validators/agile_canvas_demo_quarantine_validator.py,Carril A read-only scan 2026-06-08,CONTROLLED,false,false,demo_drift_reconciled_or_quarantined
.agileagentcanvas-context/testing/atdd-checklist.json,demo_quarantine,DEMO_QUARANTINE,full_file,Task CRUD|TEA Agent|WebSocket,read_only_drift_evidence,active_canvas_context|requirements_source|architecture_source|testing_source,codex.workspace_guardian,court.seshat_evidence,scripts/validators/agile_canvas_demo_quarantine_validator.py,Carril A read-only scan 2026-06-08,CONTROLLED,false,false,demo_drift_reconciled_or_quarantined
.agileagentcanvas-context/testing/automation-summary.json,demo_quarantine,DEMO_QUARANTINE,full_file,TEA Agent|WebSocket,read_only_drift_evidence,active_canvas_context|requirements_source|architecture_source|testing_source,codex.workspace_guardian,court.seshat_evidence,scripts/validators/agile_canvas_demo_quarantine_validator.py,Carril A read-only scan 2026-06-08,CONTROLLED,false,false,demo_drift_reconciled_or_quarantined
.agileagentcanvas-context/testing/ci-pipeline.json,demo_quarantine,DEMO_QUARANTINE,full_file,TaskFlow|TEA Agent|WebSocket,read_only_drift_evidence,active_canvas_context|requirements_source|architecture_source|testing_source,codex.workspace_guardian,court.seshat_evidence,scripts/validators/agile_canvas_demo_quarantine_validator.py,Carril A read-only scan 2026-06-08,CONTROLLED,false,false,demo_drift_reconciled_or_quarantined
.agileagentcanvas-context/testing/nfr-assessment.json,demo_quarantine,DEMO_QUARANTINE,full_file,Task CRUD|SOC 2|10000|TEA Agent|WebSocket,read_only_drift_evidence,active_canvas_context|requirements_source|architecture_source|testing_source,codex.workspace_guardian,court.seshat_evidence,scripts/validators/agile_canvas_demo_quarantine_validator.py,Carril A read-only scan 2026-06-08,CONTROLLED,false,false,demo_drift_reconciled_or_quarantined
.agileagentcanvas-context/testing/test-cases.json,demo_quarantine,DEMO_QUARANTINE,full_file,Focus Mode|WebSocket,read_only_drift_evidence,active_canvas_context|requirements_source|architecture_source|testing_source,codex.workspace_guardian,court.seshat_evidence,scripts/validators/agile_canvas_demo_quarantine_validator.py,Carril A read-only scan 2026-06-08,CONTROLLED,false,false,demo_drift_reconciled_or_quarantined
.agileagentcanvas-context/testing/test-design.json,demo_quarantine,DEMO_QUARANTINE,full_file,Task CRUD|WebSocket,read_only_drift_evidence,active_canvas_context|requirements_source|architecture_source|testing_source,codex.workspace_guardian,court.seshat_evidence,scripts/validators/agile_canvas_demo_quarantine_validator.py,Carril A read-only scan 2026-06-08,CONTROLLED,false,false,demo_drift_reconciled_or_quarantined
.agileagentcanvas-context/testing/test-framework.json,demo_quarantine,DEMO_QUARANTINE,full_file,TEA Agent|WebSocket,read_only_drift_evidence,active_canvas_context|requirements_source|architecture_source|testing_source,codex.workspace_guardian,court.seshat_evidence,scripts/validators/agile_canvas_demo_quarantine_validator.py,Carril A read-only scan 2026-06-08,CONTROLLED,false,false,demo_drift_reconciled_or_quarantined
.agileagentcanvas-context/testing/test-review.json,demo_quarantine,DEMO_QUARANTINE,full_file,Task CRUD|TEA Agent|Sprint 12|WebSocket,read_only_drift_evidence,active_canvas_context|requirements_source|architecture_source|testing_source,codex.workspace_guardian,court.seshat_evidence,scripts/validators/agile_canvas_demo_quarantine_validator.py,Carril A read-only scan 2026-06-08,CONTROLLED,false,false,demo_drift_reconciled_or_quarantined
.agileagentcanvas-context/testing/test-strategy.json,demo_quarantine,DEMO_QUARANTINE,full_file,Focus Mode,read_only_drift_evidence,active_canvas_context|requirements_source|architecture_source|testing_source,codex.workspace_guardian,court.seshat_evidence,scripts/validators/agile_canvas_demo_quarantine_validator.py,Carril A read-only scan 2026-06-08,CONTROLLED,false,false,demo_drift_reconciled_or_quarantined
.agileagentcanvas-context/testing/traceability-matrix.json,demo_quarantine,DEMO_QUARANTINE,full_file,Task CRUD|TEA Agent|Sprint 12|WebSocket,read_only_drift_evidence,active_canvas_context|requirements_source|architecture_source|testing_source,codex.workspace_guardian,court.seshat_evidence,scripts/validators/agile_canvas_demo_quarantine_validator.py,Carril A read-only scan 2026-06-08,CONTROLLED,false,false,demo_drift_reconciled_or_quarantined
