"upstream_id","repository","url","category","current_signal","latest_release_or_state","pushed_at","license","authority_class","allowed_use","blocked_use","owner_agent","reviewer_agent","skill_refs","recipe_refs","tool_refs","evidence","validator","status","stop_condition"
"openai.privacy_filter","openai/privacy-filter","https://github.com/openai/privacy-filter","privacy_filter","OpenAI Privacy Filter","no release found by gh repo view","2026-04-22T19:55:02Z","Apache-2.0","official_technical_reference","privacy_filter_reference|sanitization_pattern_reference","treat_as_canon|bulk_copy|openai_api_live|microsoft_live|production|secrets|permission_change|remote_agent_persistence","rey.frontier_guardian","court.seshat_evidence","openai-docs|codex-security:security-scan","recipe.gate_decision_packet|recipe.openai_review_repair_validate_loop","tool.gh_remote_readonly|tool.local_validate_openai_upstream_adoption","gh_repo_view_20260602|sanitized_evidence_policy",".agents/codex/tools/local_validate_openai_upstream_adoption.ps1","MAP_LOCAL_ONLY","secret_detected|regulated_data_boundary_unclear|openai_api_live_requested_without_order"
"openai.model_spec","openai/model_spec","https://github.com/openai/model_spec","model_spec","OpenAI Model Spec","no release found by gh repo view","2026-05-22T04:55:58Z","CC0-1.0","official_technical_reference","behavior_reference|eval_case_reference","treat_as_canon|bulk_copy|openai_api_live|production|secrets|permission_change|remote_agent_persistence","tech.reference_librarian","rey.authority_canonist","openai-docs|tcu-harness-evals-agentes","recipe.workspace_reference_audit|recipe.openai_review_repair_validate_loop","tool.gh_remote_readonly|tool.local_validate_openai_upstream_adoption","gh_repo_view_20260602|model_spec_reference",".agents/codex/tools/local_validate_openai_upstream_adoption.ps1","REVIEW_BEFORE_ADOPTION","source_uncertain|source_reference_treated_as_canon|secret_detected"
"openai.model_spec_dataset","openai/model_spec_dataset","https://github.com/openai/model_spec_dataset","model_spec_dataset","Public-domain prompts and scenarios for Model Spec evals","no release found by gh repo view","2026-03-24T19:51:22Z","CC0-1.0","official_technical_reference","synthetic_eval_case_reference|scenario_reference","treat_as_canon|bulk_copy|openai_api_live|production|secrets|permission_change|remote_agent_persistence","court.thot_schema","court.sdu_gate","tcu-harness-evals-agentes|openai-docs","recipe.openai_local_agent_design|recipe.openai_review_repair_validate_loop","tool.synthetic_eval_manifest|tool.local_validate_openai_upstream_adoption","gh_repo_view_20260602|synthetic_eval_policy",".agents/codex/tools/local_validate_openai_upstream_adoption.ps1","REVIEW_BEFORE_ADOPTION","source_uncertain|source_reference_treated_as_canon|secret_detected"
"openai.realtime_agents","openai/openai-realtime-agents","https://github.com/openai/openai-realtime-agents","realtime_agents","Agentic patterns on Realtime API","no release found by gh repo view","2026-01-07T18:38:52Z","MIT","official_technical_reference","realtime_agent_pattern_reference|teams_voice_future_lane","treat_as_canon|bulk_copy|openai_api_live|microsoft_live|production|secrets|permission_change|remote_agent_persistence","court.openai_dispatcher","rey.frontier_guardian","openai-developers:agents-sdk|teams:teams","recipe.openai_local_agent_design|recipe.gate_decision_packet|recipe.openai_review_repair_validate_loop","tool.gh_remote_readonly|tool.local_validate_openai_upstream_adoption","gh_repo_view_20260602|teams_future_lane",".agents/codex/tools/local_validate_openai_upstream_adoption.ps1","DEFER_UNTIL_GOVERNED_ORDER","openai_api_live_requested_without_order|microsoft_live_requested_without_governed_order|production_requested_without_explicit_authorization|secret_detected"
"openai.cua_sample_app","openai/openai-cua-sample-app","https://github.com/openai/openai-cua-sample-app","computer_using_agent","CUA sample app via API","no release found by gh repo view","2026-03-30T16:48:59Z","MIT","official_technical_reference","cua_reference|computer_use_boundary_reference","treat_as_canon|bulk_copy|openai_api_live|production|secrets|permission_change|remote_agent_persistence","codex.workspace_guardian","rey.frontier_guardian","computer-use:computer-use|openai-docs","recipe.workspace_reference_audit|recipe.gate_decision_packet|recipe.openai_review_repair_validate_loop","tool.gh_remote_readonly|tool.local_validate_openai_upstream_adoption","gh_repo_view_20260602|computer_use_boundary",".agents/codex/tools/local_validate_openai_upstream_adoption.ps1","DEFER_UNTIL_GOVERNED_ORDER","openai_api_live_requested_without_order|production_requested_without_explicit_authorization|secret_detected"
"openai.responses_starter_app","openai/openai-responses-starter-app","https://github.com/openai/openai-responses-starter-app","responses_api_starter","Starter app for Responses API","no release found by gh repo view","2025-12-15T22:13:56Z","NOASSERTION","official_technical_reference","responses_api_reference|starter_app_pattern_reference","treat_as_canon|bulk_copy|openai_api_live|production|secrets|permission_change|remote_agent_persistence","court.openai_dispatcher","court.sdu_gate","openai-docs|openai-developers:agents-sdk","recipe.openai_local_agent_design|recipe.openai_review_repair_validate_loop","tool.gh_remote_readonly|tool.local_validate_openai_upstream_adoption","gh_repo_view_20260602|responses_api_boundary",".agents/codex/tools/local_validate_openai_upstream_adoption.ps1","REVIEW_BEFORE_ADOPTION","source_uncertain|openai_api_live_requested_without_order|secret_detected"
"openai.python_sdk","openai/openai-python","https://github.com/openai/openai-python","official_sdk_python","Official Python library for OpenAI API","v2.40.0 published 2026-06-01","2026-06-01T21:48:25Z","Apache-2.0","official_technical_reference","python_sdk_version_reference|client_pattern_reference","treat_as_canon|bulk_copy|openai_api_live|production|secrets|permission_change|remote_agent_persistence","court.openai_dispatcher","court.thot_schema","openai-docs|openai-developers:openai-api-troubleshooting","recipe.openai_local_agent_design|recipe.openai_review_repair_validate_loop","tool.gh_remote_readonly|tool.local_validate_openai_upstream_adoption","gh_repo_view_20260602|sdk_version_row",".agents/codex/tools/local_validate_openai_upstream_adoption.ps1","ADOPT_REFERENCE_NOW","openai_api_live_requested_without_order|secret_detected"
"openai.node_sdk","openai/openai-node","https://github.com/openai/openai-node","official_sdk_node","Official JavaScript TypeScript library for OpenAI API","v6.41.0 published 2026-06-01","2026-06-01T21:41:24Z","Apache-2.0","official_technical_reference","node_sdk_version_reference|typescript_client_reference","treat_as_canon|bulk_copy|openai_api_live|production|secrets|permission_change|remote_agent_persistence","court.openai_dispatcher","court.thot_schema","openai-docs|openai-developers:openai-api-troubleshooting","recipe.openai_local_agent_design|recipe.openai_review_repair_validate_loop","tool.gh_remote_readonly|tool.local_validate_openai_upstream_adoption","gh_repo_view_20260602|sdk_version_row",".agents/codex/tools/local_validate_openai_upstream_adoption.ps1","ADOPT_REFERENCE_NOW","openai_api_live_requested_without_order|secret_detected"
"openai.dotnet_sdk","openai/openai-dotnet","https://github.com/openai/openai-dotnet","official_sdk_dotnet","Official .NET library for OpenAI API","OpenAI_2.10.0 published 2026-04-04","2026-06-01T23:05:29Z","MIT","official_technical_reference","dotnet_sdk_version_reference","treat_as_canon|bulk_copy|openai_api_live|production|secrets|permission_change|remote_agent_persistence","tech.reference_librarian","court.thot_schema","openai-docs","recipe.workspace_reference_audit|recipe.openai_review_repair_validate_loop","tool.gh_remote_readonly|tool.local_validate_openai_upstream_adoption","gh_repo_view_20260602|sdk_version_row",".agents/codex/tools/local_validate_openai_upstream_adoption.ps1","REFERENCE_ONLY","source_uncertain|openai_api_live_requested_without_order|secret_detected"
"openai.go_sdk","openai/openai-go","https://github.com/openai/openai-go","official_sdk_go","Official Go library for OpenAI API","v3.38.0 published 2026-06-01","2026-06-01T19:09:59Z","Apache-2.0","official_technical_reference","go_sdk_version_reference","treat_as_canon|bulk_copy|openai_api_live|production|secrets|permission_change|remote_agent_persistence","tech.reference_librarian","court.thot_schema","openai-docs","recipe.workspace_reference_audit|recipe.openai_review_repair_validate_loop","tool.gh_remote_readonly|tool.local_validate_openai_upstream_adoption","gh_repo_view_20260602|sdk_version_row",".agents/codex/tools/local_validate_openai_upstream_adoption.ps1","REFERENCE_ONLY","source_uncertain|openai_api_live_requested_without_order|secret_detected"
"openai.java_sdk","openai/openai-java","https://github.com/openai/openai-java","official_sdk_java","Official Java library for OpenAI API","v4.38.0 published 2026-06-01","2026-06-01T19:09:48Z","Apache-2.0","official_technical_reference","java_sdk_version_reference","treat_as_canon|bulk_copy|openai_api_live|production|secrets|permission_change|remote_agent_persistence","tech.reference_librarian","court.thot_schema","openai-docs","recipe.workspace_reference_audit|recipe.openai_review_repair_validate_loop","tool.gh_remote_readonly|tool.local_validate_openai_upstream_adoption","gh_repo_view_20260602|sdk_version_row",".agents/codex/tools/local_validate_openai_upstream_adoption.ps1","REFERENCE_ONLY","source_uncertain|openai_api_live_requested_without_order|secret_detected"
"openai.tiktoken","openai/tiktoken","https://github.com/openai/tiktoken","tokenizer","Fast BPE tokenizer for OpenAI models","0.13.0 published 2026-05-15","2026-05-24T08:43:54Z","MIT","official_technical_reference","token_budget_reference|local_estimation_reference","treat_as_canon|bulk_copy|openai_api_live|production|secrets|permission_change|remote_agent_persistence","tech.reference_librarian","court.thot_schema","openai-docs","recipe.workspace_reference_audit|recipe.openai_review_repair_validate_loop","tool.gh_remote_readonly|tool.local_validate_openai_upstream_adoption","gh_repo_view_20260602|token_budget_reference",".agents/codex/tools/local_validate_openai_upstream_adoption.ps1","REFERENCE_ONLY","source_uncertain|openai_api_live_requested_without_order|secret_detected"
