native_agent_id,display_name,title,module,native_manifest_path,native_agent_path,surface,agent_class,authority_boundary,available_in_board,governance_relation,status,activation_status,activation_mode,direct_invocation_from_codex,activation_evidence,stop_condition
ux-designer,Sally,UX Designer,bmm,C:/Users/enzo1/.vscode-insiders/extensions/msayedshokry.agileagentcanvas-0.5.2/resources/_aac/_config/agent-manifest.csv,_aac/bmm/agents/ux-designer.md,vscode_insiders_agile_agent_canvas,native_aac_agent,tablero_native_not_cabina_authority,true,governed_by_cabina_only_when_invoked_from_repo_scope,AVAILABLE_NATIVE_AAC_AGENT,ACTIVE_AAC_NATIVE_TEAM_GOVERNED,repo_local_board_activation,false,package_json_language_model_tools_and_chat_participant_manifest_read,aac_native_agent_direct_invocation_unavailable
agent-builder,Bond,Agent Building Expert,bmb,C:/Users/enzo1/.vscode-insiders/extensions/msayedshokry.agileagentcanvas-0.5.2/resources/_aac/_config/agent-manifest.csv,_aac/bmb/agents/agent-builder.md,vscode_insiders_agile_agent_canvas,native_aac_agent,tablero_native_not_cabina_authority,true,governed_by_cabina_only_when_invoked_from_repo_scope,AVAILABLE_NATIVE_AAC_AGENT,ACTIVE_AAC_NATIVE_TEAM_GOVERNED,repo_local_board_activation,false,package_json_language_model_tools_and_chat_participant_manifest_read,aac_native_agent_direct_invocation_unavailable
module-builder,Morgan,Module Creation Master,bmb,C:/Users/enzo1/.vscode-insiders/extensions/msayedshokry.agileagentcanvas-0.5.2/resources/_aac/_config/agent-manifest.csv,_aac/bmb/agents/module-builder.md,vscode_insiders_agile_agent_canvas,native_aac_agent,tablero_native_not_cabina_authority,true,governed_by_cabina_only_when_invoked_from_repo_scope,AVAILABLE_NATIVE_AAC_AGENT,ACTIVE_AAC_NATIVE_TEAM_GOVERNED,repo_local_board_activation,false,package_json_language_model_tools_and_chat_participant_manifest_read,aac_native_agent_direct_invocation_unavailable
workflow-builder,Wendy,Workflow Building Master,bmb,C:/Users/enzo1/.vscode-insiders/extensions/msayedshokry.agileagentcanvas-0.5.2/resources/_aac/_config/agent-manifest.csv,_aac/bmb/agents/workflow-builder.md,vscode_insiders_agile_agent_canvas,native_aac_agent,tablero_native_not_cabina_authority,true,governed_by_cabina_only_when_invoked_from_repo_scope,AVAILABLE_NATIVE_AAC_AGENT,ACTIVE_AAC_NATIVE_TEAM_GOVERNED,repo_local_board_activation,false,package_json_language_model_tools_and_chat_participant_manifest_read,aac_native_agent_direct_invocation_unavailable
tea,Murat,Master Test Architect and Quality Advisor,tea,C:/Users/enzo1/.vscode-insiders/extensions/msayedshokry.agileagentcanvas-0.5.2/resources/_aac/_config/agent-manifest.csv,_aac/tea/agents/tea.md,vscode_insiders_agile_agent_canvas,native_aac_agent,tablero_native_not_cabina_authority,true,governed_by_cabina_only_when_invoked_from_repo_scope,AVAILABLE_NATIVE_AAC_AGENT,ACTIVE_AAC_NATIVE_TEAM_GOVERNED,repo_local_board_activation,false,package_json_language_model_tools_and_chat_participant_manifest_read,aac_native_agent_direct_invocation_unavailable
brainstorming-coach,Carson,Elite Brainstorming Specialist,cis,C:/Users/enzo1/.vscode-insiders/extensions/msayedshokry.agileagentcanvas-0.5.2/resources/_aac/_config/agent-manifest.csv,_aac/cis/agents/brainstorming-coach.md,vscode_insiders_agile_agent_canvas,native_aac_agent,tablero_native_not_cabina_authority,true,governed_by_cabina_only_when_invoked_from_repo_scope,AVAILABLE_NATIVE_AAC_AGENT,ACTIVE_AAC_NATIVE_TEAM_GOVERNED,repo_local_board_activation,false,package_json_language_model_tools_and_chat_participant_manifest_read,aac_native_agent_direct_invocation_unavailable
creative-problem-solver,Dr. Quinn,Master Problem Solver,cis,C:/Users/enzo1/.vscode-insiders/extensions/msayedshokry.agileagentcanvas-0.5.2/resources/_aac/_config/agent-manifest.csv,_aac/cis/agents/creative-problem-solver.md,vscode_insiders_agile_agent_canvas,native_aac_agent,tablero_native_not_cabina_authority,true,governed_by_cabina_only_when_invoked_from_repo_scope,AVAILABLE_NATIVE_AAC_AGENT,ACTIVE_AAC_NATIVE_TEAM_GOVERNED,repo_local_board_activation,false,package_json_language_model_tools_and_chat_participant_manifest_read,aac_native_agent_direct_invocation_unavailable
design-thinking-coach,Maya,Design Thinking Maestro,cis,C:/Users/enzo1/.vscode-insiders/extensions/msayedshokry.agileagentcanvas-0.5.2/resources/_aac/_config/agent-manifest.csv,_aac/cis/agents/design-thinking-coach.md,vscode_insiders_agile_agent_canvas,native_aac_agent,tablero_native_not_cabina_authority,true,governed_by_cabina_only_when_invoked_from_repo_scope,AVAILABLE_NATIVE_AAC_AGENT,ACTIVE_AAC_NATIVE_TEAM_GOVERNED,repo_local_board_activation,false,package_json_language_model_tools_and_chat_participant_manifest_read,aac_native_agent_direct_invocation_unavailable
innovation-strategist,Victor,Disruptive Innovation Oracle,cis,C:/Users/enzo1/.vscode-insiders/extensions/msayedshokry.agileagentcanvas-0.5.2/resources/_aac/_config/agent-manifest.csv,_aac/cis/agents/innovation-strategist.md,vscode_insiders_agile_agent_canvas,native_aac_agent,tablero_native_not_cabina_authority,true,governed_by_cabina_only_when_invoked_from_repo_scope,AVAILABLE_NATIVE_AAC_AGENT,ACTIVE_AAC_NATIVE_TEAM_GOVERNED,repo_local_board_activation,false,package_json_language_model_tools_and_chat_participant_manifest_read,aac_native_agent_direct_invocation_unavailable
presentation-master,Caravaggio,Visual Communication and Presentation Expert,cis,C:/Users/enzo1/.vscode-insiders/extensions/msayedshokry.agileagentcanvas-0.5.2/resources/_aac/_config/agent-manifest.csv,_aac/cis/agents/presentation-master.md,vscode_insiders_agile_agent_canvas,native_aac_agent,tablero_native_not_cabina_authority,true,governed_by_cabina_only_when_invoked_from_repo_scope,AVAILABLE_NATIVE_AAC_AGENT,ACTIVE_AAC_NATIVE_TEAM_GOVERNED,repo_local_board_activation,false,package_json_language_model_tools_and_chat_participant_manifest_read,aac_native_agent_direct_invocation_unavailable
storyteller,Sophia,Master Storyteller,cis,C:/Users/enzo1/.vscode-insiders/extensions/msayedshokry.agileagentcanvas-0.5.2/resources/_aac/_config/agent-manifest.csv,_aac/cis/agents/storyteller/storyteller.md,vscode_insiders_agile_agent_canvas,native_aac_agent,tablero_native_not_cabina_authority,true,governed_by_cabina_only_when_invoked_from_repo_scope,AVAILABLE_NATIVE_AAC_AGENT,ACTIVE_AAC_NATIVE_TEAM_GOVERNED,repo_local_board_activation,false,package_json_language_model_tools_and_chat_participant_manifest_read,aac_native_agent_direct_invocation_unavailable
