"tool_id","owner_agent","tool_type","governed_asset_classes","allowed_surface","allowed_actions","blocked_surface","required_evidence","validator"
"tool.local_validate_teams_cross_repo_lane_audit","court.thot_schema","run","teams|repo|matrix|readback|order","local_filesystem","validate_teams_lane_matrix|validate_sanitized_live_read_evidence","external_runtime|microsoft_live|production|secret_materialization|raw_transcript_export","teams_cross_repo_lane_audit_result","tool.local_validate_teams_cross_repo_lane_audit"
"tool.local_validate_user_identity_governance","court.thot_schema","run","user_identity|microsoft_live|tenant|matrix|order|readback","local_filesystem","validate_user_identity_governance","external_runtime|microsoft_live|production|permission_change|secret_materialization|regulated_data_dump","user_identity_governance_result","tool.local_validate_user_identity_governance"
"tool.local_validate_teams_governance","court.thot_schema","run","teams|microsoft_live|matrix|order|readback","local_filesystem","validate_teams_governance","external_runtime|microsoft_live|production|permission_change|secret_materialization|regulated_data_dump","teams_governance_result","tool.local_validate_teams_governance"
"tool.local_validate_openai_upstream_adoption","court.thot_schema","run","openai|source|recipe|matrix|readback|workpaper","local_filesystem","validate_openai_upstream_adoption","external_runtime|openai_api_live|agents_sdk_live|production|permission_change|secret_materialization|remote_agent_persistence","openai_upstream_adoption_result","tool.local_validate_openai_upstream_adoption"
"tool.codex_cloud_cli_readonly","court.openai_dispatcher","read","codex_cloud|repo|github","github_remote_codex_cloud_governed","list|status|diff|exec_readonly_when_repo_branch_fixed","secret_materialization|microsoft_live|production|permission_change|openai_api_live|regulated_data_dump|codex_cloud_apply_without_review","codex_cloud_status_diff_readback","tool.local_validate_codex_cloud_governed_lane"
"tool.local_validate_codex_cloud_governed_lane","court.thot_schema","run","codex_cloud|matrix|map|recipe|tool","local_filesystem","validate_codex_cloud_governed_lane","external_runtime|openai_api_live|microsoft_live|production|secret_materialization|remote_agent_persistence","codex_cloud_governed_lane_result","tool.local_validate_codex_cloud_governed_lane"
"tool.local_validate_capability_use_hardening","court.thot_schema","run","agent|skill|recipe|plugin|tool|surface|validator","local_filesystem","validate_capability_use_preflight","external_runtime|microsoft_live|openai_api_live|production|secret_materialization","capability_use_hardening_result","tool.local_validate_capability_use_hardening"
"tool.local_validate_autonomous_agent_execution","court.thot_schema","run","agent|subagent|codex_cloud|repo|matrix","local_filesystem","validate_autonomous_agent_execution","external_runtime|microsoft_live|openai_api_live|production|secret_materialization|remote_agent_persistence|codex_cloud_apply_without_review","autonomous_agent_execution_result","tool.local_validate_autonomous_agent_execution"
"tool.local_validate_codex_app_environments","court.openai_dispatcher","run","codex_environment|repo|runtime","local_filesystem","validate_codex_app_environment|validate_environment_queue|validate_no_secrets|validate_missing_create_tool","external_runtime|microsoft_live|openai_api_live|production|secret_materialization|tenant_write|codex_cloud_apply_without_review","codex_environment_readback","tool.local_validate_codex_app_environments"
"tool.local_run_change_aware_full_coverage_orchestrator","court.thot_schema","run","validator|workflow|coverage|audit","local_filesystem","validate_manifest|build_plan|execute_plan|verify_coverage_equivalence|emit_audit_artifact","external_runtime|microsoft_live|openai_api_live|production|secret_materialization|coverage_reduction","change_aware_full_coverage_audit","tool.local_run_change_aware_full_coverage_orchestrator"
"tool.local_validate_change_aware_full_coverage_orchestrator","court.thot_schema","run","validator|workflow|coverage|audit","local_filesystem","validate_orchestrator_manifest_graph_and_plan","external_runtime|microsoft_live|openai_api_live|production|secret_materialization|coverage_reduction","change_aware_orchestrator_static_result","tool.local_validate_change_aware_full_coverage_orchestrator"
"tool.local_validate_skill_recipe_agent_learning","court.seshat_evidence","run","retrospective|skill|recipe|agent|validator","local_filesystem","validate_retrospective_learning_package|validate_candidate_matrices|validate_no_live_markers","dataverse_live|powerautomate_live|openai_api_live|batch_api|production|secret_materialization","retrospective_learning_validation_result","tool.local_validate_skill_recipe_agent_learning"
"tool.local_validate_powershell_runtime_friction","court.thot_schema","run","validator|powershell|runtime|recipe|matrix","local_filesystem","parse_powershell_scripts|detect_shell_friction_patterns|write_result_when_requested","global_profile_write|machine_path_write|microsoft_live|openai_api_live|production|secret_materialization","powershell_runtime_friction_result","tool.local_validate_powershell_runtime_friction"
"tool.local_validate_d_skill_availability_and_issue_pr_friction","court.thot_schema","run","skill|github_issue|github_pr|powershell|runtime","local_filesystem|github_remote_readonly","validate_d_skill_availability|classify_external_skills|scan_issues_prs_for_runtime_friction","github_write|microsoft_live|openai_api_live|production|secret_materialization","d_skill_availability_issue_pr_friction_result","tool.local_validate_d_skill_availability_and_issue_pr_friction"
"tool.local_validate_c_root_reference_reconciliation","codex.workspace_guardian","run","repo|path|legacy_reference","local_filesystem","validate_c_root_references","external_runtime|legacy_root_dependency|secret_materialization","c_root_reference_reconciliation_result","tool.local_validate_c_root_reference_reconciliation"
"tool.local_validate_repo_topology_windows_default","codex.workspace_guardian","run","repo|path|codex_config|topology","local_filesystem","validate_windows_github_sibling_topology|validate_effective_codex_home|validate_no_nested_git","external_runtime|nested_repo_absorption|global_config_write|secret_materialization","repo_topology_validation_result","tool.local_validate_repo_topology_windows_default"
"tool.local_validate_cabina_full_automation_planes","court.thot_schema","run","automation_planes|matrix|validator|governance","local_filesystem","validate_plane_matrix|validate_plane_sequence|validate_gate_boundaries|validate_index_registration","external_runtime|microsoft_live|openai_api_live|production|secret_materialization|ungated_merge","cabina_full_automation_planes_validation_result","tool.local_validate_cabina_full_automation_planes"
"tool.local_validate_agent_global_operability_semaphore","court.thot_schema","run","matrix|gate|validator|governance","local_filesystem","validate_semaphore_columns|validate_color_state_contract|validate_backlog_consistency|validate_gate_owner_stop_condition","external_runtime|microsoft_live|openai_api_live|production|secret_materialization","agent_global_operability_semaphore_validation_result","tool.local_validate_agent_global_operability_semaphore"
"tool.local_validate_agent_global_operability_package","court.thot_schema","run","matrix|map|gate|raci|workflow|validator|governance","local_filesystem","validate_findings_decisions_raci_workflow_org_sdu_framework_backlog_semaphore_consistency","external_runtime|microsoft_live|openai_api_live|production|secret_materialization","agent_global_operability_package_validation_result","tool.local_validate_agent_global_operability_package"
"tool.local_start_vsi_cabina","codex.workspace_guardian","run","vsi|local_dashboard|agile_agent_canvas|startup","local_filesystem|loopback_dashboard|vscode_insiders_user_settings","start_or_reuse_loopback_dashboard|verify_vscode_insiders|set_agile_canvas_user_catalogue_path|open_canvas|assert_no_completed_task_downgrade|launch_bridge_with_direct_node","external_provider_write|microsoft_live|openai_api_live|production|secret_materialization|destructive_cleanup|task_status_downgrade|nested_powershell_startup_wrapper","vsi_startup_json_result","tool.local_start_vsi_cabina|tool.local_validate_powershell_runtime_friction"
"tool.agile_canvas_identity_drift_validator","court.thot_schema","run","agile_canvas|validator|identity|drift","local_filesystem","validate_active_canvas_identity|detect_demo_identity_drift|scan_all_when_requested","external_runtime|microsoft_live|openai_api_live|production|secret_materialization|external_sync","agile_canvas_identity_drift_validation_result","tool.agile_canvas_identity_drift_validator"
"tool.agile_canvas_task_ops_validator","court.thot_schema","run","agile_canvas|taskops|validator|stories","local_filesystem","validate_story_ids|validate_taskops_governance|validate_sprint_sync|validate_no_live","external_runtime|microsoft_live|openai_api_live|production|secret_materialization|external_sync","agile_canvas_task_ops_validation_result","tool.agile_canvas_task_ops_validator"
"tool.agile_canvas_extension_schema_validator","court.thot_schema","run","agile_canvas|validator|schema|vscode_insiders_extension","local_filesystem","validate_extension_schema_alignment|detect_content_schema_failures|classify_expected_extension_schema_debt","external_runtime|microsoft_live|openai_api_live|production|secret_materialization|unexpected_extension_schema_drift","agile_canvas_extension_schema_validation_result","tool.agile_canvas_extension_schema_validator"
"tool.aac_mcp_server_direct","court.thot_schema","run","agile_canvas|mcp|vscode_insiders_extension","local_stdio_mcp|local_filesystem|repo_local_gated_artifact_write","list_native_agents|get_board_context|get_extension_capabilities|prepare_native_invocation_packet|write_artifact_gated_with_target_owner_rollback_postcheck_gate","external_provider_write|microsoft_live|openai_api_live|production|secret_materialization|direct_native_invocation_claim_without_tool|aac_write_without_target_owner_rollback_postcheck_gate","aac_mcp_mock_flow_result","tool.aac_mcp_server_direct"
"tool.agile_canvas_demo_quarantine_validator","court.thot_schema","run","agile_canvas|validator|demo_drift|quarantine","local_filesystem","validate_demo_quarantine_matrix|detect_uncovered_demo_drift|validate_no_live_quarantine","external_runtime|microsoft_live|openai_api_live|production|secret_materialization|uncovered_demo_drift","agile_canvas_demo_quarantine_validation_result","tool.agile_canvas_demo_quarantine_validator"
"tool.local_validate_operating_memory_pointers","codex.workspace_guardian","run","operating_memory|agents_md|current_state|manifest|archive|pointers","local_filesystem","validate_operating_memory_pointers|validate_metadata|validate_markdown_links|validate_no_history_regression","external_runtime|global_config_write|nested_repo_absorption|secret_materialization|archive_pruning_without_order","operating_memory_pointer_validation_result","tool.local_validate_operating_memory_pointers"
"tool.sharepoint_document_inventory_exporter","universe.escribania_tower","run","sharepoint|document|metadata|bounded_content","microsoft_sharepoint_metadata_read_governed|bounded_document_body_read_governed|local_filesystem_output","metadata_inventory_export|bounded_content_extract|heuristic_summary|local_csv_json_output","sharepoint_write|unbounded_regulated_data_dump|permissions_read|version_history_read|secrets|production","site_urls|library_summary|inventory_csv|inventory_json|summary_json|sample_csv|content_read_status_counts","tool.local_validate_agent_layer"
"tool.sdu_sharepoint_agent_pipeline","universe.escribania_tower","run","sharepoint|sdu_cn_agents|bounded_inventory_json|document_analysis|dataverse_model_inference","local_filesystem|bounded_inventory_json_analysis|structured_agent_outputs|dataverse_model_inference","consume_inventory_json|segment_by_agent_domain|infer_dataverse_entities|infer_dataverse_relationships|emit_seshat_normativa|emit_thot_tecnico|emit_anubis_gate|emit_maat_cumplimiento|emit_horus_riesgo|emit_narrador_normativo","dataverse_live_write|sharepoint_write|network_access|openai_api_live|unbounded_regulated_data_dump|secrets|production","dataverse_entities_json|dataverse_relationships_json|agent_json_outputs|narrator_txt|run_summary|self_test_result","tool.sdu_sharepoint_agent_pipeline_validator|tool.local_validate_agent_layer"
"tool.sdu_sharepoint_agent_pipeline_validator","universe.escribania_tower","run","sharepoint|sdu_cn_agents|validator|bounded_inventory_json","local_filesystem","validate_agent_rules|validate_output_contract|run_synthetic_self_test","network_access|microsoft_live|openai_api_live|sharepoint_write|secrets|production","sdu_sharepoint_agent_pipeline_validation_result","tool.sdu_sharepoint_agent_pipeline_validator"
"tool.sdu_sharepoint_dataverse_live_bridge","universe.escribania_tower","run","sharepoint|dataverse|workqueue|sdu_cn_agents|live_dev_bridge|queue_worker","microsoft_sharepoint_live_read_bounded|dataverse_dev_live_write_gated|dataverse_workqueue_worker_gated|local_dry_run","ingest_sharepoint_event|upsert_mon_sdu_source_artifact|enqueue_sdu_agent_dispatch_queue|resolve_exact_workqueue|resolve_exact_queue_item|process_one_queue_item|process_next_queue_item_when_candidate_count_one|validate_agent_dispatch_input|publish_mon_sdu_evidence|emit_sanitized_summary","sharepoint_write|production|default_environment|test_environment|unbounded_regulated_data_dump|secret_printing|live_write_without_gate|more_than_one_item_or_active_flow|power_automate_flow_dependency","source_artifact_canonical_id|workqueueitem_id|agent_result_evidence|postcheck_snapshot|rollback_action|token_printed_false|flow_dependency_false","tool.sdu_sharepoint_dataverse_live_bridge_validator|tool.local_validate_operational_chain"
"tool.sdu_sharepoint_dataverse_live_bridge_validator","universe.escribania_tower","run","sharepoint|dataverse|powerautomate|workqueue|validator","local_filesystem","validate_live_bridge_gate_contract|validate_existing_queue_reuse|validate_bounded_read_controls|validate_no_live_by_default","network_access|microsoft_live|dataverse_write|power_automate_write|sharepoint_write|secrets|production","sdu_sharepoint_dataverse_live_bridge_validation_result","tool.sdu_sharepoint_dataverse_live_bridge_validator"
"tool.local_validate_multi_canon_execution_engine","court.thot_schema","run","multi_canon|agentic_execution_graph|wave|github|surface_policy|validator","local_filesystem","validate_engine_contract|validate_agent_chain|validate_surface_policy|validate_wave_state|validate_index_registration","external_runtime|microsoft_live|openai_api_live|production|secret_materialization|ungated_merge","multi_canon_execution_engine_validation_result","tool.local_validate_multi_canon_execution_engine"
