"stop_condition","normalized_family","meaning","required_action","applies_to"
"merge_or_force_push_or_actions_write_permission_without_order","github_governance","merge force push workflow write permission or protected action requested without order","prepare GitHub order packet and stop before action","github|actions|repo"
"automated_merge_precheck_failed","github_governance","automated merge requested but PR base branch head checks mergeability validator or boundary precheck failed","stop before merge and record failing precheck","github|repo|pr"
"merge_without_approved_precheck","github_governance","merge requested without operator approval fixed HEAD green checks and postcheck evidence","obtain approved lifecycle or stop before merge","github|repo|pr"
"source_without_decision_or_gate","source_governance","source capability lacks adoption decision boundary or gate","record adoption decision gate owner and validator","source|capability"
"operational_chain_missing","operational_chain","agent skill recipe tool validator evidence or stop condition is missing from an operational action","declare complete operational chain or stop before closeout","agent|skill|recipe|tool|validator|readback|pr|workflow"
"instruction_precedence_missing","instruction_hierarchy","instruction source precedence is absent unclear or weaker than AGENTS.md","restore AGENTS.md as root source and stop contradictory action","agents_md|instruction|workspace"
"nested_instruction_surface_unmapped","instruction_hierarchy","nested instruction surface lacks owner reviewer validator evidence or stop condition","map the surface or stop before using it","agents_md|profile|skill|plugin|matrix"
"nested_repo_absorption_risk","repo_boundary","root wrapper instruction could absorb move or rewrite a nested repo boundary","preserve nested repo and prepare separate governed order","repo|workspace|instruction"
"skill_metadata_missing_or_ambiguous","skill_governance","repo-local skill metadata lacks description trigger boundary allowed or blocked actions validator or catalog coverage","fix SKILL.md metadata or register a tracked quality row before use","skill|subskill|matrix"
"regulated_data_boundary_unclear","regulated_data","document or dataset boundary is broad regulated or not selected enough to process safely","prepare governed order with exact selected files data limit retention evidence and postcheck","document|spreadsheet|presentation|pdf|dataset"
"secret_detected","secret_boundary","secret-like content is detected or likely in a selected artifact","stop redact avoid persistence and require separate governed order","document|repo|prompt|readback|matrix"
"document_skill_lane_missing","document_skill_governance","document work lacks document type skill owner reviewer storage validator or stop condition","map the document lane or stop before processing","document|skill|matrix"
"source_uncertain","source_governance","technical source freshness authority license or scope is uncertain","refresh source classify freshness risk and keep it outside authority canon","source|skill|reference|api_docs"
"capability_use_preflight_missing","capability_use_governance","agent skill recipe plugin tool surface validator evidence or stop condition is missing before intake derivation or execution","declare the full capability-use chain or stop before execution","agent|skill|recipe|plugin|tool|surface|validator|execution"
"runtime_alignment_failed","runtime_alignment","local runtime alignment did not pass or could not prove agent repo skill recipe tool consistency","rerun runtime alignment or stop before declaring aligned","runtime|agent|repo|skill|recipe|tool"
"default_skill_missing","skill_governance","agent default skill recipe tool or plugin assignment is missing or unresolved","restore default assignment or mark NO_DISPONIBLE with evidence before use","agent|skill|recipe|plugin|tool"
"codex_cloud_environment_missing","api_runtime","Codex Cloud task execution was requested for a repo without a visible or registered governed environment","register or select the exact environment and keep the lane blocked until evidence exists","codex_cloud|repo|agent"
"autonomous_agent_order_missing","agent_autonomy","an autonomous task agent was requested without owner surface branch rollback evidence validator or stop condition","prepare governed task-scoped order and stop before autonomous execution","agent|subagent|codex_cloud|repo"
"remote_agent_persistence_without_order","agent_autonomy","remote or persistent agent execution was requested without explicit governed order","stop before persistence and prepare order with expiry rollback and postcheck","agent|remote_runtime|codex_cloud"
"repo_remote_or_git_alignment_missing","repo_alignment","repo local path branch remote or GitHub readback is missing or mismatched","refresh repo alignment evidence or stop repo-scoped work","repo|remote|branch|github"
"codex_app_environment_missing","codex_environment","Codex app local or worktree environment config is missing invalid or not repo-visible","create or repair the .codex environment and validate before dispatching worktrees","codex_app|worktree|repo"
"codex_environment_creation_tool_unavailable","codex_environment","Codex Cloud environment creation was requested but no real creation tool or API is available in the session","mark NO_DISPONIBLE and prepare UI or admin order with rollback and postcheck","codex_cloud|settings|repo"
"coverage_equivalence_missing","validation_coverage","required tests were not all planned executed or proven equivalent","expand execution or fix manifest graph executor evidence before merge or release","workflow|validator|coverage"
"coverage_reduction","validation_coverage","a runner change would reduce required coverage or hide a mandatory failure","restore full required coverage and expose mandatory failures before approval","workflow|validator|coverage"
"wrong_environment_or_default","dataverse_governance","a Dataverse or runtime action targets the wrong environment or Default","stop and require exact DEV target identity plus rollback and postcheck","dataverse|runtime|environment"
"retrospective_source_missing","retrospective_learning","a retrospective learning package lacks required source evidence or local validator coverage","stop and add the missing source evidence before PR review","retrospective|skill|recipe|validator"
"candidate_count_not_one","runtime_safety","a runtime or back-reference write target has zero or multiple exact candidates","block target write and record no-inference evidence","runtime|dataverse|workqueue|backreference"
"more_than_one_item_or_active_flow","runtime_safety","a controlled runtime test would process more than one item or leave any manifest flow active","restore safe state and stop before further processing","runtime|flow|workqueue"
"missing_keys_or_target_guess","runtime_safety","a mapping record or target write would proceed without deterministic keys or would rely on a guessed target","block write and require exact keys or target identity","runtime|dataverse|workqueue|backreference"
"vsi_startup_state_regression_detected","runtime_safety","VSI startup detected a completed local task downgraded from EXECUTED state","restore the canonical task queue state before continuing startup","vsi|local_dashboard|agile_agent_canvas"
"vsi_startup_bridge_repo_mismatch","runtime_safety","VSI startup detected a reused loopback bridge serving a different repo root","stop startup before changing user settings and restart the bridge for the expected repo","vsi|local_dashboard|agile_agent_canvas"
"SECRET_DETECTED","secret_boundary","secret-like content is detected or would be printed or persisted","stop redact and require external secret store or sanitized evidence","repo|runtime|workflow|readback"
"mock_smoke_failed","runtime_safety","a local mock smoke did not pass","fix local mock or keep the related execution lane stopped","local_mock|runtime|validator"
"BLOCKED_TENANT_AMBIGUOUS","tenant_boundary","tenant site team channel or object target is ambiguous","stop live surface and require exact tenant or object target","microsoft|tenant|graph|teams|sharepoint"
"PENDING_TARGET_ONLY","target_missing","execution is otherwise allowed but lacks exact target","record exact missing target and next command without mutating live surface","all"
"PENDING_IDENTITY_ONLY","identity_missing","execution is otherwise allowed but lacks confirmed identity","record required identity and stop only that substep","all"
"PENDING_OWNER_ONLY","owner_missing","execution is otherwise allowed but lacks owner or reviewer","record required owner and stop only that substep","all"
"CODEX_CLOUD_ENVIRONMENT_MISSING","codex_cloud","Codex Cloud smoke was requested but environment label or environment is unavailable","mark pending target or environment and keep local validation evidence","codex_cloud"
"CODEX_CLOUD_APPLY_WITHOUT_REVIEW","codex_cloud","Codex Cloud apply would run without reviewed diff and approval","stop apply and use status or diff only","codex_cloud|git"
"MCP_REMOTE_WRITE_ATTEMPTED","mcp_boundary","MCP remote write was attempted without exact governed target and rollback","stop write and run read-only or mock probe only","mcp|runtime"
"TEAMS_TARGET_MISSING","teams_boundary","Teams install or message lacks exact team chat channel app or owner","stop Teams live write and keep DEV validation only","teams|microsoft"
"BLOCKED_PRODUCTION_UNAPPROVED","production_gate","production action lacks explicit production gate","stop production and keep DEV read-only evidence only","production|runtime|tenant"
"agent_chain_missing_contract","agentic_execution","a multi-agent wave stage lacks input output evidence validator risk rollback or handoff contract","complete the agent contract before executing the wave","agent|wave|engine|multi_canon"
