agent_id,agent_type,source_repo,source_matrix,level_id,universe_id,control_tower,repo_id,skills,recipes,tools,plugins,allowed_surfaces,blocked_surfaces,validator,postcheck,evidence,status,stop_condition
cdf.staff_agents_from_source,cdf_staff_agent,SeshatSgin/cdf-soluciones,SOURCE_CDF_AGENT_SKILL_RECIPE_TOOL_PLUGIN_MATRIX.csv,04_TORRES_DE_UNIVERSO,MODO_ON,MODO_ON_CONTROL,CDF_SOLUCIONES,github:github|github:yeet|superpowers:verification-before-completion,recipe.agent_versioning_repo_only|recipe.runtime_capability_alignment,git|gh|python_local_validator|repo_csv_json_parser,GitHub|Superpowers|SharePoint|Teams|Outlook Calendar|Outlook Email|OpenAI Developers,repo CDF local|GitHub PR|SharePoint|Teams|Planner|Outlook|OpenAI/RAG,live_or_production_without_governed_order,05_VALIDACION/validate_cdf_agent_versioning_repo_only.py,05_VALIDACION/validate_cdf_agent_versioning_repo_only.py,SOURCE_CDF_AGENT_VERSION_REGISTRY.csv|SOURCE_CDF_AGENT_SKILL_RECIPE_TOOL_PLUGIN_MATRIX.csv,RECONCILED,plugin_without_surface_boundary|live_or_production_without_governed_order
cdf.microsoft_graph_guard,cdf_staff_agent,SeshatSgin/cdf-soluciones,SOURCE_CDF_AGENT_SKILL_RECIPE_TOOL_PLUGIN_MATRIX.csv,04_TORRES_DE_UNIVERSO,MODO_ON,MODO_ON_CONTROL,CDF_SOLUCIONES,github:github|superpowers:verification-before-completion,recipe.agent_versioning_repo_only|recipe.runtime_capability_alignment,git|gh|python_local_validator,GitHub|Superpowers|NO_DISPONIBLE_DIRECT_GRAPH_ADMIN_PLUGIN,Graph/Entra,live_or_production_without_governed_order,05_VALIDACION/validate_cdf_agent_versioning_repo_only.py,05_VALIDACION/validate_cdf_agent_versioning_repo_only.py,SOURCE_CDF_AGENT_VERSION_REGISTRY.csv,RECONCILED,microsoft_live_requested_without_governed_order
cdf.sharepoint_agents_group,cdf_staff_agent,SeshatSgin/cdf-soluciones,SOURCE_CDF_SHAREPOINT_PLUGIN_SKILL_ADOPTION_MATRIX.csv,04_TORRES_DE_UNIVERSO,MODO_ON,MODO_ON_CONTROL,CDF_SOLUCIONES,SharePoint plugin skills,recipe.agent_versioning_repo_only|recipe.runtime_capability_alignment,git|gh|python_local_validator,SharePoint|GitHub|Superpowers,SharePoint SGSD-TC and Modo ON agent placement,microsoft_live_without_governed_order,05_VALIDACION/validate_cdf_agent_versioning_repo_only.py,05_VALIDACION/validate_cdf_agent_versioning_repo_only.py,SOURCE_CDF_SHAREPOINT_PLUGIN_SKILL_ADOPTION_MATRIX.csv,RECONCILED,microsoft_live_requested_without_governed_order
seshat_bootstrap.sdu_cn_agents,sdu_cn_agent,SeshatSgin/seshat-bootstrap-sdu-cn,SOURCE_SESHAT_BOOTSTRAP_SDU_CN_AGENT_REGISTRY.csv,03_CORTE_EJECUTORA,COURT,CORTE_REY,SESHAT_BOOTSTRAP,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING,tools column from source registry,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING,allowed_sources from source registry,blocked_sources from source registry,ci/validate_repo.ps1,approval_gate from source registry,SOURCE_SESHAT_BOOTSTRAP_SDU_CN_AGENT_REGISTRY.csv,PARTIAL_WITH_GAPS,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING|microsoft_live_scope_missing
tge.sdu_cn_agents,sdu_cn_agent,SeshatSgin/torre-gemela-escribania,SOURCE_TGE_SDU_CN_AGENT_REGISTRY.csv,04_TORRES_DE_UNIVERSO,ESCRIBANIA,TGE,TORRE_GEMELA_ESCRIBANIA,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING,tools column from source registry,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING,allowed_sources from source registry,blocked_sources from source registry,tge_sdu_cn_microsoft_execution_validator.py,approval_gate from source registry,SOURCE_TGE_SDU_CN_AGENT_REGISTRY.csv,PARTIAL_WITH_GAPS,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING|regulated_data_boundary_unclear
tcu.repo_groups_from_source,repo_local_runtime_agent,SeshatSgin/tcu-control-plane,SOURCE_TCU_SDU_REPO_AGENT_COMMAND_MATRIX_CURRENT.csv,03_CORTE_EJECUTORA,COURT,CORTE_REY,TCU_CONTROL_PLANE_REFERENCE,SOURCE_TCU_SKILLS_INDEX.csv,SOURCE_TCU_RECIPES_INDEX.csv,SOURCE_TCU_TOOLS_INDEX.csv,GitHub|OpenAI Developers when gated,synthetic_or_local_runtime,live_execution_requires_gate,repo-specific validators or NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING,next_gate from source matrix,SOURCE_TCU_SDU_REPO_AGENT_COMMAND_MATRIX_CURRENT.csv,MAPPED,live_execution_requires_gate
tcu.agentic_runtime_agents,repo_local_runtime_agent,SeshatSgin/tcu-agentic-runtime-control,SOURCE_TCU_SDU_REPO_AGENT_COMMAND_MATRIX_CURRENT.csv,03_CORTE_EJECUTORA,COURT,CORTE_REY,TCU_AGENTIC_RUNTIME,SOURCE_TCU_SKILLS_INDEX.csv,SOURCE_TCU_RECIPES_INDEX.csv,SOURCE_TCU_TOOLS_INDEX.csv,GitHub|OpenAI Developers when gated,synthetic_runtime_ready,openai_api_live_without_order|production,run_controlled_runtime_harness_eval.py,GATE_TCU_AGENTIC_RUNTIME_DEPLOY_TARGET_SELECTION,SOURCE_TCU_SDU_REPO_AGENT_COMMAND_MATRIX_CURRENT.csv,RECONCILED,openai_api_live_requested_without_order
tge.agentic_runtime_agents,repo_local_runtime_agent,SeshatSgin/tge-agentic-runtime-control-escribania,SOURCE_TGE_RUNTIME_tge_sdu_cn_court_order_adapter_alignment_matrix.csv|SOURCE_TCU_SDU_REPO_AGENT_COMMAND_MATRIX_CURRENT.csv,04_TORRES_DE_UNIVERSO,ESCRIBANIA,TGE,TGE_AGENTIC_RUNTIME,SOURCE_TCU_SKILLS_INDEX.csv,SOURCE_TCU_RECIPES_INDEX.csv,SOURCE_TCU_TOOLS_INDEX.csv,GitHub|OpenAI Developers when gated,synthetic_runtime_ready,openai_api_live_without_order|regulated_data_boundary_unclear,run_tge_controlled_runtime_harness_eval.py|run_tge_sdu_cn_court_order_adapter_alignment_eval.py,GATE_TGE_AGENTIC_RUNTIME_DEPLOY_TARGET_SELECTION,SOURCE_TGE_RUNTIME_tge_sdu_cn_court_order_adapter_alignment_matrix.csv,RECONCILED,openai_api_live_requested_without_order|regulated_data_boundary_unclear
sgin_cumplimiento.repo_local_agents_gap,repo_local_agent,SeshatSgin/sgin-cumplimiento,SOURCE_TCU_SDU_REPO_AGENT_COMMAND_MATRIX_CURRENT.csv,04_TORRES_DE_UNIVERSO,ESCRIBANIA,TGE,SGIN_CUMPLIMIENTO,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING,Test-SginGraphWriteTeamsComment.ps1|missing Connect-SginGraphWrite.ps1,Teams|Graph gated,policy ready but full registry not detected,live write blocked|regulated data boundary,dependency existence check,GATE_SGIN_CUMPLIMIENTO_AGENT_NEED_DECISION,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,PARTIAL_WITH_GAPS,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING|missing_clean_clone_dependency
microsoft_agents_governed_lab.NO_DETECTED_AGENT,microsoft_agent_lab,universo-rey/microsoft-agents-governed-lab,REPOSITORIES.csv,04_TORRES_DE_UNIVERSO,ESCRIBANIA,TGE,MICROSOFT_AGENTS_GOVERNED_LAB,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING,repo registry only,microsoft_live_without_order|production|secrets,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING,GATE_MICROSOFT_AGENT_LAB_REPO_LOCAL_MAPPING,REPOSITORIES.csv,PARTIAL_WITH_GAPS,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING
sdu-triage-agent,agents_sdk_runtime_agent,universo-rey/cabina-universal-d,AGENTS_SDK_AGENT_REGISTRY.md|STANDARD_AGENT_CHAIN_20260603.csv,03_CORTE_EJECUTORA,COURT,CORTE_REY,D_CABINA_UNIVERSAL_ROOT,openai-developers:agents-sdk|tcu-descubridor-capacidades,recipe.openai_local_agent_design|recipe.codex_cloud_governed_lane,python|agents_sdk_runner|OpenAI_models_list|Responses_API,OpenAI Developers|GitHub|Superpowers,openai_api_live=ENABLED_GOVERNED|responses_api_live=ENABLED_GOVERNED|agents_sdk_runtime_live=ENABLED_GOVERNED|codex_cloud=ENABLED_GOVERNED|github=ENABLED_GOVERNED,microsoft_live_write=ENABLED_GOVERNED_GATED_NOT_EXECUTED|production=ENABLED_GOVERNED_GATED_NOT_EXECUTED|propagation=ENABLED_GOVERNED_GATED_NOT_EXECUTED|secrets,python -m unittest discover -s apps/sdu-agent-runtime/tests,agents_sdk_functional_lifecycle_smoke.py,2026-06-03_standard_agent_chain_activation.md,STANDARD_AGENT_CHAIN_ACTIVE,secret_detected|microsoft_live_requested_without_governed_order|production_requested_without_explicit_authorization
