capability_id,capability_name,capability_type,source_repo,source_matrix,authority_layer,universe_id,control_tower,repo_id,agent_id,agent_type,skill_refs,recipe_refs,tool_refs,plugin_refs,surface,gate_required,validator,evidence,readback,runtime_status,live_status,risk_level,propagation_scope,apply_globally,status,stop_condition
cap.openai_api_smoke,OpenAI API read-only models smoke evidence,openai_api,universo-rey/cabina-universal-d,CODEX_CLOUD_LIVE_LANE_FINALIZATION_20260602.csv,COURT_TRANSVERSAL,COURT,CORTE_REY,D_CABINA_UNIVERSAL_ROOT,court.openai_dispatcher,court_agent,openai-developers:openai-api-troubleshooting,recipe.openai_local_agent_design,OpenAI API /v1/models previously executed,OpenAI Developers,OpenAI API,separate_order_for_repeat_or_write,PASS_HTTP_200_NO_BODY_PRINTED evidence,2026-06-02_codex_cloud_live_lane_finalization_readback.md,2026-06-02_codex_cloud_live_lane_finalization_readback.md,CLOSED_VERIFIED,NO_APLICA_JUSTIFICADO,high,evidence_only_no_repeat,false,RECONCILED,openai_api_live_requested_without_order|secret_printed
cap.microsoft_live_read_gate,Microsoft live read scoped gate,microsoft_live_read,universo-rey/cabina-universal-d,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv|ORDER_PREPARATION_ASSIGNMENT_MATRIX.csv,ROOT_CONTROL_PLANE,ROOT_CONTROL_PLANE,CABINA_UNIVERSAL_REY,D_CABINA_UNIVERSAL_ROOT,rey.frontier_guardian,root_cabina_agent,repo-agent-tool-governance,recipe.governed_order_preparation,Teams connector read-only,Teams,Microsoft Teams Graph read,yes,teams_cross_repo_lane_audit PASS,lane.microsoft.scope Graph 403,2026-06-03_live_delta_reconciliation_readback.md,PARTIAL_WITH_GAPS,BLOCKED_PERMISSION,high,selected_chat_or_channel_only,false,BLOCKED_PERMISSION,microsoft_live_scope_missing|raw_transcript_blocked
cap.microsoft_live_write_gate,Microsoft live write governed gate,microsoft_live_write,universo-rey/cabina-universal-d,ORDER_PREPARATION_ASSIGNMENT_MATRIX.csv|LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,ROOT_CONTROL_PLANE,ROOT_CONTROL_PLANE,CABINA_UNIVERSAL_REY,D_CABINA_UNIVERSAL_ROOT,rey.frontier_guardian,root_cabina_agent,parallel-order-governance|governed-readback-closeout,recipe.governed_order_preparation,tool.surface_order_builder|tool.governed_order_packet_builder,Teams|SharePoint|Outlook|Power Platform,Microsoft tenant write,yes,local_validate_order_packets.ps1,blocked order gap,2026-06-03_live_delta_reconciliation_readback.md,PARTIAL_WITH_GAPS,LIVE_WRITE_GATED,critical,object_exact_only,false,LIVE_WRITE_GATED,WRITE_BLOCKED_OBJECT_OR_ROLLBACK_MISSING
cap.tge_sharepoint_github,TGE SharePoint GitHub capability,sharepoint_ia,SeshatSgin/torre-gemela-escribania,SOURCE_TGE_SDU_CN_SHAREPOINT_GITHUB_CAPABILITY_MATRIX_20260527.csv,UNIVERSE_OPERATIVE,ESCRIBANIA,TGE,TORRE_GEMELA_ESCRIBANIA,universe.escribania_tower,universe_tower_agent,sharepoint:sharepoint-site-discovery|sharepoint:sharepoint,recipe.universe_tower_handoff,tool.surface_order_builder,SharePoint|GitHub,SharePoint|GitHub,yes,tge_sdu_cn_microsoft_execution_validator.py,TGE validators PASS,2026-06-03_live_delta_reconciliation_readback.md,READY_WITH_DELTA,LIVE_WRITE_GATED,high,TGE selected process only,false,PARTIAL_WITH_GAPS,regulated_data_boundary_unclear|WRITE_BLOCKED_OBJECT_OR_ROLLBACK_MISSING
cap.cdf_sharepoint_plugin_skill,CDF SharePoint plugin skill adoption,sharepoint_ia,SeshatSgin/cdf-soluciones,SOURCE_CDF_SHAREPOINT_PLUGIN_SKILL_ADOPTION_MATRIX.csv,UNIVERSE_OPERATIVE,MODO_ON,MODO_ON_CONTROL,CDF_SOLUCIONES,cdf.sharepoint_information_architect,cdf_staff_agent,SharePoint plugin skills,recipe.agent_versioning_repo_only|recipe.runtime_capability_alignment,git|gh|python_local_validator,SharePoint|GitHub|Superpowers,SharePoint SGSD-TC and Modo ON,yes,validate_cdf_agent_versioning_repo_only.py,SOURCE_CDF_SHAREPOINT_PLUGIN_SKILL_ADOPTION_MATRIX.csv,2026-06-03_live_delta_reconciliation_readback.md,CLOSED_VERIFIED,LIVE_WRITE_GATED,high,CDF SharePoint planning,false,RECONCILED,microsoft_live_requested_without_governed_order
cap.cdf_teams_planner_outlook,CDF Teams Planner Outlook collaboration,planner_teams,SeshatSgin/cdf-soluciones,SOURCE_CDF_AGENT_SKILL_RECIPE_TOOL_PLUGIN_MATRIX.csv,UNIVERSE_OPERATIVE,MODO_ON,MODO_ON_CONTROL,CDF_SOLUCIONES,cdf.collaboration_operator,cdf_staff_agent,github:github|superpowers:verification-before-completion,recipe.agent_versioning_repo_only|recipe.runtime_capability_alignment,git|gh|python_local_validator,Teams|Outlook Calendar|Outlook Email,Teams/Planner/Outlook,yes,validate_cdf_agent_versioning_repo_only.py,CDF source agent matrix,2026-06-03_live_delta_reconciliation_readback.md,CLOSED_VERIFIED,LIVE_WRITE_GATED,high,CDF collaboration only,false,RECONCILED,microsoft_live_requested_without_governed_order
cap.cdf_power_platform_guard,CDF Power Platform Dataverse guard,power_platform,SeshatSgin/cdf-soluciones,SOURCE_CDF_AGENT_SKILL_RECIPE_TOOL_PLUGIN_MATRIX.csv,UNIVERSE_OPERATIVE,MODO_ON,MODO_ON_CONTROL,CDF_SOLUCIONES,cdf.local_cabina_extension_guard,cdf_staff_agent,github:github|superpowers:verification-before-completion,recipe.agent_versioning_repo_only,git|gh|python_local_validator,NO_DISPONIBLE_DIRECT_POWER_PLATFORM_ADMIN_PLUGIN,Power Platform|Dataverse,yes,validate_cdf_agent_versioning_repo_only.py,CDF source agent matrix,2026-06-03_model_reconciliation_upgrade_integrated_readback.md,MAPPED,LIVE_WRITE_GATED,high,CDF Microsoft connectors,false,PARTIAL_WITH_GAPS,CAPABILITY_SOURCE_MISSING|microsoft_live_requested_without_governed_order
cap.seshat_sdu_cn_console_tooling,Seshat SDU-CN console tooling,governance,SeshatSgin/seshat-bootstrap-sdu-cn,SOURCE_SESHAT_BOOTSTRAP_SDU_CN_CONSOLE_TOOLING_CAPABILITY_MATRIX_20260527.csv,COURT_TRANSVERSAL,COURT,CORTE_REY,SESHAT_BOOTSTRAP,court.seshat_evidence,court_agent,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING,console tooling source matrix,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING,SDU-CN console tooling,yes,ci/validate_repo.ps1,Seshat Bootstrap validator PASS,2026-06-03_live_delta_reconciliation_readback.md,READY_WITH_DELTA,LIVE_WRITE_GATED,high,Seshat bootstrap issue #5,false,PARTIAL_WITH_GAPS,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING|microsoft_live_scope_missing
cap.tcu_agentic_runtime,TCU agentic runtime,agentic_runtime,SeshatSgin/tcu-agentic-runtime-control,SOURCE_TCU_SDU_REPO_AGENT_COMMAND_MATRIX_CURRENT.csv,COURT_TRANSVERSAL,COURT,CORTE_REY,TCU_AGENTIC_RUNTIME,court.openai_dispatcher,court_agent,SOURCE_TCU_SKILLS_INDEX.csv,SOURCE_TCU_RECIPES_INDEX.csv,SOURCE_TCU_TOOLS_INDEX.csv,OpenAI Developers|GitHub,synthetic runtime,yes,run_controlled_runtime_harness_eval.py,local eval cases=15 failures=0,2026-06-03_live_delta_reconciliation_readback.md,CLOSED_VERIFIED,NO_APLICA_JUSTIFICADO,medium,TCU runtime,false,RECONCILED,openai_api_live_requested_without_order|production_requested_without_explicit_authorization
cap.tge_agentic_runtime,TGE agentic runtime,agentic_runtime,SeshatSgin/tge-agentic-runtime-control-escribania,SOURCE_TGE_RUNTIME_tge_sdu_cn_court_order_adapter_alignment_matrix.csv|SOURCE_TCU_SDU_REPO_AGENT_COMMAND_MATRIX_CURRENT.csv,UNIVERSE_OPERATIVE,ESCRIBANIA,TGE,TGE_AGENTIC_RUNTIME,court.openai_dispatcher,court_agent,SOURCE_TCU_SKILLS_INDEX.csv,SOURCE_TCU_RECIPES_INDEX.csv,SOURCE_TCU_TOOLS_INDEX.csv,OpenAI Developers|GitHub,synthetic runtime,yes,run_tge_controlled_runtime_harness_eval.py|run_tge_sdu_cn_court_order_adapter_alignment_eval.py,local eval cases=5+6 failures=0,2026-06-03_live_delta_reconciliation_readback.md,CLOSED_VERIFIED,NO_APLICA_JUSTIFICADO,medium,TGE runtime,false,RECONCILED,openai_api_live_requested_without_order|regulated_data_boundary_unclear
cap.sgin_compliance_gate,SGIN cumplimiento governance gate,compliance,SeshatSgin/sgin-cumplimiento,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv|SOURCE_TCU_SDU_REPO_AGENT_COMMAND_MATRIX_CURRENT.csv,UNIVERSE_OPERATIVE,ESCRIBANIA,TGE,SGIN_CUMPLIMIENTO,court.seshat_evidence,court_agent,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING,Test-SginGraphWriteTeamsComment.ps1|missing Connect-SginGraphWrite.ps1,Teams|Graph gated,Teams Graph write,yes,git diff --check|dependency existence check,missing clean clone dependency,2026-06-03_live_delta_reconciliation_readback.md,PARTIAL_WITH_GAPS,BLOCKED_REAL,critical,SGIN cumplimiento issue #7,false,BLOCKED_REAL,missing_clean_clone_dependency|WRITE_BLOCKED_OBJECT_OR_ROLLBACK_MISSING
cap.document_factory,Document skill lane,document_factory,universo-rey/cabina-universal-d,DOCUMENT_SKILL_LANE_MATRIX.csv,TECHNICAL_SUPPORT,ROOT_CONTROL_PLANE,CABINA_UNIVERSAL_REY,D_CABINA_UNIVERSAL_ROOT,tech.reference_librarian,technical_support_agent,documents:documents|spreadsheets:Spreadsheets|presentations:Presentations|pdf,recipe.workspace_reference_audit,local_validate_document_skill_lane.ps1,Documents|Spreadsheets|Presentations,local documents,yes,local_validate_document_skill_lane.ps1,DOCUMENT_SKILL_LANE_MATRIX.csv,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING,MAPPED,NO_APLICA_JUSTIFICADO,medium,document artifacts,true,MAPPED,regulated_data_dump|live_document_surface_without_order
cap.frontend_design_lane,Frontend design lane,frontend_design,universo-rey/cabina-universal-d,FRONTEND_DESIGN_LANE_MATRIX.csv,TECHNICAL_SUPPORT,ROOT_CONTROL_PLANE,CABINA_UNIVERSAL_REY,D_CABINA_UNIVERSAL_ROOT,tech.reference_librarian,technical_support_agent,product-design:index|product-design:get-context,recipe.workspace_reference_audit,local_validate_frontend_design_lane.ps1,Product Design,frontend local,yes,local_validate_frontend_design_lane.ps1,FRONTEND_DESIGN_LANE_MATRIX.csv,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING,MAPPED,NO_APLICA_JUSTIFICADO,medium,frontend lane,true,MAPPED,production_requested_without_explicit_authorization
