"record_id","agent_type","canonical_agent","operational_agent","runtime_agent","universe","repo_surface","owner_agent","skill","recipe","tool","validator","evidence","stop_condition","current_status","gap_detected","improvement_applied","next_lane"
"operational.court.thot_schema","operational","thot-tecnico","court.thot_schema","local_task_scoped","CORTE_EJECUTORA","schemas|matrices|tools|validators","court.thot_schema","matrix-recipe-skill-sync","recipe.schema_tool_contract","tool.local_validate_agent_layer",".agents/codex/tools/local_validate_agent_layer.ps1","schema|field_map|validator_contract","tool_without_surface_boundary","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","missing_single_global_agent_inventory","closed_by_global_operability_inventory","serial_agent_global_improvement_integration"
"operational.rey.migration_planner","operational","NO_APLICA","rey.migration_planner","local_task_scoped","CABINA_UNIVERSAL","migration preflight only|no clone moves","rey.migration_planner","tcu-planificador-con-archivos","recipe.migration_preflight","tool.path_conflict_check",".agents/codex/tools/local_validate_agent_layer.ps1","migration_plan|preflight|rollback|postcheck","nested_repo_absorption_risk","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","migration_agent_must_not_touch_clones_without_gate","documented_as_prepare_only","serial_agent_global_improvement_integration"
"operational.tech.reference_librarian","operational","NO_APLICA","tech.reference_librarian","local_task_scoped","TECHNICAL_REFERENCE","80_REFERENCIAS_TECNICAS|source refs|license/freshness","tech.reference_librarian","openai-docs","recipe.workspace_reference_audit","tool.reference_classifier",".agents/codex/tools/local_validate_skill_reference_sources.ps1","reference_index|technical_summary|canon_boundary_note","source_reference_treated_as_canon","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","technical_reference_must_not_be_authority","documented_as_reference_only","serial_agent_global_improvement_integration"
"operational.codex.workspace_guardian","operational","thot-tecnico","codex.workspace_guardian","local_task_scoped","CABINA_UNIVERSAL","AGENTS.md|Codex workspace|worktrees|local config","codex.workspace_guardian","operativa-guardian:operativa-guardian-status","recipe.workspace_reference_audit","tool.codex_workspace_audit",".agents/codex/tools/local_validate_agents_instruction_hierarchy.ps1","workspace_readback|routing_drift_report|opening_checklist","nested_repo_absorption_risk","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","current_console_worktree_differs_from_effective_root","reanchored_to_c_root_for_this_lane","serial_agent_global_improvement_integration"
"canonical.seshat-normativa","canonical","seshat-normativa","court.seshat_evidence","sdu-triage-agent","ESCRIBANIA|MODO_ON","governance evidence metadata across focus repos","court.seshat_evidence","governed-readback-closeout","recipe.governed_readback_closeout","tool.workpaper_index_check","scripts/validators/sdu_cn_canonical_agent_pantheon_validator.py","SDU_CN_CANONICAL_TO_OPERATIONAL_AGENT_MAPPING_20260604.csv","secret_detected","ACTIVE_CANONICAL","canonical_agent_requires_operational_mapping_not_replacement","mapped_to_court_seshat_evidence","serial_agent_global_improvement_integration"
"canonical.thot-tecnico","canonical","thot-tecnico","court.thot_schema|codex.workspace_guardian","sdu-triage-agent","ESCRIBANIA|MODO_ON","content types metadata taxonomy tools events","court.thot_schema","matrix-recipe-skill-sync","recipe.schema_tool_contract","tool.local_validate_agent_layer","scripts/validators/sdu_cn_canonical_agent_pantheon_validator.py","SDU_CN_CANONICAL_TO_OPERATIONAL_AGENT_MAPPING_20260604.csv","canonical_agent_treated_as_tool","ACTIVE_CANONICAL","canonical_agent_requires_operational_mapping_not_replacement","mapped_to_thot_schema_and_workspace_guardian","serial_agent_global_improvement_integration"
"canonical.anubis-gate","canonical","anubis-gate","rey.frontier_guardian|court.sdu_gate","sdu-triage-agent","ESCRIBANIA|MODO_ON","gates stop conditions rollback postcheck","rey.frontier_guardian","repo-agent-tool-governance","recipe.gate_decision_packet","tool.boundary_check","scripts/validators/sdu_cn_canonical_agent_pantheon_validator.py","SDU_CN_CANONICAL_TO_OPERATIONAL_AGENT_MAPPING_20260604.csv","microsoft_live_without_target","ACTIVE_CANONICAL","canonical_agent_requires_operational_mapping_not_replacement","mapped_to_frontier_guardian_and_sdu_gate","serial_agent_global_improvement_integration"
"canonical.maat-cumplimiento","canonical","maat-cumplimiento","court.sdu_gate|rey.frontier_guardian","sdu-triage-agent","ESCRIBANIA|MODO_ON","coherence proportionality RACI compliance recommendation","court.sdu_gate","sdu-ejecutor-gates","recipe.gate_decision_packet","tool.stop_condition_check","scripts/validators/sdu_cn_canonical_agent_pantheon_validator.py","SDU_CN_CANONICAL_TO_OPERATIONAL_AGENT_MAPPING_20260604.csv","chain_of_command_missing","ACTIVE_CANONICAL","canonical_agent_requires_operational_mapping_not_replacement","mapped_to_sdu_gate_and_frontier_guardian","serial_agent_global_improvement_integration"
"canonical.horus-riesgo","canonical","horus-riesgo","rey.frontier_guardian|court.sdu_gate","sdu-triage-agent","ESCRIBANIA|MODO_ON","risk alerts contradictions threshold watch","rey.frontier_guardian","repo-agent-tool-governance","recipe.gate_decision_packet","tool.boundary_check","scripts/validators/sdu_cn_canonical_agent_pantheon_validator.py","SDU_CN_CANONICAL_TO_OPERATIONAL_AGENT_MAPPING_20260604.csv","openai_treated_as_authority_source","ACTIVE_CANONICAL","canonical_agent_requires_operational_mapping_not_replacement","mapped_to_frontier_guardian_and_sdu_gate","serial_agent_global_improvement_integration"
"canonical.narrador-normativo","canonical","narrador-normativo","court.seshat_evidence","sdu-triage-agent","ESCRIBANIA|MODO_ON","documentary narrative after approved evidence","court.seshat_evidence","governed-readback-closeout","recipe.governed_readback_closeout","tool.workpaper_index_check","scripts/validators/sdu_cn_canonical_agent_pantheon_validator.py","SDU_CN_CANONICAL_TO_OPERATIONAL_AGENT_MAPPING_20260604.csv","evidence_not_approved","ACTIVE_CANONICAL","canonical_agent_requires_approved_evidence_before_narrative","mapped_to_court_seshat_evidence","serial_agent_global_improvement_integration"
"runtime.sdu-triage-agent","runtime","NO_APLICA","sdu-triage-agent","agents_sdk_live_governed_reference","CORTE_EJECUTORA","standard agent chain runtime reference","court.openai_dispatcher","openai-developers:agents-sdk","recipe.openai_local_agent_design","tool.synthetic_eval_manifest",".agents/codex/tools/local_validate_github_automation_preflight.ps1","MANIFEST.yaml|STANDARD_AGENT_CHAIN_20260603.csv","openai_api_live_requested_without_order","ACTIVE_RUNTIME_REFERENCED","runtime_agent_referenced_without_repo_local_profile","documented_as_runtime_reference_not_authority","PENDING_TARGET_ONLY"
"subagent.readonly_scout","subagent_class","NO_APLICA","rey.control_plane_orchestrator","local_task_scoped","CABINA_UNIVERSAL","local_filesystem_readonly","rey.control_plane_orchestrator","parallel-order-governance","recipe.parallel_agent_operation","tool.parallel_dispatch_policy_check",".agents/codex/tools/local_validate_parallel_order_governance.ps1","SUBAGENT_CAPABILITY_ASSIGNMENT_MATRIX.csv","parallel_lane_without_validator","ACTIVE_SUBAGENT_TEMPLATE","needs_lane_fields_before_dispatch","covered_by_parallel_agent_global_inventory_audit","parallel_agent_global_inventory_audit"
"subagent.matrix_auditor","subagent_class","NO_APLICA","court.thot_schema","local_task_scoped","CABINA_UNIVERSAL",".agents/codex/matrices","court.thot_schema","matrix-recipe-skill-sync","recipe.matrix_recipe_skill_sync","tool.local_validate_agent_layer",".agents/codex/tools/local_validate_parallel_order_governance.ps1","SUBAGENT_CAPABILITY_ASSIGNMENT_MATRIX.csv","lane_scope_overlap","ACTIVE_SUBAGENT_TEMPLATE","needs_disjoint_file_set_before_write","covered_by_parallel_agent_global_inventory_audit","parallel_agent_global_inventory_audit"
"subagent.skill_recipe_auditor","subagent_class","NO_APLICA","court.openai_dispatcher","local_task_scoped","CABINA_UNIVERSAL",".agents/codex/skills|.agents/codex/recipes|.agents/codex/tools","court.openai_dispatcher","skill-judge","recipe.openai_local_agent_design","tool.synthetic_eval_manifest",".agents/codex/tools/local_validate_parallel_order_governance.ps1","SUBAGENT_CAPABILITY_ASSIGNMENT_MATRIX.csv","openai_api_live_requested_without_order","ACTIVE_SUBAGENT_TEMPLATE","needs_no_api_live_boundary_before_dispatch","covered_by_parallel_agent_global_inventory_audit","parallel_agent_global_inventory_audit"
"subagent.order_packet_preparer","subagent_class","NO_APLICA","rey.frontier_guardian","local_task_scoped","CABINA_UNIVERSAL","order packets only","rey.frontier_guardian","tcu-redactor-planes-operativos","recipe.governed_order_preparation","tool.governed_order_packet_builder",".agents/codex/tools/local_validate_order_packets.ps1","SUBAGENT_CAPABILITY_ASSIGNMENT_MATRIX.csv","order_packet_missing_required_fields","ACTIVE_SUBAGENT_TEMPLATE","needs_owner_rollback_postcheck_before_order","covered_by_parallel_agent_global_inventory_audit","parallel_agent_global_inventory_audit"
"subagent.integration_reviewer","subagent_class","NO_APLICA","court.seshat_evidence","local_task_scoped","CABINA_UNIVERSAL","serial integration and readbacks","court.seshat_evidence","governed-readback-closeout","recipe.governed_readback_closeout","tool.readback_builder",".agents/codex/tools/local_validate_parallel_order_governance.ps1","SUBAGENT_CAPABILITY_ASSIGNMENT_MATRIX.csv","parallel_lane_without_validator","ACTIVE_SUBAGENT_TEMPLATE","must_remain_serial_for_shared_indices","covered_by_serial_agent_global_improvement_integration","serial_agent_global_improvement_integration"
