evidence_id,readback_path,source_repo,repo_id,lane_id,agent_id,validator,status,proves,does_not_prove,next_gate,evidence_category,canonical_weight
evidence.model_upgrade_readback,.agents/codex/readbacks/2026-06-03_model_reconciliation_upgrade_integrated_readback.md,universo-rey/cabina-universal-d,D_CABINA_UNIVERSAL_ROOT,PR55_MODEL_UPGRADE,court.seshat_evidence,Change-Aware 19/19,READY_WITH_DELTA,integrated model graph created and gaps declared,closed external live gates,PR55 review,HISTORICAL,medium
evidence.full_live_governed_activation,.agents/codex/readbacks/2026-06-03_full_live_governed_activation_readback.md,universo-rey/cabina-universal-d,D_CABINA_UNIVERSAL_ROOT,PR56_FULL_LIVE_BASELINE,court.openai_dispatcher,local validators|governed smokes,CLOSED_VERIFIED,full-live governed baseline prepared and validated,Microsoft write or production execution,PR57 global canon,SUPPORT,medium
evidence.full_live_global_canon,.agents/codex/readbacks/2026-06-03_cabina_full_live_global_canon_update_readback.md,universo-rey/cabina-universal-d,D_CABINA_UNIVERSAL_ROOT,PR57_GLOBAL_CANON,rey.frontier_guardian,local validators,CLOSED_VERIFIED,CABINA_FULL_LIVE_GOVERNED_GLOBAL_CANON declared,blind writes or propagation executed,extended fan-in,RECTOR,high
evidence.github_lifecycle_smoke,.agents/codex/readbacks/2026-06-03_github_live_repo_scoped_lifecycle_smoke.md,universo-rey/cabina-universal-d,D_CABINA_UNIVERSAL_ROOT,PR60_GITHUB_LIFECYCLE,rey.repo_cartographer,Cabina Validation,CLOSED_VERIFIED,GitHub issue branch commit push PR checks merge and sync executed,Microsoft or production execution,SDK Cloud lifecycle,SUPPORT,medium
evidence.sdk_cloud_lifecycle_closeout,.agents/codex/readbacks/2026-06-03_sdk_cloud_full_lifecycle_closeout.md,universo-rey/cabina-universal-d,D_CABINA_UNIVERSAL_ROOT,PR61_SDK_CLOUD_LIFECYCLE,court.openai_dispatcher,unittest|bash syntax|local validators,CLOSED_VERIFIED,OpenAI Responses Agents SDK and Codex Cloud lifecycle evidence versioned,new live run after merge,standard chain activation,SUPPORT,high
evidence.standard_agent_chain,.agents/codex/readbacks/2026-06-03_standard_agent_chain_activation.md,universo-rey/cabina-universal-d,D_CABINA_UNIVERSAL_ROOT,PR62_STANDARD_AGENT_CHAIN,rey.control_plane_orchestrator,Cabina Validation,CLOSED_VERIFIED,STANDARD_AGENT_CHAIN_ACTIVE declared and merged,Microsoft write production or propagation execution,extended reconciliation,RECTOR,high
evidence.extended_fan_in,.agents/codex/readbacks/2026-06-03_extended_fan_in_cabina_ecosystem_readback.md,universo-rey/cabina-universal-d,D_CABINA_UNIVERSAL_ROOT,EXTENDED_FAN_IN,court.seshat_evidence,gh pr list read-only,CLOSED_VERIFIED,45 real merged PRs included and no invented PRs,final canon patch applied,extended reconciliation gap analysis,RECTOR,high
evidence.extended_reconciliation_gap_analysis,.agents/codex/readbacks/2026-06-03_extended_reconciliation_gap_analysis_readback.md,universo-rey/cabina-universal-d,D_CABINA_UNIVERSAL_ROOT,EXTENDED_RECONCILIATION_GAP_ANALYSIS,rey.control_plane_orchestrator,operational_chain|capability_use_hardening|change_aware_static,CLOSED_VERIFIED,drift gaps duplicates and sources outside fan-in identified,canonization performed,canon patch,RECTOR,high
evidence.canon_patch_extended_reconciliation,.agents/codex/readbacks/2026-06-03_canon_patch_extended_reconciliation_readback.md,universo-rey/cabina-universal-d,D_CABINA_UNIVERSAL_ROOT,CANON_PATCH_EXTENDED_RECONCILIATION,rey.authority_canonist,unittest|git diff check|bash syntax|local validators,LOCAL_VALIDATED_PENDING_PR,CABINA_EXTENDED_RECONCILIATION_CANONIZED applied,post-merge external live execution,post-merge sync,RECTOR,highest
evidence.multi_canon_execution_engine_wave2,.agents/codex/readbacks/2026-06-14_multi_canon_execution_engine_wave2_readback.md,universo-rey/cabina-universal-d,D_CABINA_UNIVERSAL_ROOT,MULTI_CANON_WAVE2,court.seshat_evidence,local_validate_multi_canon_execution_engine.ps1,LOCAL_VALIDATED_PENDING_PR,multi-canon execution engine and Wave 2 stabilization state modeled,PR merge or Microsoft live write execution,Wave 3 merge gate,SUPPORT,high
