matrix_id,path,scope,primary_reader,update_rule
github_actions_workflow_matrix,.agents\codex\matrices\GITHUB_ACTIONS_WORKFLOW_MATRIX.csv,github_actions_surfaces,05_SOPORTE_TECNICO,update when GitHub Actions workflow triggers permissions or validators change
github_automation_preflight_matrix,.agents\codex\matrices\GITHUB_AUTOMATION_PREFLIGHT_MATRIX.csv,github_pre_repo_bootstrap,03_CORTE_EJECUTORA,update when GitHub automation Agents SDK or pre-repo readiness changes
handoff_map,.agents\codex\maps\HANDOFF_MAP.csv,handoffs,00_ROUTER,update when routing changes
local_skill_catalog,.agents\codex\matrices\LOCAL_SKILL_CATALOG.csv,local_skills,03_CORTE_EJECUTORA,update when local or installed skill assignments change
skill_metadata_quality_matrix,.agents\codex\skills\SKILL_METADATA_QUALITY_MATRIX.csv,skill_metadata_quality,03_CORTE_EJECUTORA,update when repo-local SKILL.md descriptions triggers or validator metadata change
agents_instruction_surface_matrix,.agents\codex\matrices\AGENTS_INSTRUCTION_SURFACE_MATRIX.csv,instruction_hierarchy,05_SOPORTE_TECNICO,update when AGENTS.md precedence nested instruction surfaces or validators change
plugin_usage_matrix,.agents\codex\matrices\PLUGIN_USAGE_MATRIX.csv,plugins,05_SOPORTE_TECNICO,update when plugin availability or live boundary changes
order_preparation_assignment_matrix,.agents\codex\matrices\ORDER_PREPARATION_ASSIGNMENT_MATRIX.csv,order_preparation,01_AUTORIDAD_Y_GATES,update when order preparer reviewer or required fields change
order_class_capability_matrix,.agents\codex\matrices\ORDER_CLASS_CAPABILITY_MATRIX.csv,order_capability_contract,01_AUTORIDAD_Y_GATES,update when order classes require new agents skills recipes tools or fields
operational_chain_governance_matrix,.agents\codex\matrices\OPERATIONAL_CHAIN_GOVERNANCE_MATRIX.csv,global_operational_chain,03_CORTE_EJECUTORA,update when global agent skill recipe tool validator evidence stop-condition chain changes
parallel_operation_criteria_matrix,.agents\codex\matrices\PARALLEL_OPERATION_CRITERIA_MATRIX.csv,parallel_agent_operation,00_ROUTER,update when parallel lane criteria owner validator or stop condition changes
parallel_issue_lane_queue,.agents\codex\matrices\PARALLEL_ISSUE_LANE_QUEUE.csv,parallel_issue_queue,00_ROUTER,update when issue work units locks branches scopes or dependencies change
plugin_skill_boundary_matrix,.agents\codex\matrices\PLUGIN_SKILL_BOUNDARY_MATRIX.csv,plugin_skill_boundaries,05_SOPORTE_TECNICO,update when plugin skills are assigned to agents or live boundaries change
purpose_surface_capability_matrix,.agents\codex\matrices\PURPOSE_SURFACE_CAPABILITY_MATRIX.csv,agent_surface_capabilities,00_ROUTER,update when purpose surface capability or repo reading route changes
reading_map,.agents\codex\maps\READING_MAP.csv,reading_policy,00_ROUTER,update when required reads change
repo_agent_tool_governance_matrix,.agents\codex\matrices\REPO_AGENT_TOOL_GOVERNANCE_MATRIX.csv,governance_contract,01_AUTORIDAD_Y_GATES,update when governed asset classes change
repo_governance_assignment_matrix,.agents\codex\matrices\REPO_GOVERNANCE_ASSIGNMENT_MATRIX.csv,repo_governance,02_REGISTRO_Y_CARTOGRAFIA,update when repo ownership or surfaces change
repo_runtime_alignment_matrix,.agents/codex/matrices/REPO_RUNTIME_ALIGNMENT_MATRIX.csv,repo_runtime_alignment,03_CORTE_EJECUTORA,update when repo runtime owner default skills or blocked surfaces change
runtime_alignment_status_matrix,.agents/codex/matrices/RUNTIME_ALIGNMENT_STATUS_MATRIX.csv,runtime_alignment_status,03_CORTE_EJECUTORA,update after local_run_repo_alignment_runtime.ps1 executes
source_cdf_agent_runtime_recipes_skills_alignment_matrix,.agents\codex\matrices\SOURCE_CDF_AGENT_RUNTIME_RECIPES_SKILLS_ALIGNMENT_MATRIX.csv,source_capabilities,04_TORRES_DE_UNIVERSO,copied from CDF_SOLUCIONES; refresh by copy-adapt only
source_cdf_agent_skill_recipe_tool_plugin_matrix,.agents\codex\matrices\SOURCE_CDF_AGENT_SKILL_RECIPE_TOOL_PLUGIN_MATRIX.csv,source_capabilities,04_TORRES_DE_UNIVERSO,copied from CDF_SOLUCIONES; refresh by copy-adapt only
source_cdf_agent_teams,.agents\codex\agents\SOURCE_CDF_AGENT_TEAMS.md,source_agents,04_TORRES_DE_UNIVERSO,copied from CDF_SOLUCIONES; refresh by copy-adapt only
multi_canon_agent_chain_matrix,.agents\codex\matrices\MULTI_CANON_AGENT_CHAIN_MATRIX.csv,multi_canon_agent_chain,00_ROUTER,update when the multi-canon execution agent sequence or handoff contract changes
multi_canon_surface_policy_matrix,.agents\codex\matrices\MULTI_CANON_SURFACE_POLICY_MATRIX.csv,multi_canon_surface_policy,01_AUTORIDAD_Y_GATES,update when governed read/write surface policy changes
multi_canon_wave2_stabilization_matrix,.agents\codex\matrices\MULTI_CANON_WAVE2_STABILIZATION_MATRIX_20260614.csv,multi_canon_wave_state,03_CORTE_EJECUTORA,update when Wave 2 PR checks reviews blockers or next actions change
source_cdf_agent_version_registry,.agents\codex\agents\SOURCE_CDF_AGENT_VERSION_REGISTRY.csv,source_agents,04_TORRES_DE_UNIVERSO,copied from CDF_SOLUCIONES; refresh by copy-adapt only
source_cdf_sharepoint_plugin_skill_adoption_matrix,.agents\codex\matrices\SOURCE_CDF_SHAREPOINT_PLUGIN_SKILL_ADOPTION_MATRIX.csv,source_capabilities,05_SOPORTE_TECNICO,copied from CDF_SOLUCIONES; refresh by copy-adapt only
source_capability_adoption_gap_matrix,.agents\codex\matrices\SOURCE_CAPABILITY_ADOPTION_GAP_MATRIX.csv,source_adoption_gaps,03_CORTE_EJECUTORA,update when copied source capability needs local assignment boundary or validator
source_modo_on_foundation_agent_registry,.agents\codex\agents\SOURCE_MODO_ON_FOUNDATION_agent_registry.yaml,source_agents,04_TORRES_DE_UNIVERSO,copied from MODO_ON_FOUNDATION; refresh by copy-adapt only
source_organizacion_registry_agents,.agents\codex\agents\SOURCE_ORGANIZACION_registry.agents.yml,source_agents,00_ROUTER,copied from ORGANIZACION; refresh by copy-adapt only
source_seshat_bootstrap_sdu_cn_agent_registry,.agents\codex\agents\SOURCE_SESHAT_BOOTSTRAP_SDU_CN_AGENT_REGISTRY.csv,source_agents,03_CORTE_EJECUTORA,copied from SESHAT_BOOTSTRAP; refresh by copy-adapt only
source_seshat_bootstrap_sdu_cn_console_tooling_capability_matrix,.agents\codex\matrices\SOURCE_SESHAT_BOOTSTRAP_SDU_CN_CONSOLE_TOOLING_CAPABILITY_MATRIX_20260527.csv,source_capabilities,03_CORTE_EJECUTORA,copied from SESHAT_BOOTSTRAP; refresh by copy-adapt only
source_tcu_agent_command_matrix,.agents\codex\agents\SOURCE_TCU_SDU_REPO_AGENT_COMMAND_MATRIX_CURRENT.csv,source_agents,03_CORTE_EJECUTORA,copied from TCU_CONTROL_PLANE; refresh by copy-adapt only
source_tcu_recipes_index,.agents\codex\recipes\SOURCE_TCU_RECIPES_INDEX.csv,source_registry,00_ROUTER,copied from TCU_CONTROL_PLANE; refresh by copy-adapt only
source_tcu_skills_index,.agents\codex\skills\SOURCE_TCU_SKILLS_INDEX.csv,source_registry,00_ROUTER,copied from TCU_CONTROL_PLANE; refresh by copy-adapt only
source_tcu_tool_permissions_index,.agents\codex\tools\SOURCE_TCU_TOOL_PERMISSIONS_INDEX.csv,source_permissions,01_AUTORIDAD_Y_GATES,copied from TCU_CONTROL_PLANE; refresh by copy-adapt only
source_tcu_tool_surface_matrix,.agents\codex\maps\SOURCE_TCU_TOOL_SURFACE_MATRIX.csv,source_boundaries,01_AUTORIDAD_Y_GATES,copied from TCU_CONTROL_PLANE; refresh by copy-adapt only
source_tcu_tools_index,.agents\codex\tools\SOURCE_TCU_TOOLS_INDEX.csv,source_registry,05_SOPORTE_TECNICO,copied from TCU_CONTROL_PLANE; refresh by copy-adapt only
source_tge_runtime_adapter_eval_matrix,.agents\codex\evals\SOURCE_TGE_RUNTIME_tge_sdu_cn_court_order_adapter_alignment_matrix.csv,source_evals,03_CORTE_EJECUTORA,copied from TGE_RUNTIME; refresh by copy-adapt only
source_tge_runtime_agent_contracts,.agents\codex\agents\SOURCE_TGE_RUNTIME_AGENT_CONTRACTS.md,source_agents,04_TORRES_DE_UNIVERSO,copied from TGE_RUNTIME; refresh by copy-adapt only
source_tge_sdu_cn_agent_registry,.agents\codex\agents\SOURCE_TGE_SDU_CN_AGENT_REGISTRY.csv,source_agents,04_TORRES_DE_UNIVERSO,copied from TORRE_GEMELA_ESCRIBANIA; refresh by copy-adapt only
source_tge_sdu_cn_sharepoint_github_capability_matrix,.agents\codex\matrices\SOURCE_TGE_SDU_CN_SHAREPOINT_GITHUB_CAPABILITY_MATRIX_20260527.csv,source_capabilities,04_TORRES_DE_UNIVERSO,copied from TORRE_GEMELA_ESCRIBANIA; refresh by copy-adapt only
stop_condition_glossary,.agents\codex\matrices\STOP_CONDITION_GLOSSARY.csv,stop_conditions,01_AUTORIDAD_Y_GATES,update when stop condition vocabulary changes
subagent_alias_map,.agents\codex\agents\SUBAGENT_ALIAS_MAP.csv,subagent_aliases,00_ROUTER,update when local delegated subagents receive aliases or lane assignments
subagent_capability_assignment_matrix,.agents\codex\matrices\SUBAGENT_CAPABILITY_ASSIGNMENT_MATRIX.csv,subagent_capabilities,00_ROUTER,update when subagent classes skills recipes or policies change
subrecipe_index,.agents\codex\recipes\SUBRECIPE_INDEX.csv,subrecipes,03_CORTE_EJECUTORA,update when recipe decompositions or validators change
subskill_usage_matrix,.agents\codex\skills\SUBSKILL_USAGE_MATRIX.csv,subskills,03_CORTE_EJECUTORA,update when parent skills get subskill assignments
sublevel_capacity_matrix,.agents\codex\matrices\SUBLEVEL_CAPACITY_MATRIX.csv,sublevels,00_ROUTER,update when level capacity changes
surface_boundary_map,.agents\codex\maps\SURFACE_BOUNDARY_MAP.csv,boundaries,01_AUTORIDAD_Y_GATES,update when a surface policy changes
tool_governance_matrix,.agents\codex\matrices\TOOL_GOVERNANCE_MATRIX.csv,tool_governance,05_SOPORTE_TECNICO,update when tools or surfaces change
tool_recipe_skill_matrix,.agents\codex\matrices\AGENT_TOOL_RECIPE_SKILL_MATRIX.csv,execution_contracts,00_ROUTER,update when tools recipes or skills change
validation_coverage_matrix,.agents\codex\matrices\VALIDATION_COVERAGE_MATRIX.csv,validators,03_CORTE_EJECUTORA,update when validation coverage changes
aac_native_agents,.agents/codex/matrices/AAC_NATIVE_AGENTS_20260608.csv,aac_native_agents,00_ROUTER,update when Agile Agent Canvas native extension agent manifest changes
aac_native_agent_use_for_vsi,.agents/codex/matrices/AAC_NATIVE_AGENT_USE_FOR_VSI_20260608.csv,aac_native_agent_use_for_vsi,00_ROUTER,update when native Agile Agent Canvas team assignments for VSI board cards change
cabina_governance_agents_for_vsi,.agents/codex/matrices/CABINA_GOVERNANCE_AGENTS_FOR_VSI_20260608.csv,cabina_governance_agents_for_vsi,00_ROUTER,update when Cabina governed work agents that work on and govern VSI board cards change
powershell_runtime_friction_matrix,.agents/codex/matrices/POWERSHELL_RUNTIME_FRICTION_MATRIX.csv,powershell_runtime_friction,03_CORTE_EJECUTORA,update when Windows PowerShell friction rules validators or command patterns change
d_skill_availability_issue_pr_friction_matrix,.agents/codex/matrices/D_SKILL_AVAILABILITY_AND_ISSUE_PR_FRICTION_MATRIX.csv,d_skill_availability_issue_pr_friction,03_CORTE_EJECUTORA,update when D-local skill availability rules or issue PR friction rules change
workpaper_index,.agents\codex\workpapers\WORKPAPER_INDEX.csv,agent_workpapers,03_CORTE_EJECUTORA,update when workpaper folder ownership changes
skill_reference_source_matrix,.agents/codex/matrices/SKILL_REFERENCE_SOURCE_MATRIX.csv,skill_reference_sources,05_SOPORTE_TECNICO,update when skill API reference sources freshness license canon boundary or validator changes
frontend_design_lane_matrix,.agents/codex/matrices/FRONTEND_DESIGN_LANE_MATRIX.csv,frontend_design_lanes,05_SOPORTE_TECNICO,update when UI design standards assets screenshot verification or production boundary changes
frontend_design_lane_map,.agents/codex/maps/FRONTEND_DESIGN_LANE.md,frontend_design_map,05_SOPORTE_TECNICO,update when frontend design policy map changes
teams_cross_repo_lane_audit_matrix,.agents/codex/matrices/TEAMS_CROSS_REPO_LANE_AUDIT_MATRIX_20260602.csv,teams_cross_repo_lane_audit,04_TORRES_DE_UNIVERSO,update when Teams signals live-read scope repo lane classification or validator changes
microsoft_next_lane_execution_matrix,.agents/codex/matrices/MICROSOFT_NEXT_LANE_EXECUTION_MATRIX_20260602.csv,microsoft_next_lane_execution,01_AUTORIDAD_Y_GATES,update when production tenant-write approval issues PRs status validators or stop conditions change
user_identity_governance_matrix,.agents/codex/matrices/USER_IDENTITY_GOVERNANCE_MATRIX.csv,user_identity_governance,01_AUTORIDAD_Y_GATES,update when governed user identity surfaces owner gate validator evidence or stop condition changes
teams_governance_surface_matrix,.agents/codex/matrices/TEAMS_GOVERNANCE_SURFACE_MATRIX.csv,teams_governance_surfaces,01_AUTORIDAD_Y_GATES,update when Teams surface read write gate owner validator or evidence policy changes
teams_agent_capability_matrix,.agents/codex/matrices/TEAMS_AGENT_CAPABILITY_MATRIX.csv,teams_agent_capabilities,03_CORTE_EJECUTORA,update when Teams skills recipes tools plugins agents or workpaper routes change
openai_upstream_reference_matrix,.agents/codex/matrices/OPENAI_UPSTREAM_REFERENCE_MATRIX.csv,openai_upstream_references,05_SOPORTE_TECNICO,update when official OpenAI GitHub repositories release freshness or adoption status changes
openai_two_wave_adoption_matrix,.agents/codex/matrices/OPENAI_TWO_WAVE_ADOPTION_MATRIX_20260602.csv,openai_two_wave_adoption,03_CORTE_EJECUTORA,update when Wave 1 root adoption or Wave 2 repo-native lanes change
codex_cloud_governed_lane_matrix,.agents/codex/matrices/CODEX_CLOUD_GOVERNED_LANE_MATRIX.csv,codex_cloud_governed_lanes,03_CORTE_EJECUTORA,update when Codex Cloud repo task lanes environment boundaries validators or stop conditions change
codex_cloud_repo_discovery_matrix,.agents/codex/matrices/CODEX_CLOUD_REPO_DISCOVERY_MATRIX_20260602.csv,codex_cloud_repo_discovery,02_REGISTRO_Y_CARTOGRAFIA,update when remote repositories become recognized Codex Cloud candidates or local registration lanes change
codex_cloud_environment_inventory,.agents/codex/matrices/CODEX_CLOUD_ENVIRONMENT_INVENTORY_20260602.csv,codex_cloud_environments,03_CORTE_EJECUTORA,update when Codex Cloud UI or CLI visible environments task counts creators or smoke status change
capability_use_hardening_matrix,.agents/codex/matrices/CAPABILITY_USE_HARDENING_MATRIX.csv,capability_use_preflight,00_ROUTER,update when intake assignment derivation execution or closeout capability gates change
autonomous_agent_execution_matrix,.agents/codex/matrices/AUTONOMOUS_AGENT_EXECUTION_MATRIX_20260602.csv,autonomous_agent_execution,03_CORTE_EJECUTORA,update when autonomous task agents Codex Cloud environments repo statuses validators or stop conditions change
codex_app_local_environment_matrix,.agents/codex/matrices/CODEX_APP_LOCAL_ENVIRONMENT_MATRIX_20260602.csv,codex_app_local_environments,03_CORTE_EJECUTORA,update when Codex app local/worktree setup actions validators or stop conditions change
codex_environment_creation_queue,.agents/codex/matrices/CODEX_ENVIRONMENT_CREATION_QUEUE_20260602.csv,codex_environment_creation_queue,03_CORTE_EJECUTORA,update when Codex app or Codex Cloud environment creation status changes per repo
codex_cloud_live_lane_finalization,.agents/codex/matrices/CODEX_CLOUD_LIVE_LANE_FINALIZATION_20260602.csv,codex_cloud_live_lane_finalization,03_CORTE_EJECUTORA,update when approved Codex Cloud live lanes are finalized or non-target repos are left pending by scope
validator_performance_improvements,.agents/codex/matrices/VALIDATOR_PERFORMANCE_IMPROVEMENT_MATRIX_20260602.csv,validator_performance_improvements,03_CORTE_EJECUTORA,update when attached analysis leads to validator or workflow performance changes
change_aware_test_manifest,.agents/codex/matrices/CHANGE_AWARE_TEST_MANIFEST.csv,change_aware_full_coverage,03_CORTE_EJECUTORA,update when required validation gates or coverage equivalence checks change
change_aware_risk_policy,.agents/codex/matrices/CHANGE_AWARE_RISK_POLICY.csv,change_aware_full_coverage,03_CORTE_EJECUTORA,update when change risk patterns priority expansion or parallelism rules change
change_aware_impact_graph,.agents/codex/matrices/CHANGE_AWARE_IMPACT_GRAPH.csv,change_aware_full_coverage,03_CORTE_EJECUTORA,update when path impact tags or required diagnostic ordering changes
live_delta_reconciliation_matrix,.agents/codex/matrices/LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,live_delta_reconciliation,00_ROUTER,update when controlled parallel live-delta reconciliation lanes evidence buckets validators or stop conditions change
sublevel_universe_repo_lane_chain,.agents/codex/matrices/SUBLEVEL_UNIVERSE_REPO_LANE_CHAIN_20260603.csv,sublevel_universe_repo_lane_chain,02_REGISTRO_Y_CARTOGRAFIA,ACTIVE_RECONCILIATION_MATRIX purpose=sublevel_to_universe_to_repo_to_lane owner_agent=rey.repo_cartographer reviewer_agent=court.thot_schema update when hierarchy chain mapping status evidence validator or stop condition changes
capability_graph_canon,.agents/codex/matrices/CAPABILITY_GRAPH_CANON_20260603.csv,model_reconciliation_upgrade,02_REGISTRO_Y_CARTOGRAFIA,ACTIVE_RECONCILIATION_MATRIX capability graph canon source_matrix required owner_agent=rey.repo_cartographer reviewer_agent=court.thot_schema
agent_capability_graph,.agents/codex/matrices/AGENT_CAPABILITY_GRAPH_20260603.csv,model_reconciliation_upgrade,03_CORTE_EJECUTORA,ACTIVE_RECONCILIATION_MATRIX agent to skills recipes tools plugins and gaps owner_agent=court.thot_schema reviewer_agent=rey.governance_registrar
repo_authority_graph,.agents/codex/matrices/REPO_AUTHORITY_GRAPH_20260603.csv,model_reconciliation_upgrade,02_REGISTRO_Y_CARTOGRAFIA,ACTIVE_RECONCILIATION_MATRIX repo authority universe layer and gates owner_agent=rey.repo_cartographer reviewer_agent=rey.frontier_guardian
live_surface_gate_matrix,.agents/codex/matrices/LIVE_SURFACE_GATE_MATRIX_20260603.csv,model_reconciliation_upgrade,01_AUTORIDAD_Y_GATES,ACTIVE_RECONCILIATION_MATRIX live surface gate and blocked actions owner_agent=rey.frontier_guardian reviewer_agent=court.sdu_gate
evidence_readback_registry,.agents/codex/matrices/EVIDENCE_READBACK_REGISTRY_20260603.csv,model_reconciliation_upgrade,03_CORTE_EJECUTORA,ACTIVE_RECONCILIATION_MATRIX evidence proves does_not_prove and next_gate owner_agent=court.seshat_evidence reviewer_agent=rey.authority_canonist
github_ci_runner_cache_graph,.agents/codex/matrices/GITHUB_CI_RUNNER_CACHE_GRAPH_20260603.csv,model_reconciliation_upgrade,05_SOPORTE_TECNICO,ACTIVE_RECONCILIATION_MATRIX GitHub CI runner cache artifact and gate model owner_agent=codex.workspace_guardian reviewer_agent=court.thot_schema
matrix_to_agent_capability_reconciliation,.agents/codex/matrices/MATRIX_TO_AGENT_CAPABILITY_RECONCILIATION_20260603.csv,model_reconciliation_upgrade,02_REGISTRO_Y_CARTOGRAFIA,ACTIVE_RECONCILIATION_MATRIX MATRIX_INDEX to model graph reconciliation owner_agent=rey.governance_registrar reviewer_agent=court.thot_schema
cabina_current_state_review,.agents/codex/matrices/CABINA_CURRENT_STATE_REVIEW_20260603.csv,cabina_current_state,02_REGISTRO_Y_CARTOGRAFIA,ACTIVE_REVIEW_MATRIX current repo state PRs actions nested repos validators readbacks owner_agent=rey.control_plane_orchestrator reviewer_agent=rey.frontier_guardian
codex_cloud_cabina_activation_gate,.agents/codex/matrices/CODEX_CLOUD_CABINA_ACTIVATION_GATE_20260603.csv,codex_cloud_cabina_gate,03_CORTE_EJECUTORA,ACTIVE_GATE_MATRIX cabina Codex Cloud readiness environment smoke CI policies owner_agent=court.openai_dispatcher reviewer_agent=rey.frontier_guardian
agents_sdk_baseline_gate,.agents/codex/matrices/AGENTS_SDK_BASELINE_GATE_20260603.csv,agents_sdk_baseline,03_CORTE_EJECUTORA,ACTIVE_GATE_MATRIX local no-live Agents SDK baseline agent guardrails tracing evals owner_agent=court.openai_dispatcher reviewer_agent=court.sdu_gate
repo_propagation_sequence_after_cabina,.agents/codex/matrices/REPO_PROPAGATION_SEQUENCE_AFTER_CABINA_20260603.csv,repo_propagation_after_cabina,02_REGISTRO_Y_CARTOGRAFIA,ACTIVE_SEQUENCE_MATRIX post-cabina repo propagation order blockers validators readbacks owner_agent=rey.repo_cartographer reviewer_agent=rey.frontier_guardian
cabina_full_live_global_canon_matrix,.agents/codex/matrices/CABINA_FULL_LIVE_GLOBAL_CANON_MATRIX_20260603.csv,cabina_full_live_global_canon,01_AUTORIDAD_Y_GATES,ACTIVE_CANON_MATRIX full-live global governed surfaces exact target rollback postcheck evidence stop condition owner_agent=rey.frontier_guardian reviewer_agent=court.thot_schema
standard_agent_chain,.agents/codex/matrices/STANDARD_AGENT_CHAIN_20260603.csv,standard_agent_chain,03_CORTE_EJECUTORA,ACTIVE_STANDARD_CHAIN owner_agent=rey.control_plane_orchestrator reviewer_agent=court.sdu_gate update when standard cabina agent chain step role surface validator evidence or stop condition changes
canon_patch_extended_reconciliation,.agents/codex/matrices/CANON_PATCH_EXTENDED_RECONCILIATION_20260603.csv,extended_reconciliation_canonization,01_AUTORIDAD_Y_GATES,ACTIVE_CANON_PATCH_MATRIX owner_agent=rey.authority_canonist reviewer_agent=court.thot_schema update when extended reconciliation canon patch scope evidence or status changes
evidence_gap_closure,.agents/codex/matrices/EVIDENCE_GAP_CLOSURE_20260603.csv,extended_reconciliation_canonization,03_CORTE_EJECUTORA,ACTIVE_EVIDENCE_GAP_MATRIX owner_agent=court.seshat_evidence reviewer_agent=rey.authority_canonist update when post-fan-in readbacks are registered classified or superseded
canonical_state_supersession,.agents/codex/matrices/CANONICAL_STATE_SUPERSESSION_20260603.csv,extended_reconciliation_canonization,01_AUTORIDAD_Y_GATES,ACTIVE_SUPERSESSION_MATRIX owner_agent=rey.authority_canonist reviewer_agent=rey.frontier_guardian update when historical markers are superseded by current canon
connection_surface_inventory,matrices/connections/CONNECTION_SURFACE_INVENTORY.csv,connection_surface_registry,rey.frontier_guardian,update when connection surface scan is regenerated
connection_instance_inventory,matrices/connections/CONNECTION_INSTANCE_INVENTORY.csv,connection_surface_registry,rey.frontier_guardian,update when repo connection patterns are rescanned
connection_gate_matrix,matrices/connections/CONNECTION_GATE_MATRIX.csv,connection_surface_gates,court.sdu_gate,update when connection gate policy changes
agent_connection_mapping,matrices/connections/AGENT_CONNECTION_MAPPING.csv,agent_connection_mapping,rey.control_plane_orchestrator,update when repo-agent connection ownership changes
connection_secret_boundary_matrix,matrices/connections/CONNECTION_SECRET_BOUNDARY_MATRIX.csv,secret_boundary,rey.frontier_guardian,update when secret handling or skipped secret files change
connection_risk_matrix,matrices/connections/CONNECTION_RISK_MATRIX.csv,connection_risk,rey.frontier_guardian,update when risk classification changes
connection_duplicates_and_overlaps,matrices/connections/CONNECTION_DUPLICATES_AND_OVERLAPS.csv,connection_overlap_resolution,court.seshat_evidence,update when duplicate connection families are rescanned
sgin_canonico_resolution,matrices/connections/SGIN_CANONICO_RESOLUTION_MATRIX.csv,connection_boundary_resolution,rey.repo_cartographer,update when SGIN_CANONICO local root remote-only or exclusion decision changes
connection_canonical_instance,matrices/connections/CONNECTION_CANONICAL_INSTANCE_MATRIX.csv,connection_dedup_canonical,court.seshat_evidence,update when raw connection inventory is deduplicated into canonical instances
connection_dedup_rules,matrices/connections/CONNECTION_DEDUP_RULES.csv,connection_dedup_policy,court.thot_schema,update when canonical duplicate false-positive or blocked classification rules change
connection_dedup_result,matrices/connections/CONNECTION_DEDUP_RESULT_MATRIX.csv,connection_dedup_trace,court.seshat_evidence,update when raw to canonical dedup trace is regenerated
connection_false_positive,matrices/connections/CONNECTION_FALSE_POSITIVE_MATRIX.csv,connection_false_positive_review,rey.frontier_guardian,update when detected connection references are excluded as non-operational
dataverse_connection_seed_decision,matrices/connections/DATAVERSE_CONNECTION_SEED_DECISION_MATRIX.csv,dataverse_connection_seed,court.sdu_gate,update when canonical connection rows move between seed blocked reference-only or excluded decisions
seed_connection_surfaces,dataverse/data/seed_connection_surfaces.csv,dataverse_connection_seed,court.sdu_gate,update when connection surface metadata seed changes
seed_connection_instances,dataverse/data/seed_connection_instances.csv,dataverse_connection_seed,court.sdu_gate,update when seedable deduplicated connection instances change
seed_connection_gates,dataverse/data/seed_connection_gates.csv,dataverse_connection_seed,court.sdu_gate,update when connection gate seed rows change
seed_connection_secret_boundaries,dataverse/data/seed_connection_secret_boundaries.csv,dataverse_connection_seed,rey.frontier_guardian,update when externalized secret boundary seed rows change
seed_agent_connection_mapping,dataverse/data/seed_agent_connection_mapping.csv,dataverse_connection_seed,rey.control_plane_orchestrator,update when agent to connection surface seed mapping changes
seed_connection_risks,dataverse/data/seed_connection_risks.csv,dataverse_connection_seed,rey.frontier_guardian,update when seed connection risk rows change
