matrix_id,path,source_repo,scope,governs_layer,governs_agent_scope,governs_capability_scope,linked_agent_matrix,linked_skill_matrix,linked_recipe_matrix,linked_tool_matrix,linked_live_lane_matrix,status,gap,next_action
source_seshat_bootstrap_sdu_cn_agent_registry,.agents/codex/agents/SOURCE_SESHAT_BOOTSTRAP_SDU_CN_AGENT_REGISTRY.csv,SeshatSgin/seshat-bootstrap-sdu-cn,seshat_source,03_CORTE_EJECUTORA,sdu_cn_agent,repo_local_agent,AGENT_CAPABILITY_GRAPH_20260603.csv,CAPABILITY_SOURCE_MISSING,CAPABILITY_SOURCE_MISSING,SOURCE_SESHAT_BOOTSTRAP_SDU_CN_CONSOLE_TOOLING_CAPABILITY_MATRIX_20260527.csv,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,MAPPED,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING,resolve repo-local skill recipe mapping if needed
source_tge_sdu_cn_agent_registry,.agents/codex/agents/SOURCE_TGE_SDU_CN_AGENT_REGISTRY.csv,SeshatSgin/torre-gemela-escribania,tge_source,04_TORRES_DE_UNIVERSO,sdu_cn_agent,repo_local_agent,AGENT_CAPABILITY_GRAPH_20260603.csv,CAPABILITY_SOURCE_MISSING,CAPABILITY_SOURCE_MISSING,SOURCE_TGE_SDU_CN_SHAREPOINT_GITHUB_CAPABILITY_MATRIX_20260527.csv,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,MAPPED,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING,resolve repo-local skill recipe mapping if needed
source_tcu_sdu_repo_agent_command_matrix_current,.agents/codex/agents/SOURCE_TCU_SDU_REPO_AGENT_COMMAND_MATRIX_CURRENT.csv,SeshatSgin/tcu-control-plane,tcu_source,03_CORTE_EJECUTORA,repo_local_runtime_agent,agentic_runtime,AGENT_CAPABILITY_GRAPH_20260603.csv,SOURCE_TCU_SKILLS_INDEX.csv,SOURCE_TCU_RECIPES_INDEX.csv,SOURCE_TCU_TOOLS_INDEX.csv,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,MAPPED,NO_GAP,keep_as_source_not_canon
source_tcu_skills_index,.agents/codex/skills/SOURCE_TCU_SKILLS_INDEX.csv,SeshatSgin/tcu-control-plane,tcu_source,03_CORTE_EJECUTORA,repo_local_runtime_agent,skill,AGENT_CAPABILITY_GRAPH_20260603.csv,SOURCE_TCU_SKILLS_INDEX.csv,SOURCE_TCU_RECIPES_INDEX.csv,SOURCE_TCU_TOOLS_INDEX.csv,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,MAPPED,NO_GAP,keep_as_source_not_canon
source_tcu_recipes_index,.agents/codex/recipes/SOURCE_TCU_RECIPES_INDEX.csv,SeshatSgin/tcu-control-plane,tcu_source,03_CORTE_EJECUTORA,repo_local_runtime_agent,recipe,AGENT_CAPABILITY_GRAPH_20260603.csv,SOURCE_TCU_SKILLS_INDEX.csv,SOURCE_TCU_RECIPES_INDEX.csv,SOURCE_TCU_TOOLS_INDEX.csv,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,MAPPED,NO_GAP,keep_as_source_not_canon
source_tcu_tools_index,.agents/codex/tools/SOURCE_TCU_TOOLS_INDEX.csv,SeshatSgin/tcu-control-plane,tcu_source,03_CORTE_EJECUTORA,repo_local_runtime_agent,tool,AGENT_CAPABILITY_GRAPH_20260603.csv,SOURCE_TCU_SKILLS_INDEX.csv,SOURCE_TCU_RECIPES_INDEX.csv,SOURCE_TCU_TOOLS_INDEX.csv,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,MAPPED,NO_GAP,keep_as_source_not_canon
change_aware_test_manifest,.agents/codex/matrices/CHANGE_AWARE_TEST_MANIFEST.csv,universo-rey/cabina-universal-d,change_aware_full_coverage,03_CORTE_EJECUTORA,court_agent,change_aware_gate,AGENT_CAPABILITY_GRAPH_20260603.csv,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,RECIPE_INDEX.csv,TOOL_INDEX.csv,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,RECONCILED,NO_GAP,keep_as_productive_gate_source
change_aware_risk_policy,.agents/codex/matrices/CHANGE_AWARE_RISK_POLICY.csv,universo-rey/cabina-universal-d,change_aware_full_coverage,03_CORTE_EJECUTORA,court_agent,change_aware_gate,AGENT_CAPABILITY_GRAPH_20260603.csv,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,RECIPE_INDEX.csv,TOOL_INDEX.csv,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,RECONCILED,NO_GAP,keep_as_risk_source
change_aware_impact_graph,.agents/codex/matrices/CHANGE_AWARE_IMPACT_GRAPH.csv,universo-rey/cabina-universal-d,change_aware_full_coverage,03_CORTE_EJECUTORA,court_agent,change_aware_gate,AGENT_CAPABILITY_GRAPH_20260603.csv,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,RECIPE_INDEX.csv,TOOL_INDEX.csv,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,RECONCILED,NO_GAP,keep_as_impact_source
validator_performance_improvements,.agents/codex/matrices/VALIDATOR_PERFORMANCE_IMPROVEMENT_MATRIX_20260602.csv,universo-rey/cabina-universal-d,validator_performance_improvements,03_CORTE_EJECUTORA,court_agent,validator_cache,AGENT_CAPABILITY_GRAPH_20260603.csv,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,RECIPE_INDEX.csv,TOOL_INDEX.csv,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,RECONCILED,NO_GAP,keep_as_performance_source
capability_graph_canon,.agents/codex/matrices/CAPABILITY_GRAPH_CANON_20260603.csv,universo-rey/cabina-universal-d,model_reconciliation_upgrade,02_REGISTRO_Y_CARTOGRAFIA,integrated_model,capability_graph,AGENT_CAPABILITY_GRAPH_20260603.csv,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv|SOURCE_TCU_SKILLS_INDEX.csv,RECIPE_INDEX.csv|SOURCE_TCU_RECIPES_INDEX.csv,TOOL_INDEX.csv|SOURCE_TCU_TOOLS_INDEX.csv,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,RECONCILED,NO_GAP,review in PR55
agent_capability_graph,.agents/codex/matrices/AGENT_CAPABILITY_GRAPH_20260603.csv,universo-rey/cabina-universal-d,model_reconciliation_upgrade,03_CORTE_EJECUTORA,integrated_model,agent_capability_graph,AGENT_CAPABILITY_GRAPH_20260603.csv,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv|SOURCE_TCU_SKILLS_INDEX.csv,RECIPE_INDEX.csv|SOURCE_TCU_RECIPES_INDEX.csv,TOOL_INDEX.csv|SOURCE_TCU_TOOLS_INDEX.csv,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,RECONCILED,NO_GAP,review in PR55
repo_authority_graph,.agents/codex/matrices/REPO_AUTHORITY_GRAPH_20260603.csv,universo-rey/cabina-universal-d,model_reconciliation_upgrade,02_REGISTRO_Y_CARTOGRAFIA,integrated_model,repo_authority,AGENT_CAPABILITY_GRAPH_20260603.csv,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,RECIPE_INDEX.csv,TOOL_INDEX.csv,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,RECONCILED,NO_GAP,review in PR55
live_surface_gate_matrix,.agents/codex/matrices/LIVE_SURFACE_GATE_MATRIX_20260603.csv,universo-rey/cabina-universal-d,model_reconciliation_upgrade,01_AUTORIDAD_Y_GATES,integrated_model,live_surface_gate,AGENT_CAPABILITY_GRAPH_20260603.csv,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,RECIPE_INDEX.csv,TOOL_INDEX.csv,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,RECONCILED,NO_GAP,review in PR55
evidence_readback_registry,.agents/codex/matrices/EVIDENCE_READBACK_REGISTRY_20260603.csv,universo-rey/cabina-universal-d,model_reconciliation_upgrade,03_CORTE_EJECUTORA,integrated_model,evidence,AGENT_CAPABILITY_GRAPH_20260603.csv,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,RECIPE_INDEX.csv,TOOL_INDEX.csv,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,RECONCILED,NO_GAP,review in PR55
github_ci_runner_cache_graph,.agents/codex/matrices/GITHUB_CI_RUNNER_CACHE_GRAPH_20260603.csv,universo-rey/cabina-universal-d,model_reconciliation_upgrade,05_SOPORTE_TECNICO,integrated_model,github_ci_runner_cache,AGENT_CAPABILITY_GRAPH_20260603.csv,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,RECIPE_INDEX.csv,TOOL_INDEX.csv,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,RECONCILED,NO_GAP,review in PR55
matrix_to_agent_capability_reconciliation,.agents/codex/matrices/MATRIX_TO_AGENT_CAPABILITY_RECONCILIATION_20260603.csv,universo-rey/cabina-universal-d,model_reconciliation_upgrade,02_REGISTRO_Y_CARTOGRAFIA,integrated_model,matrix_reconciliation,AGENT_CAPABILITY_GRAPH_20260603.csv,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,RECIPE_INDEX.csv,TOOL_INDEX.csv,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,RECONCILED,NO_GAP,review in PR55
