"artifact_id","artifact_type","agent_id","level_id","purpose","surface","universe","tower","owner_agent","authority_level","lifecycle","status","local_allowed","governed_order_required","allowed_actions","blocked_actions","skill_refs","recipe_refs","tool_refs","plugin_refs","validator_refs","evidence_required","workpaper_path","source_policy","source_refs","last_validated","stop_condition","next_review"
"purpose.court.thot_schema","agent_surface_capability","court.thot_schema","03_CORTE_EJECUTORA","Traducir narrativa, canon y ordenes a campos, schemas, matrices, tools y eventos verificables.","03_CORTE_EJECUTORA_DEL_REY|SDU Seshat Corte surfaces","CORTE_EJECUTORA","ROOT","court.thot_schema","03_CORTE_EJECUTORA","02_ACTIVE","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","yes","remote_write_or_production","schema_draft|matrix_contract_draft|validator_spec_draft","tool_live_execution_without_order|schema_overwriting_without_readback|secret_materialization","tcu-harness-evals-agentes|matrix-recipe-skill-sync|d-drive-agent-layer-enrichment|superpowers:verification-before-completion|parallel-order-governance","recipe.schema_tool_contract|recipe.matrix_recipe_skill_sync|recipe.repo_universe_alignment_runtime|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.local_validate_agent_levels|tool.local_validate_agent_layer|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|OpenAI Developers","tool.repo_alignment_runtime|tool.local_validate_agent_layer|tool.local_validate_agent_workpapers","schema|field_map|validator_contract",".agents\codex\workpapers\court.thot_schema","copy_adapt_required_before_new_content","AGENTS.md|01_GOVERNANCE_REGISTRY|02_AUTHORITY_CANON|03_CORTE_EJECUTORA_DEL_REY\06_TOOLS","pending_runtime_alignment_2026-06-01","runtime_alignment_failed|source_canon_conflict|field_semantics_unclear|live_tool_required","2026-06-08"
"purpose.rey.migration_planner","agent_surface_capability","rey.migration_planner","02_REGISTRO_Y_CARTOGRAFIA","Preparar migracion local de clones, herramientas y activos al disco D sin mover nada hasta orden gobernada.","01_GOVERNANCE_REGISTRY|repo local remote metadata","CABINA_UNIVERSAL","ROOT","rey.migration_planner","02_REGISTRO_Y_CARTOGRAFIA","02_ACTIVE","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","yes","remote_write_or_production","migration_plan_draft|rollback_plan_draft|preflight_checklist","moving_files|deleting_files|changing_repo_remotes|updating_ide_paths_without_order","tcu-planificador-con-archivos|rey-modo-gobernador-capacidades|superpowers:verification-before-completion|parallel-order-governance","recipe.migration_preflight|recipe.registry_enrichment|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.path_conflict_check|tool.git_status_readonly|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|GitHub","tool.repo_alignment_runtime|tool.local_validate_agent_layer|tool.local_validate_agent_workpapers","migration_plan|preflight|rollback|postcheck",".agents\codex\workpapers\rey.migration_planner","copy_adapt_required_before_new_content","01_GOVERNANCE_REGISTRY\MIGRATION_MAP_D.csv|01_GOVERNANCE_REGISTRY\REPOSITORIES.csv|10_UNIVERSOS|80_REFERENCIAS_TECNICAS","pending_runtime_alignment_2026-06-01","runtime_alignment_failed|dirty_worktree|unknown_owner|target_path_conflict|rollback_missing","2026-06-08"
"purpose.tech.reference_librarian","agent_surface_capability","tech.reference_librarian","05_SOPORTE_TECNICO","Separar referencias tecnicas Microsoft, OpenAI, devcontainers y tooling de canon rector vivo.",".agents\codex|80_REFERENCIAS_TECNICAS","CABINA_UNIVERSAL","ROOT","tech.reference_librarian","05_SOPORTE_TECNICO","02_ACTIVE","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","yes","remote_write_or_production","reference_classification|source_summary|technical_gap_report","treating_reference_as_canon|vendor_live_execution_without_order|license_change","rey-modo-gobernador-capacidades|openai-docs|matrix-recipe-skill-sync|superpowers:verification-before-completion|parallel-order-governance","recipe.workspace_reference_audit|recipe.matrix_recipe_skill_sync|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.reference_classifier|tool.plugin_registry_check|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|OpenAI Developers","tool.repo_alignment_runtime|tool.local_validate_agent_layer|tool.local_validate_agent_workpapers","reference_index|technical_summary|canon_boundary_note",".agents\codex\workpapers\tech.reference_librarian","copy_adapt_required_before_new_content","80_REFERENCIAS_TECNICAS|01_GOVERNANCE_REGISTRY\REPOSITORIES.csv|02_AUTHORITY_CANON\ACTIVE_CANON.csv","pending_runtime_alignment_2026-06-01","runtime_alignment_failed|source_uncertain|license_unclear|current_vendor_state_required","2026-06-08"
"purpose.codex.workspace_guardian","agent_surface_capability","codex.workspace_guardian","05_SOPORTE_TECNICO","Auditar configuracion local de Codex, AGENTS.md, rutas y workspaces sin tocar secretos ni ajustes live sin orden.",".agents\codex|80_REFERENCIAS_TECNICAS","CABINA_UNIVERSAL","ROOT","codex.workspace_guardian","05_SOPORTE_TECNICO","02_ACTIVE","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","yes","remote_write_or_production","workspace_read_only_audit|routing_drift_report|codex_project_opening_checklist","editing_codex_global_config_without_order|reading_secret_files|changing_default_workspace|deleting_worktrees","rey-modo-auditor-vscode-insiders|operativa-guardian:operativa-guardian-status|matrix-recipe-skill-sync|superpowers:verification-before-completion|parallel-order-governance","recipe.workspace_reference_audit|recipe.repo_universe_alignment_runtime|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.codex_workspace_audit|tool.plugin_registry_check|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|Operativa Guardian|GitHub","tool.repo_alignment_runtime|tool.local_validate_agent_layer|tool.local_validate_agent_workpapers","workspace_readback|routing_drift_report|opening_checklist",".agents\codex\workpapers\codex.workspace_guardian","copy_adapt_required_before_new_content","AGENTS.md|.agents\codex|MANIFEST.yaml|MAPA_HUMANO.md","pending_runtime_alignment_2026-06-01","runtime_alignment_failed|secret_boundary_risk|global_config_change_needed|worktree_owner_unclear","2026-06-08"
"route.execute_local_now","active_execution_route","rey.control_plane_orchestrator","00_ROUTER","Ejecutar ahora acciones locales seguras, reversibles, trazables y validables.","AGENTS.md|.agents\codex|governance/canon","CABINA_UNIVERSAL","ROOT","rey.control_plane_orchestrator","00_ROUTER","02_ACTIVE","EXECUTE_LOCAL_NOW","yes","none","local_inventory|preflight_local|validator_run","secret_handling|production|tenant_write","tcu-descubridor-capacidades|parallel-order-governance|governed-readback-closeout","recipe.router_intake_classification|recipe.repo_universe_alignment_runtime|recipe.agent_workpaper_operation","tool.local_inventory|tool.repo_alignment_runtime|tool.routing_readback","Superpowers","tool.repo_alignment_runtime|tool.local_validate_agent_layer","command_output|validator_pass|readback",".agents\codex\workpapers\rey.control_plane_orchestrator","copy_adapt_required_before_new_content","AGENTS.md|governance/canon/ACTIVE_GOVERNED_EXECUTION_BY_DEFAULT_POLICY_20260603.md","2026-06-03","capability_use_preflight_missing|SECRET_DETECTED","2026-06-10"
"route.execute_mock_now","active_execution_route","court.thot_schema","03_CORTE_EJECUTORA","Ejecutar mocks y simulaciones con evidencia reproducible.","local-agent-bridge|tests/sdu-agent-runtime","CORTE_EJECUTORA","ROOT","court.thot_schema","03_CORTE_EJECUTORA","02_ACTIVE","EXECUTE_MOCK_NOW","yes","none","mock_flow|synthetic_eval|schema_check","live_write|secret_materialization|production","tcu-harness-evals-agentes|matrix-recipe-skill-sync|parallel-order-governance","recipe.schema_tool_contract|recipe.matrix_recipe_skill_sync|recipe.agent_workpaper_operation","tool.local_validate_agent_levels|tool.local_validate_agent_layer|tool.repo_alignment_runtime","Superpowers|OpenAI Developers","tool.local_validate_agent_layer|tool.local_validate_skill_metadata","mock_output|validator_pass|readback",".agents\codex\workpapers\court.thot_schema","copy_adapt_required_before_new_content","local-agent-bridge/dev.activation.contract.yml","2026-06-03","mock_smoke_failed|SECRET_DETECTED","2026-06-10"
"route.execute_dev_now","active_execution_route","rey.frontier_guardian","01_AUTORIDAD_Y_GATES","Ejecutar DEV cuando sea no productivo y postcheckeable.","governance/teams|governance/connections|governance/codex-cloud","CABINA_UNIVERSAL","ROOT","rey.frontier_guardian","01_AUTORIDAD_Y_GATES","02_ACTIVE","EXECUTE_DEV_NOW","yes","target_or_identity_when_required","dev_validator|dev_preflight|dev_smoke","production|secret_materialization|tenant_ambiguous","repo-agent-tool-governance|governed-readback-closeout|parallel-order-governance","recipe.gate_decision_packet|recipe.repo_agent_tool_governance|recipe.governed_order_preparation","tool.boundary_check|tool.secret_scan|tool.stop_condition_check","Superpowers","tool.local_validate_agent_layer|tool.local_validate_agent_workpapers","dev_validator_pass|readback",".agents\codex\workpapers\rey.frontier_guardian","copy_adapt_required_before_new_content","governance/canon/ACTIVE_EXECUTION_CAPABILITY_MATRIX_20260603.csv","2026-06-03","BLOCKED_TENANT_AMBIGUOUS|SECRET_DETECTED","2026-06-10"
"route.execute_live_read_now","active_execution_route","rey.frontier_guardian","01_AUTORIDAD_Y_GATES","Ejecutar live read limitado si existe target, identidad y limite de datos.","Microsoft live read|GitHub read","CABINA_UNIVERSAL","ROOT","rey.frontier_guardian","01_AUTORIDAD_Y_GATES","02_ACTIVE","EXECUTE_LIVE_READ_NOW","yes","live_read_order_fields","selected_object_read|sanitized_evidence","broad_regulated_read|secret_materialization|permission_change","repo-agent-tool-governance|governed-readback-closeout|parallel-order-governance","recipe.gate_decision_packet|recipe.governed_order_preparation","tool.boundary_check|tool.secret_scan|tool.governed_order_packet_builder","Superpowers","tool.local_validate_agent_layer","read_result_metadata|postcheck|readback",".agents\codex\workpapers\rey.frontier_guardian","copy_adapt_required_before_new_content","governance/canon/ACTIVE_GOVERNED_EXECUTION_BY_DEFAULT_POLICY_20260603.md","2026-06-03","PENDING_TARGET_ONLY|BLOCKED_TENANT_AMBIGUOUS|SECRET_DETECTED","2026-06-10"
"route.execute_live_write_gated_now","active_execution_route","court.sdu_gate","01_AUTORIDAD_Y_GATES","Ejecutar live write solo con target, identidad, owner, rollback, postcheck y evidencia.","Microsoft live write|MCP write|GitHub protected write","CABINA_UNIVERSAL","ROOT","court.sdu_gate","01_AUTORIDAD_Y_GATES","02_ACTIVE","EXECUTE_LIVE_WRITE_GATED_NOW","yes","full_governed_order_fields","selected_write|rollback|postcheck","write_without_target|production_unapproved|secret_materialization","sdu-ejecutor-gates|repo-agent-tool-governance|parallel-order-governance","recipe.gate_decision_packet|recipe.governed_order_preparation","tool.stop_condition_check|tool.boundary_check|tool.governed_order_packet_builder","Superpowers|SharePoint","tool.local_validate_agent_layer","write_receipt|postcheck|readback",".agents\codex\workpapers\court.sdu_gate","copy_adapt_required_before_new_content","governance/canon/ACTIVE_EXECUTION_CAPABILITY_MATRIX_20260603.csv","2026-06-03","PENDING_TARGET_ONLY|PENDING_IDENTITY_ONLY|PENDING_OWNER_ONLY|SECRET_DETECTED","2026-06-10"
"route.execute_codex_cloud_smoke_now","active_execution_route","court.openai_dispatcher","03_CORTE_EJECUTORA","Ejecutar smoke Codex Cloud no-diff/no-apply cuando el environment exista.","Codex Cloud repo-scoped","CORTE_EJECUTORA","ROOT","court.openai_dispatcher","03_CORTE_EJECUTORA","02_ACTIVE","EXECUTE_CODEX_CLOUD_SMOKE_NOW","yes","environment_label_or_id","cloud_smoke|cloud_status|cloud_diff","codex_cloud_apply_without_review|secret_materialization|production","openai-developers:agents-sdk|matrix-recipe-skill-sync|parallel-order-governance","recipe.codex_cloud_governed_lane|recipe.openai_local_agent_design","tool.codex_cloud_cli_readonly|tool.local_validate_codex_cloud_governed_lane","Superpowers|OpenAI Developers|GitHub","tool.local_validate_codex_cloud_governed_lane|tool.local_validate_agent_layer","task_id|status|files_changed|diff_check",".agents\codex\workpapers\court.openai_dispatcher","copy_adapt_required_before_new_content","governance/codex-cloud/CODEX_CLOUD_ACTIVE_EXECUTION_POLICY_20260603.md","2026-06-03","CODEX_CLOUD_ENVIRONMENT_MISSING|CODEX_CLOUD_APPLY_WITHOUT_REVIEW","2026-06-10"
"route.execute_mcp_read_probe_now","active_execution_route","court.openai_dispatcher","03_CORTE_EJECUTORA","Ejecutar MCP read-only/mock probes con evidencia.","MCP registry|local-agent-bridge","CORTE_EJECUTORA","ROOT","court.openai_dispatcher","03_CORTE_EJECUTORA","02_ACTIVE","EXECUTE_MCP_READ_PROBE_NOW","yes","mcp_registry_or_mock","read_probe|mock_tool|secret_contract_check","mcp_remote_write|secret_materialization","mcp-builder|matrix-recipe-skill-sync|parallel-order-governance","recipe.openai_local_agent_design|recipe.matrix_recipe_skill_sync","tool.synthetic_eval_manifest|tool.repo_alignment_runtime|tool.governed_order_packet_builder","Superpowers|OpenAI Developers|GitHub","tool.local_validate_agent_layer","probe_output|validator_pass|readback",".agents\codex\workpapers\court.openai_dispatcher","copy_adapt_required_before_new_content","governance/connections/MCP_ACTIVE_EXECUTION_POLICY_20260603.md","2026-06-03","MCP_REMOTE_WRITE_ATTEMPTED|SECRET_DETECTED","2026-06-10"
"route.execute_teams_dev_test_now","active_execution_route","universe.escribania_tower","04_TORRES_DE_UNIVERSO","Ejecutar Teams DEV test solo con target exacto y rollback.","Teams DEV|Graph DEV","ESCRIBANIA","TGE","universe.escribania_tower","04_TORRES_DE_UNIVERSO","02_ACTIVE","EXECUTE_TEAMS_DEV_TEST_NOW","yes","teams_app_chat_channel_identity_owner","manifest_validate|dev_install|dev_message_when_target_exists","teams_message_without_target|tenant_ambiguous|production","sharepoint:sharepoint-site-discovery|governed-readback-closeout|parallel-order-governance","recipe.universe_tower_handoff|recipe.agent_surface_capability_assignment|recipe.governed_order_preparation","tool.surface_order_builder|tool.repo_alignment_runtime|tool.governed_order_packet_builder","Superpowers|SharePoint|GitHub","tool.local_validate_agent_layer","message_id_or_pending_target|postcheck|readback",".agents\codex\workpapers\universe.escribania_tower","copy_adapt_required_before_new_content","governance/teams/TEAMS_ACTIVE_DEV_EXECUTION_POLICY_20260603.md","2026-06-03","TEAMS_TARGET_MISSING|BLOCKED_TENANT_AMBIGUOUS|SECRET_DETECTED","2026-06-10"
"route.production_human_gate","active_execution_route","rey.authority_canonist","01_AUTORIDAD_Y_GATES","Preparar produccion solo para gate humano exacto.","Production governed gate","CABINA_UNIVERSAL","ROOT","rey.authority_canonist","01_AUTORIDAD_Y_GATES","02_ACTIVE","READY_FOR_PROD_HUMAN_GATE","no","prod_target_owner_identity_rollback_postcheck","gate_packet|human_approval|postcheck_plan","production_unapproved|secret_materialization","repo-agent-tool-governance|governed-readback-closeout|parallel-order-governance","recipe.gate_decision_packet|recipe.governed_order_preparation","tool.canon_index_check|tool.stop_condition_check|tool.governed_order_packet_builder","Superpowers","tool.local_validate_agent_layer","production_gate_packet|readback",".agents\codex\workpapers\rey.authority_canonist","copy_adapt_required_before_new_content","governance/canon/ACTIVE_GOVERNED_EXECUTION_BY_DEFAULT_POLICY_20260603.md","2026-06-03","BLOCKED_PRODUCTION_UNAPPROVED|SECRET_DETECTED","2026-06-10"
